,UKF243,UKF260,UKF266,UKF269,UKF275,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,,-0.018835956506706712,,,,,,
BMP1,-0.0222095236226572,-0.033764571252362104,-0.006789389480511014,0.09282098167873791,-0.00522418800522294,-0.026611763579275756,-0.020221031647035675,-0.012262981754788165,-0.04089024731624391,0.03960410579191953
NDP,-0.013424196476355704,-0.002695980517847036,0.014358794589646553,-0.01420755332794415,-0.026088547072642326,-0.03221657511300095,-0.018297101171861112,0.03900689310278222,0.005107833987306953,0.021401231759541936
TNFSF18,0.028616337010271862,,-0.012399100793800548,0.014497671403731767,0.001753660194652934,,,,,-0.006854059872466322
RTN4,0.008953383589766354,0.008690852120598008,0.01571164630116198,-0.10735996169070654,0.00531390346396863,0.05115660614376197,-0.01428508651371755,-0.0171727742639663,-0.0018464531451390315,-0.005155518324554721
HEBP1,-0.007478527958133953,0.015099872691228177,-0.013615747559547258,0.008724933640936138,0.013684189103174049,-0.0030779125278865907,0.04058215033025359,0.020697136198349574,-0.007421253781177899,-0.015322650906759825
WNT7B,0.09471483515459364,-0.0022124221590191914,-0.008060065243585683,-0.04379316270629186,0.012583811846190255,0.12205238748272064,0.01815037687582107,-0.006598834054508083,-0.024159453460630347,0.13710127697541388
PTMA,0.016511870314743698,0.023353693812708128,-0.012635337024770573,0.01445424711767264,-0.012863342298963533,-0.08579775153715442,-0.006020039970294721,-0.025617392912866615,-0.06120655978010407,-0.09672733778267495
CEACAM1,,-0.01434377989946288,,0.02643659726030113,-0.02497945369122097,0.037746554148449685,0.017785794327871696,-0.026506978164793756,-0.016034980629674463,
PDAP1,0.03831054383404604,0.016200905351570212,0.005348147623914399,0.0907951647913766,0.0072853568133976546,-0.05584761677402723,-0.016539749507988973,0.0056868984905980875,-0.01989671224608993,-0.014632394988990632
QDPR,-0.006051192990119401,-0.027611129010397206,0.00012466491833290272,-0.10079484316095651,-0.07956158686144355,-0.12420776389184586,0.004326755300768507,-0.026465479579479152,-0.016650274499215988,0.03703742897973892
