,UKF248,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,0.08081539921251442,,
BMP1,0.055796772571016354,0.05398613432168316,-0.03864010724765978,-0.1104490846258941,0.03214213919734403,0.08655816407429748,-0.037857699095974834,0.02073406689541038,-0.05068430112070184,0.031021806772918357,0.03022854037461386,0.08473129491038232,0.0780948052950087
NDP,-0.02667765506743071,-0.06428973911586616,-0.06129447534325429,-0.1022788392454646,0.10806682147299293,0.1227558222309996,0.044108652258189995,0.0036975070450336114,0.06217815512832732,0.09794105554677647,0.051136652387903,0.019254157564703975,-0.0668832487531739
TNFSF18,-0.03151832187460322,,,,-0.008102881871910493,,,,,0.1480016966853103,-0.0009931953300195342,0.005581268332466824,
IL36G,,,,-0.014337267393379398,,,,,,,,,
RTN4,-0.040275054844728646,0.021191232749887542,0.09390602371661969,0.14663960951460459,0.0006657210558648455,-0.1707334459435167,0.027749605920306675,0.0028775855599856627,0.08123559825470866,-0.12272304556524895,0.05246462655809382,-0.06454994712208963,0.009695940612998237
HEBP1,-0.013558904312657383,0.006169099330479001,-0.048705408850691904,-0.06796316329649918,-0.07648587860449556,0.01908714664584714,0.04212242150948693,0.025044124280424837,0.0819276362345505,-0.05446696639076463,-0.0031125895988193724,0.032683234030022545,-0.03929702716689474
WNT7B,0.038450111332292966,-0.010405327892023492,,-0.015758309112083167,,0.08312988589561175,0.029734426169453383,-0.035943917662550964,0.027199622725622583,-0.038627770028816275,0.05709104985933599,0.02219539766494901,0.022169649025593482
PTMA,0.0002975909117047706,-0.057658199647205005,-0.17789750872531046,-0.16296136678293466,-0.03864659200413371,-0.29352906768011566,0.01556099660687282,0.048031020833101776,-0.008899676020620853,-0.12073877826012513,-0.0030879510785533446,-0.010908939505999415,-0.18603955329733932
FASLG,,,,,,,,,,,0.019426925811492985,,
CEACAM1,-0.020060548091604093,,,,0.06061554380506529,0.0696072921302266,-0.011074335263736185,0.05332026865633378,-0.02724622452413006,,-0.01534955860600727,,
PDAP1,-0.010652377422753594,0.029573273254564506,0.009669556773959429,-0.12289873782388254,-0.006111341028209397,0.019724352113872835,-0.019475627224653583,-0.03682981596727572,0.06551400305631967,0.18717863956717307,-0.035952986385238486,0.04193059282496871,0.08787441500790606
QDPR,-5.4038045090322535e-05,0.025382133406500702,-0.2018485857126676,0.036157081058561386,-0.006700160841127578,-0.26284269257833853,0.056640515806136674,0.010459159389684072,0.03205381707213995,-0.017481282394204035,-0.004311220686014563,-0.046957488429885924,-0.10729101016302582
POMC,0.032059882707376176,-0.027986203404174893,0.003955573267974599,-0.007012736322084122,-0.00648065662577282,-0.03071916407716314,-0.005451499062382908,0.013909824145075512,-0.026652620569073655,,0.017496415393329984,-0.031138335068913482,-0.01694612245963029
CCL18,0.03236521365326887,,-0.06899901905489494,,,-0.07766805664790914,0.07565206888847337,-0.02089748239835148,-0.03759910547470231,,,,
CCL17,,0.05233011948055003,,-0.013097500798735371,,,-0.008409548236257749,-0.03165858240076259,,,-0.019038964046235864,,
VEGFD,0.0034626981168405136,-0.009446813515339032,0.006201343075127776,-0.014036997279307656,0.009867578391071902,,,-0.02193086636188958,,,,,
TNFSF13,-0.018891215662908863,,,,,,-0.03132028954880407,-0.022613031270694754,-0.030595684029554416,,-0.017842736338606096,-0.023830942637965903,
WNT5A,-0.004591536473656003,0.002212086901654777,0.04817093879756524,-0.02511379895128353,-0.027213928413585557,0.13120507507137752,0.01896705238507425,0.07917991188476113,-0.024762965079771816,-0.0845143299587037,-0.015217268447696178,0.04234773367095334,-0.08982831702368516
CXCL8,-0.0398150773768765,-0.008797283506591222,-0.00588985502377552,-0.042203879757883186,-0.12064696210076575,-0.012434483492622207,-0.10274364634497976,-0.056397183750229105,-0.05289158778169626,-0.0353003195736806,-0.014564047085977366,-0.017971264011209027,0.02058412800901615
GRN,0.026239039569689242,-0.007518092208579602,-0.12607621374796937,0.02860755299412533,-0.040912348022169115,0.017061920030698608,0.0040553425495868205,-0.023185071584344127,-0.06293023972478846,0.08419565824822398,-0.008159548781401313,-0.020138128498773514,-0.021061644438623225
MIA,-0.020124890264132337,-0.010743760893296412,,-0.019224311055350402,-0.10549416600880969,0.16636046156057413,0.15432557210685877,0.05359451692369031,-0.08542594918130712,,0.05001604509444127,0.01664172483157785,
COL4A4,0.016613086200789582,-0.018048663877777822,,-0.01864829492829755,0.02909350337605646,-0.04278953673116646,0.05482540207339644,0.04811764923819126,0.04063829946672859,,-0.02693169778812155,0.04505527383826934,
TAC1,0.004750719741324416,0.002800843971692001,0.06711413208027844,0.07731721291956883,,,,,0.07324646828638291,0.1285909735054089,-0.025028654202126122,-0.06480754387611244,0.1476852946386368
RARRES2,-0.05097319301080887,-0.08081141489617628,-0.03253706990287748,-0.05116252716639688,0.03845212987221385,0.17838060097796274,-0.03973579143716745,-0.03869566794452783,-0.056516538105771015,0.016300771414043066,0.006905024334957335,0.014397321518546235,-0.0054321165213796945
FGF7,,-0.020794751731830943,0.05490015038985325,-0.050169103007120144,0.07810665065037278,0.15453413245233283,0.06220404117845897,0.06676569329326093,-0.033723868526848395,0.059839455790536504,0.060443718729720965,0.031028695997662923,-0.03492785393944788
EFNA2,,,,,,,,-0.02084382079591394,,,,,
HBEGF,0.0537932830945588,-0.024260322892500834,-0.048646258549451024,0.014556855402515766,-0.007015924438967583,0.1449627171590818,0.005242703484781533,0.008566645878078226,0.004550816345849429,0.01159138478671343,0.11513796951235886,0.058831552452279764,0.037995749971712164
CSF3,,,,,,,-0.049962404224645686,-0.0565147570676358,-0.039061184653260896,-0.034717584653648444,-0.020045092033819056,-0.009984900429027449,
PI3,-0.02633647484841547,,,,,,-0.08259107168059793,-0.09253096609652196,-0.11786909309300694,,-0.004919285891939154,-0.022839241376823652,
PCSK1N,0.028045600779576598,0.07939532860003157,0.1639164633111928,0.1568959571328031,0.0602503214445071,0.07163286714209678,0.020996510365085538,-0.012931524491180053,0.0781092607220194,-0.0013143369237494402,0.010221709449671792,-0.03133160209564356,0.15121363437649626
NTS,,-0.035705462641444266,0.013626490016488304,,,,-0.060323244662023275,-0.025394240245021252,0.12978173186573952,,-0.02968404792893167,,
SFRP1,-0.01647673622422722,-0.012878879155705597,0.014297129309123024,0.04653873415903263,0.029790676657695647,0.07808615225759671,0.026327482742780874,-0.004604060432698555,0.08838292365121668,0.011461135305547748,-0.001088832508585517,0.03957831997343118,0.030704717903415252
CXCL13,,,,,,,-0.04988044449310941,-0.029036799339546608,0.046537276186338176,,,0.0346830312744963,
MICA,-0.0023467383646644715,0.06474483485061287,0.017680911335858904,-0.05479565477258347,-0.003915116786180441,0.10584700835078545,0.018601352365242265,0.029841798787296696,0.0008693262748286991,0.048017498860132506,0.03932327975972731,0.021525475616644797,-0.03232162280394472
TG,-0.001749648225472008,-0.009320388823027437,,-0.01967429429555404,-0.021468235228277538,-0.006420193269655535,0.01996850436931291,-0.03127578286933047,0.02649870798289575,,0.09231681877666237,-0.04896847602493126,
ADA,-0.004911996703194605,0.023481501636452504,-0.06880434362045279,-0.059953353056299154,-0.019246549767003254,0.07258633271925168,-0.03981281720067707,0.03097223458972269,0.036590556084760244,-0.01644798792031889,0.02865390630668301,0.024773911424682236,0.08918659473071876
LAMC3,0.024573524376373307,0.06366214333980282,-0.032569657201312975,0.08318465636886913,-0.04526530472391591,0.09972173396543299,-0.0024858732101887995,0.04734056024465729,0.002891623736751605,-0.052789607534583484,-0.01743936186054999,-0.01642256013745641,-0.052865784051549604
CCL7,0.005260994970087754,,,,,,-0.02679430312669578,,,,0.03943646177920921,-0.00906248734287883,
NGF,-0.027339906877531038,,-0.007101553960011639,,0.08487308327967732,-0.06708545911586378,-0.025718578760092304,-0.0003412973580721829,-0.02227889282628765,,0.016646296521763426,0.02520084628484141,
TNFSF15,,,,,-0.09225067789454015,0.11022016318479307,0.022222890117070595,,0.03910661817779612,,0.017632695854951273,-0.02669761286845411,
HMGB1,0.04944547090866559,-0.004379084049464854,-0.10886895620998331,-0.011101913482620627,-0.08905936663404815,-0.09588833045393616,-0.03713306521951811,-0.008583878442362778,-0.02836257858985567,0.0784834516472328,-0.004963719411954531,0.025230966302544396,-0.03815289987725095
ITGB3BP,-0.02993509985440836,-0.019039925098810816,0.004850589042826077,-0.08919426783499267,0.10646729315211961,0.08979159956035647,0.009902086946513788,-0.044293107879767965,-0.010109158349784804,-0.00018226637722421567,0.03135325108114434,0.010734299721426485,0.03724453758577043
