,UKF259,UKF269,UKF275,UKF296,UKF313,ZH1019T1,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,-0.015697213487388787,,,,,,-0.006583721327608483,
BMP1,-0.019969705711705577,0.06093488185387051,0.004463811250167697,-0.006545202070957047,0.011981804983269327,0.005258497790114812,0.03922035707118686,0.16278966479378193,-0.009197048595007579
NDP,0.027632252778955303,0.0031882611501689467,-0.004007209805574718,0.03252151263587596,0.041572601383647975,0.03570670887931284,-0.01821978480636769,0.04484743565229783,0.05642611720450781
TNFSF18,,-0.02330989078550996,-0.01588254012390742,,,-0.04782914540403563,,-0.03269046965786273,-0.049517446676618754
RTN4,0.004911276624298284,-0.10333715381081908,-0.015296700603858713,0.061186385944623466,-0.03680489076412846,-0.04144980128718344,-0.08480227965947798,-0.07641218948531314,0.25064791518527196
HEBP1,0.06559322619615278,0.05976030070744507,0.03291129865951751,-0.03123957779643899,0.008073788576880164,-0.051420126883123626,0.026758196543152472,0.12494169212985577,0.008203769583061073
WNT7B,-0.043733159583637576,-0.02844892708618011,0.013693354567586408,-0.02005365613868964,0.058729614706887756,,-0.017862334833249994,0.05721425795854963,0.009896752292392662
PTMA,-0.010970694856788712,-0.10662242486811653,-0.000954857715319289,0.02651488474696841,0.010312408917862063,-0.004153045107590884,0.04068723930929325,0.09007267497634938,-0.16570788795941357
FASLG,,,,,,,,0.012439304234857954,
CEACAM1,-0.0006955299189051431,0.07373178300363323,-0.02497945185324818,,,-0.03363200651242086,-0.011855491413275122,0.017128349296121188,
PDAP1,0.039496197360809435,0.09815139552434032,0.07370158306752603,-0.04290208011237891,0.009001265021422853,0.05551878043031108,-0.029560935342708584,-0.08706993595637968,-0.15738421206781322
QDPR,-0.011239843713911225,-0.13778632137521815,0.031963575036680084,-0.06292412493521879,-0.03673341490409516,-0.014072059083451802,0.035944658099343905,-0.004793852228667348,0.3185217578413703
POMC,0.018352907225333843,0.040822092645254236,-0.01842884359809421,0.00999766238075424,-0.022929648879167968,0.032759526404129144,-0.019394026548001507,0.04192284242160258,0.05073039419377499
CCL18,,,,,0.0042837366544318705,,-0.03063557719477741,,
CCL17,-0.018710016237374016,,0.035430918839307934,-0.0020417838912834573,,,,0.03572787448146659,
VEGFD,0.012283285167522768,-0.010699907355185702,-0.021104408928923214,-0.018206360415432752,-0.01549219767834971,-0.04572197584763641,,,
TNFSF13,0.008987280769768895,,,,,,-0.01331292227201679,0.05953299831951129,0.06283503355611486
WNT5A,-0.0028896775765205216,0.08370173564726294,0.00014824736852573944,-0.0095500163803624,0.014311590395805537,-0.032932018160471886,0.016122642384655248,0.12899404502210665,-0.13454915606554316
CXCL8,0.04107092192598556,0.02756250892062832,-0.014318211916311,-0.016954554457720095,-0.032735346024329516,-0.05067975930923233,0.01115077902531175,0.0541049171244323,-0.18885630569969242
GRN,-0.01643315331604945,0.07414211497784137,0.037675250301235155,0.006113807321722951,0.007103694610291357,-0.021063612338973223,0.1348545294417626,0.25150255190438,0.06842024913225078
MIA,0.01954300589821611,0.048358573714565097,-0.023974449227647923,-0.020705900748752767,0.053532317458711676,0.01499462604219915,0.10272404221333944,0.0403004248087915,-0.03904965375030719
COL4A4,-0.05461556181614978,-0.01546843876352705,-0.02068081189235745,0.015773601531473894,,0.018195691476788633,0.05237555298794432,0.07765854315899039,-0.09856349470775323
TAC1,-0.05110660947062327,-0.07988707779024294,0.028715107054425117,-0.02177225164536531,,,-0.02045410010984172,0.13126342429060275,0.13995095868890453
RARRES2,0.02111277305802304,0.13990312216945183,0.052413845106939756,-0.04071188425235493,0.0014842290899881698,-0.02101082366956379,0.06006946894004683,0.03367656482378815,-0.15662182347613923
