,ZH1007inf,ZH8812bulk,ZH916T1,ZH916inf
IGFL3,,0.03725324673725381,-0.018395380607227618,
BMP1,0.14779525924591996,0.1351467710333065,0.0151439852635921,0.06950046333161097
NDP,-0.049732402679823734,0.007482046190234998,0.03029104236503404,0.013069647372558552
TNFSF18,0.16013088849558382,0.03624029518917459,0.025281405512492756,
RTN4,-0.10762702723887979,-0.02559920753041834,0.018989038477035845,-0.027042709563285933
HEBP1,0.04041579216358382,-0.025802842581821906,0.027246172652501857,0.018067189068708852
WNT7B,-0.03053719681360671,0.051249868968006256,-0.027975666333689784,-0.0037792898939739174
PTMA,-0.05941561223907702,0.00031609121492866813,0.04371182344651259,-0.0048406409863672355
FASLG,,,0.03655956505223864,
CEACAM1,,0.06878411199078788,-0.003075078596392609,
PDAP1,0.041538485658129495,0.009561383379200254,-0.018466000756062403,-0.07107763088237348
QDPR,-0.05705955578119551,-0.01365967640660848,0.02082960167279554,0.0627637661190553
POMC,0.029464443390039365,0.03745760125985828,0.022370064896903272,0.007581891465181618
CCL17,,0.10388542642135501,-0.014460787608369786,
VEGFD,,-0.02502490761214279,,
TNFSF13,,-0.005779627631433352,0.10170207910502302,
WNT5A,0.05979435355998121,-0.035336653062261796,0.02926557071690986,0.006697322452517279
CXCL8,,-0.03368749894590739,-0.009275425701326943,0.051214023979207386
GRN,-0.04828287698292419,0.011337843156823168,0.01818053587652055,-0.026883453676552743
MIA,-0.02373610000046918,0.027130198633011807,0.06755230246586455,
COL4A4,,-0.03654988472461941,-0.0021012707110145156,
TAC1,,,-0.019010175745976826,-0.05909380343195407
RARRES2,0.055815547968439384,0.024095179722652876,-0.05649742310820577,0.0928158702319354
FGF7,-0.019286541683951663,0.018154667096575212,0.0015782096508211944,-0.030342631710330158
HBEGF,0.005566555300835095,-0.02437372696716366,-0.0194583820127923,0.10043091388586171
CSF3,,,0.09308519120238373,
PI3,,-0.020160154412004413,-0.0330788203029346,
PCSK1N,-0.051584929231035415,0.06135511854595483,0.05688267537378701,-0.0018795779741023768
NTS,,,-0.022546117079401528,
SFRP1,-0.03249461051734395,-0.04492235215544164,0.016517941098162053,0.050480404932370486
MICA,0.02702632283402218,0.07916207659368513,0.020110510434942722,-0.03430152077379624
TG,0.045593732044461384,,-0.0020827436220112643,
ADA,0.037113790911150406,-0.017770149581529043,0.032400447005807645,-0.005021454243028339
LAMC3,0.07864795104953112,0.02587741590723555,0.041678442762911924,0.04123257833684626
CCL7,,,-0.015954301651812487,
NGF,,,-0.038611920091238545,
TNFSF15,-0.010612091623346235,,-0.0213239765788652,
HMGB1,-0.026331230078389063,-0.033451559012091646,0.02931432348276457,-0.030269670890781863
ITGB3BP,0.033897310623132414,0.02421092632815868,-0.003184918295352887,-0.055781803440380424
AANAT,,0.03887363268611738,-0.016880316476748092,
RELN,,-0.007624569673262294,,-0.051371683894436304
IL15,-0.029588807725302875,-0.036549880092784655,0.025648328755321286,
UTS2,-0.034381916070261,,,
BSG,0.05469182750363893,0.061278668815403455,0.05610293725469718,0.05788319729991368
ADAMTS3,0.0027702658342644887,0.046308701877388024,0.053929463185846196,
CD34,0.07183269829489836,0.03098326792150858,0.021697648817183834,0.1133721418519164
CCL23,-0.03091852469209942,,,
PLAT,0.04487934249087016,0.042100136032186875,0.08662087503499505,-0.08489445467743519
LTA,,,-0.02271836205295548,
CKLF,0.009510874272096693,0.022879533766685844,0.046465378994417106,-0.04809942120152592
CD24,-0.01053526446936116,0.05164723370320033,-0.025390942006116496,-0.053975800799708186
HSP90AA1,-0.09951437389758086,0.05259427083464734,-0.03278043810019972,0.03819331954615655
BMP4,-0.02644018870377542,0.01854171096181032,0.0019916672970203865,
SCGB3A1,0.043696197857429134,,0.04671552395345499,
IGFBP4,0.059428191174442625,0.06912995274022311,0.05550087970740735,-0.017603001342735663
RSPO4,,,-0.016091917369450526,
LEFTY2,-0.07158684281905373,-0.039400150824780135,-0.014112782255488789,
PF4,,,-0.02271835679575799,
ANGPTL2,-0.07047264041384953,0.004167419696355172,0.037057895104454716,0.06172461414354129
LRIG2,-0.0044337731358991975,0.0013063203383535842,0.0712139987780306,-0.08018867992935978
ICOSLG,0.026860312881123744,-0.003725258760917629,0.06891209184237229,0.10490516098071113
WIF1,,,,0.03315635963256397
NPPC,7.913425287673918e-05,0.10292172577807034,,-0.05098457143205853
LYZ,-0.0010054342654331112,0.016965321104296813,0.0166279067725654,-0.07370963801987193
EREG,,,-0.022546831896499343,
SPTAN1,-0.03655185046229289,-0.019730392527247523,-0.0009722835171080993,-0.0444755619225953
LIPC,-0.028967494816744897,0.023565159845536133,0.031234279408592542,
COL8A1,-0.11148308779044455,0.05182682667043785,0.050974978473911206,
GSTM2,-0.027955689978267837,-0.0076145895967958,0.028161204801458735,
SPX,-0.03621468950662661,0.017546678298836462,-0.025855703455431145,0.043611868842321426
MFGE8,0.07264729870753048,0.03560558227106967,0.04883022707957527,0.024148234702053302
TGFA,0.028459052388276278,-0.034006341077767045,0.045521056321150735,-0.006127747693281739
SLIT2,0.0636227534931872,0.024814893140696515,-0.03970483501916796,0.019503965722945108
PLTP,-0.025469765082304703,0.02993807548568181,0.07113946001501723,0.0424413015235955
APOD,-0.044689749184871175,-0.017006370463027432,-0.042280377880386674,0.002713900446302645
B2M,0.011697017970073565,0.021321753935714557,0.06946336474263892,-0.03588989690328659
OMG,0.008146725313399375,-0.06210398981021838,0.0280371005168708,0.06991396886361632
CXCL3,0.08055732353915485,-0.020668161762944753,-0.05674777962196351,
CXCL10,0.015450396592404516,-0.027844422519710452,0.0436194076036818,
RSPO3,,,-0.01619049646512714,-0.02898678010272181
CORT,,,,-0.030953186192089296
NCAN,-0.09930327883008154,0.057230271586140656,0.03900035611033917,0.068380482911417
PRG4,,,0.04339511952916423,
ZG16B,,,0.10665079594980496,
TGM2,0.12170706021705918,0.07122134349395295,0.0022839621073993044,0.07348307056028584
VEGFC,-0.029617996825784497,-0.027261645938379493,0.020710355285993166,
WNT6,,,-0.024380925621468402,
NRG4,,-0.02189070792150496,-0.016190498279695518,
PMCH,,,-0.010531697188715947,
COL9A1,-0.016663848700363974,0.0405755277212542,0.03251035456627493,0.13582004895076888
GDF11,-0.022706084583519272,0.025904380685613983,0.0698615236248738,0.003939132973790282
RAET1E,,,-0.017760861576232648,
SORBS1,-0.07990385684381217,-0.06819198586214255,-0.02660602798226677,-0.003572308178095919
DLL1,0.05753956124661615,-0.047768706150065426,0.01375952386709545,-0.06807692223852406
TLN1,0.10656411904821442,0.043689842619691895,0.03287766957493952,-0.07429676875384778
COL2A1,,,-0.023562644593465545,
SHH,-0.07794050704556815,0.03958101672108792,0.023000937771296526,
PON2,0.04990996992641171,0.04379603841967998,0.0103350837084316,0.07002103337847351
ICAM5,,,-0.022344232597177844,0.08158105489946964
HPX,-0.028153488575945716,0.17580186175554494,-0.0373634607318982,
SFRP2,0.034101749754607565,-0.0579060321946692,0.0065576776128506995,0.014078220725363494
CD70,,,-0.02470153052605666,
HP,-0.04676748132400867,0.0423895447132972,-0.006386753459062392,
CXCL2,0.01401150739789374,0.03293190181147422,0.06967637034116271,-0.05233300840766975
NPPB,,,-0.01642345736538911,
CCK,-0.028967518197478774,0.019579317415948698,-0.021305657804030015,-0.05243704011420221
SEMA6A,-0.05233725638485634,0.03689169497692061,0.02830767214652908,-0.04023234077874289
IRAK4,0.025168953577759147,0.059762564719197005,-0.01912884442429234,0.0385991758255247
GSTP1,0.06452619329928748,-0.037768920603289735,-0.02010848736488789,0.04089714309880192
VCAM1,-0.04014799949125554,-0.017929687745799894,-0.005653842688097482,-0.06202780353572147
NXPH3,0.05233095699863118,0.043168310179472785,0.0555418870510841,-0.007012536114152494
MTMR4,0.052181732912088774,0.03048063931253367,0.024240376635665542,0.19942290131046753
LAMC2,,0.025645111194730112,0.010745774107431981,
IL10,-0.05303218376894505,-0.020415608244020847,0.00226226463845394,
SEMA4D,0.0035610148735957022,-0.04438843457782609,0.029909624217489536,-0.022129509325287126
TRH,-0.017447150029039248,0.09593726029156867,-0.01839537363049608,
SEMA6D,-0.0084801958584695,0.023854201563711035,0.035644985689756645,0.030202865459908874
CEL,,-0.0033044487034983613,-0.004075951941982444,
PDCD1LG2,-0.056585318226567614,0.02677747535600068,0.07298471104851992,
SPINT1,-0.007232033133662645,-0.016562833016274002,-0.035695900251885855,
CTHRC1,0.01704358993366929,0.04641567715808803,0.023941163462164957,-0.009285615610569897
PODXL,-0.027273353117715587,0.02642358477259304,0.09172885608250035,-0.011239418716125108
JAM3,-0.0033050034436832806,-0.0033108477390807723,0.0410362277501764,0.18576331460609863
TGFB2,-0.009932242633889359,0.011405682385081325,0.034518415319902414,-0.037449499052368
COL18A1,0.05840120983713705,0.049443089387615206,0.030526702443713485,0.017426088469556976
NODAL,0.09177119493576248,0.049054644808614115,-0.025175741679182562,
INHBB,-0.0018332527986067312,0.0033793140679233336,0.04876228626484097,0.12463599256017056
LCN1,0.12120969836535538,,-0.018602403054545243,
ARF4,0.006203005081027529,-0.007786004664435036,-0.03461659202973895,0.08986558817641412
CXCL14,-0.0678129707669007,0.06951744665147784,0.102054465442387,0.02624416317410373
LIF,-0.018475575002089878,0.07702946478672351,-0.019558901983393846,
IL17B,0.07074271940038439,,-0.03142206165093083,
MMP1,0.14845360739849225,,-0.004013113126129993,
MATN1,,0.07147577786794672,0.054260294401996506,
ADAM28,0.04791364823656005,-0.011858701189260072,0.09868610613970234,-0.039107513704785116
TCN2,0.045026294738257935,0.042969156135913546,0.019379881072677303,-0.031923972404279695
THPO,,,-0.024219221975054817,
CUBN,0.09266648831344344,0.04238798912927177,0.04673297508007429,
TIMP3,-0.04366136325720008,-0.009029365378127728,0.03294366929831382,0.06013845466406973
PIGF,-0.027799903642787744,0.006930600721922494,0.08339190327065767,0.13459474220636933
CRH,,0.1224464901787882,0.020056660285500603,-0.054784252306756695
BDNF,0.00838385815050946,-0.009896346871758135,0.09259823657407863,0.015958450494951076
CCL5,0.04830123361340065,0.03609189548732965,0.034290508500476755,
GAD1,-0.015956142129975814,0.014435233040943013,-0.0527361062888006,-0.028574381634460966
COL14A1,-0.03308537286313272,0.04534813912545293,0.0548419615746376,
HLA-A,0.06276845877983624,0.03299514621747576,0.010183042514171242,-0.04938819433855728
FGF18,,,-0.01839537510634247,
ADM,0.042962604440980295,0.05466486152047067,-0.0004883116477491038,0.055992367739184104
CCL15,0.07746235337988341,,-0.015954307401638116,
GNAI2,-0.03105985845487757,0.03914051632040455,0.06024764603381162,-0.0496949340757285
HDC,,,0.0012688956570773584,
COL11A1,-0.10196157949381171,-0.03016598581861128,0.029301316073207878,-0.02521969996983066
NUCB2,0.04614054550527856,-0.01596081170714727,0.028673478905227586,-0.08502624736408348
