,MGH258,UKF248,UKF259,UKF266,UKF269,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,0.1110429114448557,,,,,,,,,,-0.02187257300739558,,,0.056588860702225935,,
BMP1,-0.035015214101331966,0.1024072676007916,0.035770007897506916,0.036470817935088586,0.08001566831143905,0.012005562875238008,0.08191621698008371,0.06214260027849537,0.09275810376369376,0.13704114731962333,0.1354445233567054,0.12288086609656344,0.03456837988819526,-0.0017036055803866712,0.038910521241846234,-0.005084992878951771,0.03163091662942741,0.18040510145218538,0.03162578955597511,0.11018135948497124
NDP,-0.001933226272276232,0.06061812146746355,-0.003498712392899268,-0.011081277169487064,0.04840387270249577,-0.030193615278891417,0.1158054173817782,-0.01594380418466972,0.09272145420219376,0.060703759924480606,-0.15559446133882787,0.019722811904373264,0.005747981174815488,0.014002757193715836,0.05138022064571892,0.0037108646694543734,-0.04217487216306636,-0.0302317470985697,0.007571957024213548,0.00798550202644762
TNFSF18,0.10681484720861847,-0.018077523834417394,,0.009020859997246184,-0.026715053089630496,,,,0.0013581441137866983,,5.629096501224771e-05,,,,-0.0225567984689413,,-0.013360117324358201,0.049868325549254654,0.025126649962926694,
IL36G,,,,,,,,0.0103780090460028,,,,,,,,,,,,
RTN4,-0.008117948323204425,0.013634890401419436,-0.05052832082437891,-0.014197011344749016,-0.08135513308169226,-0.016551118722748878,-0.07082833066377921,0.03506080451705647,-0.10790406721524672,-0.0884323293732534,0.01803534766092385,-0.08089731421875102,-0.07917373767035851,-0.031340465639330004,0.007195654990355816,-0.007645422861236934,-0.007552535281034659,-0.028303498078802072,0.05221303011272362,0.05490361688997157
HEBP1,-0.01094172773076509,0.06565714221125726,0.0515688887674966,-0.03513992275663613,0.03577203871763786,-0.025259580361339434,-0.017578160251742764,-0.030849197837736063,0.05350891790039612,0.03253371330022684,0.10137830684617556,0.005112024637926828,-0.03566385373635302,-0.017222180043293397,-0.015200412588866064,-0.01543661857238383,-0.010811183416650473,0.06156844216098512,-0.04994508324067486,0.014091036944754219
WNT7B,-0.01886067578606408,-0.006187175812707391,-0.030400215099711022,-0.009975671230449472,-0.014943538508572768,-0.014267906753158976,0.0632610691476568,-0.015116034573743229,0.08095083189172408,-0.012303126902840416,,0.012120623559425362,-0.020447063240611123,-0.03401645552753963,-0.0007856858672524908,-0.029737035026169596,0.012381169214951438,0.026613529543981676,0.004249628378092811,0.014578707407010963
PTMA,0.040120106136118105,0.027456506877722924,0.04617825272311397,0.01029392504224389,-0.04566482065249334,0.0042022556955054365,0.09898795045929384,-0.04352541323935121,0.042559068240079434,0.09140347280309125,0.0010177687769829633,0.00880088256734585,-0.028264815973054094,-0.028026687111800737,0.05236926116218356,0.06262461611116679,-0.07790685385602367,0.12825295620517,0.031152119484042475,0.032200192609445996
FASLG,0.05420490617738536,,,,,,,,,,,,,,,,,0.031230528826693065,,
CEACAM1,-0.026188220795025818,-0.0013373766362856118,0.000952174345711098,,-0.023902165975187482,,,,,0.010016854789991942,0.0947039305248601,0.025684323430025715,0.02908627552982628,-0.01647938902458639,0.06044284404096194,0.0005011149438029598,,0.03017969210691458,,
PDAP1,0.046652429103965415,-0.026050990353451466,0.034237520199551154,0.011805772794970266,0.06173315750517422,0.01826392503264552,0.12212655768841536,-0.0021302559181006603,-0.0031207993688452808,0.10332961145463253,-0.041006485429384294,-0.10518498672809387,-0.009669962657990605,0.01682597031058996,0.03927047713480785,0.02324328340781983,-0.010421361249823275,-0.10493746249613606,-0.022555275805003435,-0.08070504836140042
QDPR,0.05446410939442785,-0.07585230537283258,0.005700580658193804,-0.058043309065462775,-0.08706643078717385,0.012204526419884757,0.04830287307894623,-0.03795064266573931,-0.05269786444159207,0.0656827179349035,-0.019982287844028838,-0.09663233247003263,-0.022083942585329322,0.05970920702114978,-0.03134491860094883,-0.01805116134149071,0.009021697405792967,-0.0068080265800832766,-0.0020758825328473923,-0.05136333671491664
POMC,-0.015368832489539335,0.08615752849534482,-0.032689834047520155,-0.030646911076815712,0.020333689521368294,0.03492550323393564,-0.0037713713862493796,-0.029465760158764898,0.03836855511163306,-0.021327506679113477,-0.05703818715183177,0.1637952444794364,-0.0037085533631233784,-0.026320997794596526,0.08496184924685755,-0.02362279198370073,,0.07599822682316879,-0.02317485886640062,0.1346196860916293
CCL18,,-0.03369933971964821,,,,,0.04388285158438924,,,0.05551852267882829,,0.0681322640166872,0.11018256114192872,-0.000448691494788168,,0.014626716887693068,,,,
CCL17,,,-0.020346441804930063,,,-0.01765966886724565,,0.0412461076495375,,,,,-0.01331199751989532,-0.023789032623704312,0.041322018622143235,,,-0.0424513740113336,,
VEGFD,,0.01657855039622811,-0.022668183022573198,,-0.030138575660861984,-0.012953580680015248,0.0380237110994107,-0.013464879681973988,,-0.01795354862923013,-0.05794915154785105,,,-0.01647938902458639,0.003339630713703483,,,,,
TNFSF13,,0.014146963919553985,-0.0140345201902269,-0.015064716237902396,,,,,,,,,0.07793282464660316,0.006846043175625888,0.0027671117266991527,0.04071592380091328,,0.05014730014474453,0.04205762790052587,
