,MGH258,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.05441636081847822,,,,,,,0.07754936527251037,
BMP1,-0.06930218454256501,0.03589686413025675,0.010791986137293083,-0.0501311621590057,0.05928566948427753,-0.027830292834549235,0.13116712748691975,0.04992875630884205,0.007227108168175472,0.01609515253483128,0.04484532599983217,-0.007576855312934365,0.019465251555666297,-0.02958704893423615,-0.06713664372877391
NDP,0.061917113543241885,0.006516804472820762,-0.010659740835931015,0.030707313904078933,0.036452698293592246,0.06436335059538244,0.0344021786316621,-0.013285691620480674,0.0023319385488902505,0.010858247745707941,-0.07617717612163404,-0.044773787618292135,0.028175156903722045,0.01345169473597909,-0.028277184341863795
TNFSF18,0.09956194176130236,-0.019872599663920746,0.012027340142713056,0.03192827628825439,,-0.012763183714139897,-0.0191954000992974,0.03499973624157368,,,0.00484824192929833,,,-0.03593882778238358,0.04991206334425388
IL36G,,,,,,,,,,-0.013552784655005352,,,,,
RTN4,0.023565697080989448,-0.023105981661381003,-0.013284818895900953,0.022097191671736034,-0.03015320739513054,-0.009642580114076987,-0.17168155625119833,-0.028820106454115105,-0.014955034557846084,-0.06958821822098109,0.013585037390442097,-0.03947855034028472,-0.03648003577075743,0.009928996025612508,-0.051846444801258225
HEBP1,0.018824080097605,0.04500703528164599,-0.01265905223334396,-0.006655928795155578,-0.031968616692090106,-0.0024560903498189834,0.07005516413411698,-0.015901804866104586,-0.029395306771289383,-0.042708864917104565,0.04082228249613726,0.05491449859110291,0.05587141293267216,0.007820288307524084,-0.0051952084173894604
WNT7B,-0.020161102587168217,-0.017865732315088135,0.05376797536533293,-0.017018620989905354,-0.028071513595987144,0.01680935438690485,-0.02691479159501588,0.037679569380088644,-0.04941409193382563,-0.014896072177721447,,0.106924287696484,0.027985830601435894,-0.036075291412483494,0.02064236246443062
PTMA,0.07115552977799942,-0.024416920999190992,0.04356976223992284,0.04975621310640921,-0.05221195098703694,-0.012072405479475471,-0.06076595035646318,-0.014377387660717493,0.05787797966306529,0.06073058819726361,0.06011025667002326,-0.038821682659663445,-0.02203564208598939,-0.03238562860355452,0.0463118425025797
FASLG,-0.020161108286660272,,,,,,,,,,,,,-0.018478385697219418,
CEACAM1,0.053567626164632814,,0.040225628678200634,0.01144497569058649,-0.03241455022403589,,-0.04141021649667927,-0.01836162348633581,,,-0.01818602813456112,0.0015846256660240047,0.008729534653231183,0.040002039228867296,
PDAP1,-0.008776799619122325,-0.021279147654241798,-0.004323180968699617,0.02233734797580302,0.06967486819690503,-0.03192488550912868,0.12346307187471,-0.009930843565221436,0.06073956411790925,0.023321630963070505,-0.11837123410664445,-0.018420549685541136,0.0032383851432198543,-0.02133907281115762,-0.006759822831972848
QDPR,0.09929184690113109,0.0030017059373796478,0.010898928171450339,-0.03307831210885438,0.016909875299725426,0.004639567279990327,-0.15247730445366423,-0.019699540080155096,0.05272599286576739,-0.01262777192705433,-0.08396356226055071,0.02467760401349253,0.03161929349437257,0.018778530054286566,-0.02996107452124975
POMC,-0.04234775154819911,-0.03752278463779137,0.016509725748656317,-0.02320690100247357,-0.030185744341139503,-0.03367185284968426,0.0669384675895857,0.006909657705803485,0.09704688026923582,0.016652644435410306,-0.08856456191718165,0.05392435906623908,-0.03811213384177758,-0.015558735952736826,0.03606398104763406
CCL18,,-0.02665079015845497,0.020989982089229902,,,,,,0.07387655446764413,,,-0.02452996414777963,0.021190457245449528,,
CCL17,,,,,-0.018787874226669034,,,-0.01456070453984554,,-0.012380853545773288,,-0.014063964081059276,-0.023485122845736027,0.03285825664425396,
VEGFD,,-0.030027650888936528,0.07128553256009736,0.01503298292302201,-0.02093176662820841,,0.06433611941770735,0.11169043640155489,-1.4058679467716166e-05,0.0860513454842001,0.06085958474761499,,-0.016268861444977092,,
TNFSF13,,,0.060304537979423985,,-0.012959455156514846,0.017847882914796893,,,,,,-0.01019823984820313,0.10592159181808518,-0.027290415035500303,-0.02901804342073641
WNT5A,0.014935447087971104,0.00014539356127163855,0.01770551413860687,-0.027763454030750725,0.05270210490096192,0.004636179144134979,0.09830393624318015,0.045019150374989755,0.01746188524468465,-0.04070198814230584,-0.07319258343347171,-0.05679930920371718,0.022799022784850125,-0.006127500044141013,0.07277595679927266
CXCL8,,0.0011458463242116576,0.049559996375013744,0.03761191396388664,-0.01691742222749242,0.0037573234033639494,0.06541090081212743,0.032001925606867175,-0.008041647636175915,0.037854279678023205,0.039620744888561626,-0.025654811500267393,-0.06622352796905064,0.047982262702245385,0.04871481198356431
GRN,0.04054506975565671,0.03274724750901715,0.03630291131102792,-0.0035175088215420565,-0.02257171167228406,-0.00025072964768855344,0.1276967918390656,-0.011753317815612865,0.011869339635362708,-0.02399838934452122,0.036156339298126415,-0.046806903389125305,-0.006852341304542703,-0.04552918664954365,-0.056748296307667964
MIA,0.13319174644659706,0.08495588594359155,0.07621764326842304,-0.01663663513458869,-0.014698266033388937,0.02610675428618205,0.1465795219753704,-0.007327094774523394,0.0042007833575500725,-0.018172427194481644,0.05486521049011046,0.05753896206821514,0.02188240265899948,-0.06430107149471646,0.06603127007272543
COL4A4,-0.003913349205181249,0.14754454713179296,-0.013704657385336615,-0.027977865132257397,-0.019320166685303886,-0.01177676395960848,-0.0025530545413138825,0.05720801151792132,,-0.017627928559311983,-0.045009579919703106,0.050178270983370306,0.005081749450260724,-0.023360230143727786,0.0632512828038115
TAC1,-0.020161097317830803,0.010206619354473546,0.10573214454982119,0.01550234247191109,-0.04326463714336301,0.02364777490608802,-0.08759513127690167,-0.010738115700492656,,-0.031240378619732237,,,,0.05173067510065417,0.005784739494673482
RARRES2,-0.03647413777098867,0.00912321663266992,-0.030809020111253457,0.02876523563821204,-0.031003317820517903,0.042460633455802047,0.12640936340000722,-0.01753609827895013,-0.03032269937956108,0.0827146871859644,0.02977320668727486,0.01618057623879363,-0.00869524375493246,0.04970648316253015,0.07940357688309499
FGF7,0.006558922341009283,0.050139275479448076,,-0.005625408510923184,-0.024010134788173914,-0.03375418600879107,0.05500719024854601,-0.034654506052744255,-0.015437445662305727,0.05963921974540053,0.05353097072345208,0.02853679433066786,-0.02148943725886945,0.019702997251713532,-0.007074802852115606
EFNA2,,,,,,,,,,,,,-0.015462464041180655,,
HBEGF,0.04093310530490545,0.006085675384978814,0.039907120321228576,-0.004767547168698949,-0.05225450548134515,0.030618678456590574,0.06648217107955609,0.01590518273446179,0.02462262252370578,-0.028133498085350272,0.04351881156556668,0.022673203408574732,-0.010239241188780066,0.032591824342193494,0.10296056788361875
CSF3,,0.008581922968161623,,,-0.009519867916590527,,-0.022092986063603423,,-0.02928531092849536,,,-0.02301363964114579,-0.053941333808121945,-0.01763367217659999,-0.03411481361313684
PI3,,-0.0031069429506532637,0.04046475122706716,,-0.03864443383596838,,0.06912323470412618,,,,,-0.07819537887208794,-0.029907530524191945,0.020899443176680566,0.0839939079462914
PCSK1N,0.025342568491607504,0.0029096045039802105,-0.011334461297002957,0.015189406124864323,0.03760761109310508,0.010087477024712363,-0.015261083039489587,0.07501773381009176,0.07203439006997102,-0.05120680203968519,0.07594616540980996,0.06013838781396503,0.027103327582741043,0.009866715691411686,-0.0932957482131877
NTS,,,,,,-0.014376753017602795,-0.013060189120587753,-0.017366319138439,,,,0.021540466304388977,-0.018838078224061357,0.05508414380633542,
