,ZH8812bulk,ZH881T1,ZH916inf
IGFL3,0.06942150226247969,,
BMP1,0.04916949330281563,-0.005803426220198238,0.11186636162798314
NDP,0.045660249784834565,0.03974628712890277,-0.06573979296543461
TNFSF18,0.01860217660879761,,
RTN4,-0.05928531572109831,-0.002443674517106358,0.13141544426055457
HEBP1,0.018286579850159575,0.055116256393263334,-0.0059910210462748685
WNT7B,-0.007017395275343378,-0.029824919789332525,-0.04256272546810686
PTMA,-0.047535976881674984,0.01779831603519757,0.028127787164525846
CEACAM1,0.13707936340639443,-0.019795233028879273,
PDAP1,-0.01833911288747092,-0.0019083453164552983,-0.10476018454264974
QDPR,0.000811861420131363,-0.0014759718419545661,0.05565165272431005
POMC,0.06688201556261662,0.06650964456779818,0.051428882039783956
CCL18,,-0.03183265443431915,
CCL17,-0.03029002286636117,,
VEGFD,-0.031946625129086796,,
TNFSF13,-0.03248213232420264,-0.02222871996472793,
WNT5A,0.03551919530907834,-0.019493373509198955,-0.04741069813557579
CXCL8,-0.0306912817932113,0.011940449129374251,0.06857882527331628
GRN,0.06881103213544573,-0.017075391523222776,-0.06578735218180584
MIA,-0.01886398570684785,0.020570683899505907,
COL4A4,-0.035001758048967616,-0.03026343630102916,
TAC1,,-0.03415241629013913,0.21536138219792333
RARRES2,0.05381843420843249,0.043319541775778306,0.0014941947725436715
FGF7,0.07686039276469034,-0.043270357384594615,0.01945661803135244
HBEGF,0.010458588069134194,-0.011990732049368687,-0.050412559290963097
CSF3,,-0.0283791705493211,
PI3,0.05276011104623622,-0.0041791506392717176,
PCSK1N,-0.03363614564074072,0.0009217310022865584,0.028747658963573768
NTS,,-0.00020103293556486605,
SFRP1,-0.033061538572859275,0.01828676822012097,0.05473824043216117
CXCL13,,0.06636816353028502,
MICA,-0.025409177357105656,0.019536682935183406,0.010395661192759493
TG,,-0.023356493452909084,
ADA,-0.00320259602958597,-0.009360074652449259,0.08529612458541624
LAMC3,0.011133590670840132,-0.016583985966666433,-0.013289815815159632
NGF,,-0.03975207583004247,
TNFSF15,,-0.017622977700884758,
HMGB1,-0.04454986351087653,-0.0022108601601582233,0.057095411960038145
ITGB3BP,0.024085771640875612,-0.04551849075591431,-0.01322292790685303
AANAT,0.02194937570741547,,
RELN,-0.0027847084407376563,-0.021286647219549672,0.05263679879500561
IL15,-0.001741135609819098,-0.04298786645225217,
BSG,0.06938416040631468,-0.03112324810683686,-0.03115048972023835
ADAMTS3,0.010874886551862757,0.06362165487993038,
CD34,0.062291331181880454,-0.016602688742710113,0.15162250318845172
PLAT,0.022323114054560625,0.014086009059945628,-0.05184269508178085
NTF3,,-0.0277597612746357,
CKLF,-0.013122646638915571,-0.005235118505309074,0.02605543465267776
CD24,0.04171055465835553,0.01976653303202302,0.10163246710060081
HSP90AA1,-0.018495077103805366,0.026836937291398837,-0.06036493957877589
BMP4,0.17033252313449623,0.0034946890499612418,
SCGB3A1,,0.006928697415407317,
IGFBP4,0.02125814607777261,-0.004989576868921179,0.08962044140479135
RSPO4,,-0.0246467670611155,
LEFTY2,0.0040124778296230755,-0.033517974893534946,
