,UKF251,UKF259,UKF260,UKF296,UKF304,ZH1019T1,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,-0.022022208176501978
BMP1,-0.019605193708109474,0.006340665319335696,0.016475055706271956,0.030766282320973476,-0.007981199916729322,0.08265741163104878,-0.019432306170391055,-0.0938290530375042,-0.012658159169388655
NDP,-0.0012603298307493245,-0.01129806829170144,-0.03762364018711472,-0.022423243424076183,0.024792554326012413,0.10907692254277067,0.10703329165025167,0.05416182592866655,0.05250852348301089
TNFSF18,-0.003378080268389795,,,,,0.035823572205170406,,,-0.0022808101785270858
RTN4,0.0079219967434334,0.03329005970160058,-0.03351339170094089,-0.0457888341100572,0.029305763267009146,0.017501414556451145,-0.03365502923291303,0.03339690457137728,0.043461688985945796
HEBP1,-0.003429339204104664,-0.001505170296796963,-0.00040412541250389153,0.011706256052008602,-0.027640679281705584,-0.1574846817047357,0.02960124814281191,0.036097793986770994,0.09343110535521432
WNT7B,-0.017227636103705507,-0.010159821280089147,-0.0071770023513678125,-0.015025368794025464,,,-0.026940870658977288,0.09315301624821892,0.02841713146111749
PTMA,0.0114443178500064,0.053543614246572446,-0.006822464657212005,-0.05553541901494753,-0.05000753598384204,-0.07546245325296336,-0.0006863850991075612,-0.07488280792974052,-0.10424368487248
FASLG,,,,,,,,,-0.019099853638495284
CEACAM1,-0.013221174537054804,-0.001853204834968448,-0.023515890840679204,,,-0.04158868299009652,-0.018272030085537145,-0.013320731907298697,0.053646556530843804
PDAP1,0.007859384689961703,-0.00376195176698859,0.050679745364573606,-0.028939035369053907,0.07007049331735846,-0.020317912844204988,-0.045142370392361686,-0.053013710368547566,0.002938742835453438
QDPR,-0.019769733146123167,-0.012753219860684601,-0.03890397435363713,0.007458496435220526,0.025355939833192058,-0.039927225227033895,0.044332101896228895,0.07883339896123323,0.04107486466688385
POMC,0.03275696817664075,-0.024467732455495543,-0.015772450832006794,-0.008928095307275983,0.04043977056397091,-0.012156293408378437,0.02657248201230096,-0.02179096751398124,-0.04718737279011222
CCL18,,,,,0.02107333834602951,,0.11733308786785172,0.02378604199722031,
CCL17,,-0.015228933061595151,,-0.018597194536051177,,,-0.026376822536177708,,-0.017311872035013835
VEGFD,-0.018936679968464327,-0.01696671315743807,-0.022498672929926036,-0.013641267095980968,0.0943264362212417,-0.056538903157798165,-0.018272030085537145,,
TNFSF13,,-0.01050457719230214,,,,,0.05740414417132815,-0.014958289142672603,0.0027554421391027023
WNT5A,0.026650961516405763,0.03438023631348521,0.05358548775955091,0.04457957029355267,0.015959279419366885,0.03191636822055092,-0.020314105747843276,-0.00886852337028689,-0.03991539028093717
CXCL8,0.019013214244727676,0.02355662791934051,-0.0010450431369708282,-0.012703341061789983,0.02104708128163113,-0.06122614102540145,-0.08602506172106282,-0.06723977457245693,-0.06084163641038083
GRN,-0.05362796308936548,-0.0072609230084067595,0.058030690586361885,-0.007016173096951477,-0.02729885160205729,0.0056590102195122,-0.03975692531487778,0.007625605159370332,-0.044496215478012115
MIA,0.021168904335326214,-0.022067005252751782,0.06277423213438459,-0.015514068497577586,,-0.03091607956179693,0.1413940364367195,-0.09706831029581732,0.04965760217853758
COL4A4,0.01980480413057026,0.011950025499727466,0.04744896370965393,-0.015060539143512375,,0.04786921684925255,-0.02925637716170149,0.0034765992228021603,0.026329493358447878
TAC1,0.0176806861655993,-0.015517724589585837,-0.05615855590714459,-0.016790111629195793,0.026801266400359822,,,0.02646553965602344,-0.02275821613526728
RARRES2,0.03171692166447868,0.0037521735944989637,0.06040973772637913,-0.012561872274756875,-0.008485575686516325,-0.03216710683170527,-0.07114221880760649,-0.033529361928147455,0.022139290661171745
FGF7,-0.021373544886746424,-0.026994696835559745,-0.0007064298274681285,0.06969069847202417,0.07002872168385404,-0.11040347415663558,0.03232104207717837,-0.005975311088096158,0.009627887543765846
EFNA2,,,,,,,-0.01736634177582345,,
HBEGF,0.09508117998485945,0.006713814681997501,0.0037508168507557446,-0.03503208186273469,-0.02421981658450969,0.12907060053026886,0.0811357044733433,-0.04851005699528367,-0.023246561233804492
CSF3,,-0.01815156035249213,-0.051259755706963776,,,,-0.07673901344617867,-0.019097088783319855,-0.018226730581392035
PI3,,-0.031324113041794874,0.07032579273617671,,,,-0.09538955604277212,-0.09770530894673328,-0.03960063031574936
