,UKF259,UKF269,UKF275,ZH1007inf,ZH8811Abulk,ZH8811Bbulk
IGFL3,,0.02334121359005148,,,,
BMP1,0.06121790939433523,0.08734100780223161,0.027494354123205042,-0.006068990993437393,0.052240177224117765,0.0384762321168473
NDP,0.013021627470285464,0.007425613444094945,-0.012362646116314494,0.06979056426306461,0.002133788597161119,0.03692965968613594
TNFSF18,,-0.027970834510553936,0.009896052705075304,-0.024507778059185813,,
RTN4,-0.04638131538513993,-0.1003527936458242,0.038946381636268367,0.06023138028569513,0.05048793378304127,0.0019391307789763713
HEBP1,-0.06425623902042908,0.0183821485549813,-0.06140972524466123,-0.011981927565558093,0.00220357016225407,0.04256137003148459
WNT7B,-0.026126254126223016,-0.0681494778625146,0.014856347607413303,0.16888826406071322,-0.03348587264768693,-0.026193405889939084
PTMA,0.021634141693608794,-0.019931066254164638,-0.05223072125788832,-0.004119286137095308,-0.030183379446952378,-0.04364880342684936
CEACAM1,-0.030168333233781944,-0.036808025116275615,-0.019436942870826875,,0.07438073955146622,0.02635129285434561
PDAP1,0.012373063399452955,0.09077782097152248,-0.0013316350283160531,0.010855824359471043,-0.02886189012103648,-0.05391903010702517
QDPR,-0.010130087634189848,-0.0713849110169788,0.029832649584194543,0.04444214541598213,0.020693329757462683,0.023681113888358186
POMC,-0.01676221955237724,-0.03859674293385563,0.06322347271538192,-0.04111879421500167,0.04959938941184257,0.004071371440330855
CCL18,,,,,-0.03433749826761248,0.04006071529688005
CCL17,0.01574910316633991,,-0.01541342912899719,,-0.013311997995691004,-0.026649917705991778
VEGFD,0.04133559190578422,-0.006575857437744811,0.04945753528737136,,,0.026869693742498747
TNFSF13,0.011384319129694998,,,,0.009928391437058447,-0.014022214437293342
WNT5A,-0.00945790323407349,0.1279744675034015,0.02438912952284138,0.1067600812542215,0.06130714974099556,-0.015559524276604121
CXCL8,-0.028221561910927645,0.0028685551556961652,-0.02974357873258827,,-0.04520774872995866,-0.026097708800330587
GRN,-0.027547250566209724,0.07299424616158727,0.06184333013168464,-0.002195187309668387,0.03898536789045951,0.009594276579170644
MIA,-0.03681952141862169,0.1510234135101088,-0.030295298840478116,-0.019933528828650696,0.05105987642906909,0.03051707402593465
COL4A4,0.07609917281244165,0.06441691553270122,0.10409388350646875,,0.057586894700832406,0.02640929783614927
TAC1,0.004678812395411931,-0.10132245235236888,-0.018727830986290217,,,
RARRES2,-0.008853026778358062,0.12069801961191177,0.027481686113400926,0.056853096252863417,-0.042800501289058414,0.026525080856944515
FGF7,-0.030995449409254017,0.014201164737758435,0.0408788549837694,-0.05165657858854979,-0.052503353238961256,0.026148704310354372
EFNA2,,,,,,-0.017546145997875323
HBEGF,0.005978085087072126,0.018023821913610853,-0.002895837251807093,0.028202026483028757,0.017482432820779062,-0.045669037380138125
CSF3,-0.006852285597571102,7.349792976014334e-05,,,-0.07117322714356314,-0.0034516846588661786
PI3,-0.03596650731034501,-0.022112248954067274,,,-0.08744790184020962,-0.039491757321966844
PCSK1N,0.09021078651548863,-0.026248916737628445,-0.016930055116180235,0.058567533134340065,0.04896146239246729,-0.021331967562644678
NTS,,-0.007846426172408287,-0.0183833501009091,,-0.03105550559602562,0.056585643183406975
SFRP1,0.061694424134288814,-0.013774269162156062,0.018180032100317416,0.07321661067404282,0.013882491963855017,0.0008064960092349246
CXCL13,,,,,-0.029901476840327065,0.03236196482211757
MICA,-0.002493007706529661,0.03960827606271492,-0.025863800087657974,-0.02445304973888536,-0.024936933408537677,0.06562331793927387
