,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
DCN,0.004589483235710883,0.04161452245107199,-0.05088018798777198,0.017525905797111444,0.027466498116859445,0.0004956612887630815
RARRES2,-0.012590107888743119,0.029225712897163254,-0.04481344780397414,-0.04471265573337015,0.016813948474748867,-0.0026558381495195935
SEMA4A,0.1272227648519999,0.12535122176546398,0.0808654699347112,0.008615916702483187,0.010172815116518998,-0.007156266169707085
GDF11,-0.047962900596054014,0.0956271322655511,-0.055311509526409196,0.008723367282997253,-0.017467483906927334,0.034383309196572086
GPC3,0.07840343903892436,-0.02348263911186122,0.04340514538921703,0.03317887092122164,0.07597936557721448,-0.050508322462975035
GRN,-0.05419728746269129,0.041222876904001025,0.006050291970105945,-0.038407584258426365,-0.02530252685114759,0.01263194762499976
CALM1,-0.052215714361113504,0.07981254363628783,0.04405469296411658,0.03720922793999023,0.04585439649709437,-0.006648701271127494
ANGPTL4,0.09279481213097496,0.08675732541001588,-0.05029129561287274,-0.12767801169611379,0.006020359393277797,0.0019436401532018422
BMP8B,-0.16820244167003184,-0.0631829428246971,0.04639967618876456,-0.004928925938059,-0.015988701534411596,0.054682818778744584
TNFSF4,0.052879749929747116,-0.025702218960818618,-0.040309505771715784,0.05973822486269995,-0.006172982449614077,0.05914479629971327
RBP4,,-0.02534132397861468,0.03629410044904778,0.05693264334813463,-0.012643684827915332,-0.02551423270476932
DKK3,-0.04322064577733595,0.009034270793816872,-0.061537723980182125,0.004089699823682138,0.010047593203896468,0.01176431417511828
COL11A1,,-0.006495651185862883,0.019609373665621075,-0.015354018849755194,-0.034057909202918575,-0.07146765196027968
COL5A1,-0.06163294118786004,-0.005600144357312315,-0.027019736191172837,-0.05923354406508391,0.018039727419806015,0.006402491093636925
KISS1,,,0.054949197199305654,-0.016658326952428356,-0.01683064243717704,
MEGF10,0.08447698150678774,-0.011131492562825453,0.023520644972910936,0.00324465819442025,-0.016920366616369403,0.04264797622121044
CEACAM1,-0.06028940656771006,-0.028158549559180037,-0.0187637893835166,-0.016268860583190263,-0.013517655880337041,-0.019252386620822435
EFEMP2,-0.058070923384784194,-0.015387593440621749,0.0036512024001006805,-0.09822589856362479,-0.024638728027249247,0.04710540876481475
IGF1,-0.002390882099160981,0.007700372805012213,-0.017833516824974985,0.052398952556859585,0.014374051369285745,0.03826880880627312
COL6A3,0.12810370683025818,-0.038310933349220394,-0.022140883472342412,-0.034657093098973586,0.015749881283624863,0.002742703650018354
RLN2,,,0.044829268846153146,,-0.014035569899762549,-0.01734248933983265
WIF1,,,,,0.00813823523105696,
PLAU,-0.020954107838227765,0.0675279618792352,-0.02728025646776903,-0.013245412814029606,-0.005702677921826948,-0.036384893976803785
CXCL12,-0.027598575086517866,0.0422627716310906,-0.050759836713755536,0.041261144478080596,0.018251738668600297,0.017063415663414832
MMP9,0.09944361790210444,0.055326741748754064,0.008744427580640021,-0.020511618177081227,-0.041419304416325284,0.01430540911527847
TNFSF14,,-0.03250749108759783,-0.019785884449158155,-0.012971574482934215,0.042504044419200915,-0.019910755155752805
HBEGF,0.040021854724492725,0.012274098248739998,-0.006902150892924757,-0.006695587803887824,-0.019635736710974058,-0.018489822971617477
NUCB2,-0.06107198878133131,0.04246980927796321,-0.011318379557580235,-0.03751706636723464,-0.06554519748069283,0.04317141273309443
VCAN,-0.03008938103033727,0.03442593105737467,-0.004538664383200415,0.0792948643493458,0.03592865635957942,-0.007948807220022308
VEGFC,-0.018262093792389453,-0.029963248992661506,-0.025676588945081635,0.012536022911815046,-0.015100684422797914,-0.00018631661475610074
LMAN1,-0.059012923714988175,-0.04463283926221443,-0.04553786308240533,-0.057366283262645645,-0.040521525461029675,-0.023125688676023142
