,MGH258,UKF243,UKF248,UKF259,UKF260,UKF269,UKF275,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.026378033492043065,,,,,,,,,,-0.025049573199502642,0.060297846354073016,
BMP1,0.030222933875146147,0.04670322627722848,0.15416164564978063,-0.01686382424370608,0.016973431978092056,0.14908642100428812,0.00792843052123902,0.053388430026839864,0.22686859017021066,0.05916349888171675,0.09309484394251631,0.0004237791257669378,0.1570737846315159,0.030604376403151314,-0.009480805111647573,0.09266174712476784,0.0750322602819913,0.05382650248124913
NDP,0.01076131904803888,-0.012659409547208351,-0.002307895258204655,0.04072887299927463,0.028863389665480715,0.0312540448045402,-0.03378875135281878,-0.0023629240876602902,0.14518065024620957,0.017129104811823774,0.07112275811102475,-0.027000860853359412,-0.07586860433375793,0.04305132842953954,0.04331642463966576,0.09987487973976318,0.002913279970319542,0.07747644790288231
TNFSF18,0.07201218420466982,0.22797036666835094,-0.02275209219306483,,,0.011177956149816363,-0.016604481117435038,,,-0.04646445086546913,,0.013518899293762841,,,,-0.02583318268971477,0.0007633997823483091,0.11638335960719425
RTN4,0.03179449676187451,-0.01611303005772596,-0.04349309432889893,-0.01343276451049818,0.01582878120405411,-0.18656443648454227,-0.029670030262893953,0.020436877334837508,-0.11006062160732678,-0.04052021979547787,-0.09958725005151862,0.1289256782958967,-0.02935353641790676,-0.010719000989742484,-0.1010687048158106,-0.09797539154632189,-0.018038628747761448,-0.19607547626398594
HEBP1,-0.08336098034900166,0.0007683928031725619,0.018497093371776196,-0.044614568266887776,0.026881186687037126,0.055885969584583715,0.006155750272190286,0.07647959143951005,0.013620181797459227,0.04634010190976877,-0.05759668713557594,0.03665039562990791,0.0037698409526359697,0.0458515399709945,0.038767047341266174,0.03490406202362854,0.06664691970614281,-0.009359140550280493
WNT7B,0.08734275985772008,0.01905275886723186,-0.043474815629623964,0.007641153373583575,-0.006837557850017516,-0.05532787206809009,0.052781776698402075,,0.08669797873708292,0.024492263617325323,-0.054781079963454445,,0.04943066173326913,0.03740086253843402,0.025301602860476526,-0.033725654030771955,0.0007149003297216359,0.03493812593866561
PTMA,0.08218464059890708,-0.0413245207221949,0.045863373718359114,0.011902717593008826,0.029915336065828208,-0.10825244379655721,-0.050147204078672944,0.016855271338968913,0.311205465987091,0.050902142768466066,-0.10291062052195481,-0.025064109782961513,-0.05083752090771353,-0.008246259278256028,-0.00045830756642886716,-0.1452695997805625,0.0356619994908172,0.07056769449365896
FASLG,-0.0209869756350486,,,,,,,,,,,,,,,,0.012680382403516462,
CEACAM1,-0.029140599340711167,,-0.0019464285109663034,0.03863749082302591,0.07711619030655666,0.03451195819117952,-0.026114893045149447,,,,0.02529989844557384,0.08766692504203373,-0.014075383015966683,-0.028187889590398193,-0.019381571912616226,0.08522910345435637,0.016206861820792826,
