,UKF259,UKF260,UKF266,UKF269,UKF275,ZH1007inf,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.01536775023753383,,,-0.003592888176471571,,-0.025332103393109685,
BMP1,0.031034429768487463,-0.00946108405232188,0.005683517705563894,0.047477184678568575,-0.020144969258968328,0.05782951253449651,0.0841943120127871,-0.010006179523204636,0.09709656622639434,0.014976286359797442
NDP,0.049941905489643224,-0.022147799245359714,0.04430945909504174,-0.006793920711232558,-0.028974876086938814,-0.020028059532047827,0.1007376358286061,-0.020058689800005833,0.04739632500798496,0.005898330168419893
TNFSF18,,,-0.011638502705161525,-0.022820647750233153,-0.010647509681371023,0.13466678222198325,-0.025137230985163822,,-0.0009365160707446193,-0.019386928619047915
RTN4,-0.043552267557707046,0.0655680581674229,-0.00627733999638654,-0.08329880555409289,-0.06170262707992987,-0.07257953169867962,-0.07746434389002699,-0.011138189704633154,-0.023150284917863053,-0.0001842335062363638
HEBP1,0.014311171667565481,0.061281136726466956,0.014852900362073687,0.007199500464644396,0.001857244471979428,0.05401407663862937,-0.0003178903793067655,0.03159458237776107,0.029469274784594848,-0.004077785009229758
WNT7B,0.020621512419232328,-0.025234594094530813,-0.007829252021476564,-0.051458821273887366,-0.01068740248137192,-0.025697285654067314,-0.022609966593202965,0.011310407696747073,-0.0540692393438122,0.07434237503092803
PTMA,-0.016985334374263503,-0.05772777312399991,-0.022282579313905225,-0.0678219132196679,-0.050549420912385734,-0.006313434572115884,-0.03671228093388529,0.05171097873505626,0.08214455340522064,-0.0004599844637556106
FASLG,,,,,,,,,-0.021970524630672075,
CEACAM1,0.040980020358228515,-0.014562080794701573,,-0.030030672672398055,-0.016745996129576765,,0.033860273692758215,0.03512072307288401,0.025415978051870226,
PDAP1,0.0438503434898098,0.03415143533683966,-0.04238920789709574,0.07772318447731541,0.0027695610857589054,0.005610767271849371,0.05464435510441734,0.022838775431233548,-0.006248166662083782,-0.0028065134657724814
QDPR,0.0054499925642927625,0.060686146750721814,0.025539012369204594,-0.10167830412144023,0.012870346316744698,-0.022523074719899946,-0.08234538861974547,-0.023310028585403337,-0.010306326662492349,0.024337610877718553
POMC,-0.0163467339499088,-0.004051091458123019,0.05270068287723583,-0.018649337505815315,-0.012354528249030876,0.01666192431572149,0.024898335376127602,-0.024254469669081048,0.04163625242195147,-0.03141132864347265
CCL18,,,,,,,,-0.03459843064581304,,
CCL17,0.02449813707009544,,,,-0.013279517579130084,,-0.03213667627941277,,-0.019913812856750205,
VEGFD,0.017021493671818717,-0.013932174426171359,,0.03480197627059702,-0.014148202783512946,,0.04064697465643871,,,
TNFSF13,0.017732296584806843,,-0.011286919695382902,,,,0.06956829733538918,-0.01664934657350659,-0.03244789591165136,0.017488968720506766
WNT5A,-0.00043979540855236754,0.03106695746459535,0.0028836901906834503,0.018052639490358312,-0.003832235532177689,0.024624177738031838,0.017760040500968063,0.016483950741103082,0.02348705423660046,0.027374090163244765
CXCL8,-0.014545999813342975,-0.036421855616963414,0.10222666319926307,-0.0007798091541698048,0.041926488892169246,,0.03045239373232677,-0.06521118261705561,0.033079091289518026,0.04867916405728765
GRN,0.013912106211374675,0.02607793733543575,-0.04997309558689901,0.045260598656117625,-0.02871829141311981,-0.0302125356764701,0.14331775916412454,0.03798194809847872,0.07301075817139031,-0.0035644393168682872
MIA,0.0017945580386635807,-0.022932335241581447,-0.020408927618271424,0.09600830792426289,-0.014926827609140953,-0.06307504552861119,0.025311357867725256,0.04447087436664413,0.028250793314768537,0.0021113596360858525
COL4A4,0.034829410069597735,0.039036125428318955,-0.010739005429350955,-0.01514377718525978,-0.013864227203243833,,0.005835777772336313,0.03570786397548619,-0.011638401795984228,-0.04184550546491915
TAC1,-0.010204342614818795,0.07077544088031489,-0.002740966460201957,-0.02380694826824588,0.006258758835144506,,,-0.025580214067182718,-0.026178731921918545,-0.005018778530928112
RARRES2,0.03293860517249442,-0.06909768719183347,0.033541748307409684,0.0507414096028498,0.005761779622354653,0.072198309166689,-0.01786255694814173,-0.015114244104593591,-0.05269895042440101,0.04285599209046705
FGF7,-0.0059466348873147635,0.0021465355580341525,-0.0069512206979930906,0.0257975413980636,-0.01219238198236063,0.06523264145405248,-0.02595927597278763,-0.04550549517451228,0.058904838031080015,-0.029131505340705893
HBEGF,0.01823717866055166,0.0376069304281982,0.006814938724879987,0.061062626508197174,0.057061423027697226,0.025726391607583738,0.06260884049888675,0.012166578364661429,0.0358076484732016,0.07699733712142992
CSF3,-0.028487970580719123,0.03439004941952975,,-0.016021824780489392,,,,-0.02125604383401487,-0.020966172869932312,0.09613190850339921
PI3,0.008274530443206753,-0.042738297321029295,,0.06776602530285945,,,0.04472346072352733,0.020721664469156357,0.0274440650515504,0.08547873518012965
PCSK1N,-0.012150284946927705,0.02427076547555272,-0.029886907216982957,-0.022409302091316106,0.00170493729996464,0.08751925574782538,0.03695554135327948,0.010406544217957728,-0.0018452234887352348,-0.05579432213680672
NTS,,-0.027135341479571435,-0.013109885639382972,-0.019692749942390828,0.0013031619573415033,,,0.022276404176659142,-0.031048043047511183,
SFRP1,-0.020854592172198306,0.0974913676555256,-0.018614944771679562,-0.04259573390969883,-0.029408340856306232,-0.03509156647063988,-0.009323697082166007,-0.02907456192451101,-0.030326565185499508,0.08092340868718488
CXCL13,,-0.015751353484058248,,,,,,0.1433046664297224,,-0.007654709548290736
MICA,-0.05475864076342327,0.010896680191949051,0.043574788959170434,0.03636341094328503,0.007928722961249666,0.030990062886625546,0.17985544276501042,0.008172564028221576,0.08377589719098757,0.02608746379320752
TG,-0.022505409035337414,-0.0020739071007521664,-0.015132263967734592,-0.01933690906982585,-0.013378611417638507,-0.004786222159767842,,-0.0174940507081097,0.1136827784591229,-0.012026188875115053
ADA,0.03699082267417488,-0.0005053229569752609,0.08887935975406029,0.050686645632337365,0.008751235140991246,0.06355521727430605,0.034158311236903834,-0.049050391212207986,0.04986024355165834,0.04188085306260676
LAMC3,0.034114370100013176,0.007526643312651159,0.01607936827147866,-0.001459675487743923,0.0212776589431105,-0.059740648277436845,0.09622994215744039,-0.023384943346984675,0.07363327090473752,0.010337273734052242
CCL7,0.07113794840278458,-0.020883386593034042,,,,,,,-0.02197051681821576,0.007902434299175372
NGF,-0.03728187551376228,0.02562478981401684,0.011767372593713861,,,,,0.005053031213156214,-0.005676713975914322,0.10781094702598314
TNFSF15,-0.018118971634705484,-0.015461988567326597,-0.017533615384662676,,,0.025773941216271436,,-0.013199638299676601,0.053717487580670444,0.05808613837293256
HMGB1,0.01767684122173036,0.010741863941293622,0.015850764690466434,0.07004954666058015,-0.029994212361151112,-0.02071596917600924,-0.032711976018451744,0.0742739380232505,-0.04774641733475916,-0.06363785726545183
ITGB3BP,-0.022356522789811158,0.09469281914445891,-0.011709821081079166,0.02148176075195434,0.01852657474339674,0.04749921368134439,0.018310908083032307,-0.005616017962293788,0.031272396124210206,0.0013099004443245805
AANAT,0.05223656042432919,-0.013932176415067771,,-0.01445211953335095,-0.012031463432730795,,-0.015023047932430504,,-0.02324572301207969,0.053105893271393985
RELN,-0.008401871857016888,0.00367808579588857,0.007066809929976099,-0.032038270201577165,-0.02648939870959768,,0.03950112590854772,-0.015943732590478505,,0.08423656452718825
IL15,0.05347835809309122,-0.0016212749790987676,-0.01247620970757755,-0.0056248877714879224,0.028254322905739638,0.10185385490635662,0.004819277323484955,-0.03219798027753523,0.07640564559561916,0.10683175605002204
UTS2,,,,-0.021888376870325896,,0.012086080927495748,,,,
BSG,-0.04974617230427059,0.044058138201462614,-0.037408399670662305,-0.03390793072087325,-0.005377840945069167,0.07369555413387024,0.14095825491811817,-0.04014582610760304,0.00695970370745981,0.05748729964905097
ADAMTS3,-0.009554473421073859,-0.012031202688932544,0.016219623753093864,0.08006703893452721,0.031312696274894046,0.07926757799798026,0.04894733801886486,0.05836313409359065,-0.01799626662169041,-0.012223956524225418
CD34,-0.006674192040335101,0.013313924207765677,0.01859994307978419,0.04378286175244536,0.05661316994728498,0.025391919479555415,0.029835079661294287,-0.00401527365924101,0.0622089599154259,0.015106735830270706
CCL23,,,,0.07693739886669307,,-0.02601817599253874,,,,
PLAT,-0.014065242896823685,0.03747481002250795,-0.03233337821321463,0.08974645201439414,0.014425517478785978,-0.037530032384261065,0.08936623306828614,0.030005126871525158,0.007052126698471051,0.04759468902962384
NTF3,,,,,,,,-0.04203845085006396,,
LTA,-0.007008313019493784,,,,-0.011587553160305459,,,,0.009118126857126648,
CKLF,0.003928534010368506,0.032776817138272414,-0.026848201035523534,0.04056289862990755,-0.01595840948548118,0.058220320771691834,0.029766889803917142,0.021428094963946806,0.05216552038419492,0.035435388390078204
CD24,0.013821458784025688,0.013687728861401014,0.09179763070434344,-0.03695771407245959,0.033638780742211785,0.041821692305764824,-0.014839501054234625,0.040386512790278856,0.0317769880406868,0.024068209277976337
HSP90AA1,0.047192829360008404,0.031341673750582465,0.009325440438528483,-0.05697925566376801,0.053242848814812074,-0.08958957749051873,0.02590492151800037,0.03754447280603662,-0.03301414519557164,-0.03608886334115428
BMP4,0.007508860451172534,0.03056215156625113,0.05062379702197267,-0.04426733512236139,0.03710553773760772,-0.028123486485603984,0.028253560145311184,0.025670837946702527,0.07014754017774605,0.07633430129914674
SCGB3A1,,0.005470189210023843,-0.015926102349880195,,,-0.03210851937651093,,-0.012834206335627027,0.09355602596554018,0.06269949549793957
