,UKF248,UKF259,UKF266,UKF269,UKF275,UKF296,ZH8811Bbulk,ZH8812bulk
IGFL3,,,,-0.01415862999344652,,,,0.016475516424875977
BMP1,-0.021375246846247323,-0.019959454898267334,0.046320601063176044,0.08928013705141234,0.010514454357660973,-0.05060039196386654,-0.004500409093312467,-0.057401923770101324
NDP,0.030656405938770823,0.046757740101466196,0.005619350884987427,-0.014674046914457612,-3.696367362461724e-05,0.019690230206799858,0.06474159559097814,0.04560616551727707
TNFSF18,-0.011322454951836819,,-0.012399099260762676,-0.021025140486547914,0.02366181461702879,,,-0.016098539223958475
RTN4,-0.014402614402290256,0.00017587916255170312,-0.05480194296480595,-0.08400276674628485,0.034839000200234005,-0.08848090573346712,-0.0029241814740033714,0.0038805648228019797
HEBP1,-0.048084327176309574,0.0010122731746752323,0.03644142794942999,-0.005524741594811384,0.010616320069040001,-0.01674839609843734,0.022795900767478262,0.04509831644654334
WNT7B,0.00642170944223631,-0.024648095693645396,0.012115339706642907,-0.032201580995223154,0.01935389423702461,-0.012913394913168483,0.01816201683891388,-0.03366334785523312
PTMA,-0.003923854332071098,0.007706693822404337,0.10954415776336274,0.02245743863891153,-0.025997322340960787,0.03363111627552779,-0.033548096235661434,0.023004671102408992
CEACAM1,-0.015803933934479673,-0.028461484025668036,,-0.02766788737783543,0.04051412477803165,,-0.018081021509283614,-0.0008867143432585184
PDAP1,-0.0540134836593272,0.00990857936983553,0.06775870837825762,0.051522899596667025,0.045608875854530044,-0.04531055844779864,-0.03340723562106495,0.03650257706095539
QDPR,-0.03764756798575505,-0.019461449512308406,-0.05279004201017356,-0.044303274614211414,0.051531249667261914,-0.06527856778794536,0.014004152463004564,0.0048751473494359834
POMC,0.00901872696774633,-0.014581011758200504,0.024397007994882678,-0.03566544073063441,-0.016638027032781447,-0.03473190854037477,0.019586566031966422,-0.028718986120928873
CCL18,-0.019721816330907405,,,,,,0.006839687222569053,
CCL17,,0.01904702625612796,,,-0.017883723927799054,-0.015983162916875623,0.006019212240599961,-0.020581166792680076
VEGFD,-0.019721822593507802,-0.01837906549374262,,0.09250436843994389,-0.019053595218888872,-0.011723843290718947,-0.018081021509283614,0.07108806841235311
TNFSF13,-0.014882720198635716,-0.011379004902711997,-0.012024539684923978,,,,0.1016800603893372,-0.022070639764645076
WNT5A,0.02959704767901065,0.021128759782807337,0.0921828299736913,0.030700009706942546,0.04479234261205466,0.02308136222219736,0.008958419647346318,0.012530340362228038
CXCL8,-0.002898182624969545,0.011883714361015877,-0.017104127800313992,0.016528193243106615,-0.035889832329993494,-0.010917752641971194,-0.08563584755397446,-0.02922077046783594
GRN,0.0447453037745058,0.028328093448210592,0.024902968417191217,0.09572209282669406,0.016606013846467153,0.02731140636983475,-0.008200275927647407,-0.010534774320391363
MIA,-0.0007346505792910708,-0.034736364537215514,-0.004407945107439836,0.1274031480902763,0.031015547552975937,0.02889101105051121,0.0738945802304796,-0.07038508732995932
COL4A4,-0.023685741178276907,-0.039759101709596636,0.05228588737102864,-0.013952278931863932,-0.018671161079281965,-0.022399056207296465,-0.0009456770057347125,0.0013633748898196551
TAC1,0.048892567542445406,-0.013747606710944639,-0.07983398466360662,-0.06647483432683626,0.05611445933278896,-0.04513231996381218,,
RARRES2,-0.004142188799591302,-0.02739196711265044,-0.023515360230763463,0.04791309485456431,0.029114737901389024,-0.021874029311999398,-0.03771506300451315,-0.03965800447661835
FGF7,,-0.029241804026549266,-0.007031432643231833,-0.039761870605378405,0.024295494532836425,-0.005042433476748466,0.018814274389178983,0.040550728065244186
EFNA2,,,,,,,-0.01718480090697616,
HBEGF,-0.028212638263193656,0.0063752293230327755,0.03977701469386017,0.020681408157729685,-0.002597640833718024,0.007656986904113478,0.03535005272254905,0.043428053463596676
CSF3,,-0.019662542381452548,,-0.014761242561890141,,,-0.020392088196482458,
PI3,-0.020748182286487157,0.0025674580131733508,,-0.016621353952001896,,,-0.0845626105622257,-0.017487057902850895
PCSK1N,-0.024782381344429096,0.03845226612547515,0.007022011091808917,0.04309218430661237,0.011665227993652072,-0.0353229599391601,-0.025167794585391274,0.017606937315822437
