,UKF248,UKF259,UKF269,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916inf
IGFL3,,,0.0008361369025175274,,,,,,,,,-0.005009191379042957,,,-0.013377313848922615,
BMP1,0.031874270557930004,-0.04962894476052112,0.09894899567194514,-0.007184535348147147,-0.02817410055733193,0.04971977164211522,0.03069788851661707,0.05338340498234071,0.007207305484521309,-0.0007291069840854891,0.028494406583086225,0.07775390832418272,0.09694219162754353,-0.050878477930050764,-0.016888293441024754,0.018729637696069053
NDP,-0.016809790975601438,0.03044835837856529,-0.039848334513940945,-0.030088162655425233,-0.0018528413502833302,0.12270164187500708,0.05278701460358541,0.03674199621689796,0.05867623604315589,0.0389262315628999,0.09230855782296413,0.025027691518713764,0.005309077285871838,0.12957230397140573,-0.018962927785773513,-0.10115959351150883
TNFSF18,-0.006617797501033956,,0.04334723507041529,-0.01567067958374246,,-0.0345144088063921,,0.06884657883830936,,,,-0.001930908094069646,,0.1586998798391025,-0.022565136844910353,
RTN4,0.0026716328720785753,0.020110486060795667,-0.13538123845980557,-0.0065970870258833325,0.025155073922343323,0.07805366429623001,-0.007491557481686309,-0.04515818778107974,-0.05907846600115237,0.01140417305647315,-0.057097134597985905,-0.08075891682823647,0.02394582904421421,-0.16917759017371367,0.014162950087304586,0.06264117877860208
HEBP1,0.02640271772201687,0.010003665078650649,0.04950807635632834,0.01640392652567701,0.014293258557909588,0.011883072140280372,-0.11016171510109027,0.014174642171126794,-0.06342483624934499,0.01610480441235485,0.03693862085858017,0.04539537770451363,0.01461028259913834,0.0003624741202869249,-0.00885144543464341,-0.08571910018161594
WNT7B,0.004986730007200241,0.0016170975296485948,0.005199863275345527,-0.004227041710995252,-0.011083479120554227,-0.037996995302819955,-0.024155759003316873,,-0.04117043012287271,0.011584932622449116,-0.02876098856139571,-0.0009381745709343494,-0.016363962103140565,-0.03947950163670859,0.07923459104770343,0.007175895065071371
PTMA,-0.015033245715870986,0.021355366712126397,-0.07556754844044054,0.017792466535313488,0.011658521643406562,0.08889604981423659,-0.04245403119840341,0.024028397357787643,-0.006864947067676308,-0.022998672499360537,-0.036916801074155445,-0.04767559717576928,0.03690590171289427,-0.00980422909686347,-0.0070615967038976275,0.0523268816445775
FASLG,,,,,,,,,,,,,,,-0.01160213973743402,
CEACAM1,-0.019317947301695552,-0.04962136994904645,-0.03760971856794358,0.18090063564603992,,,0.03922004937140073,-0.05093415213172994,-0.04840815673856735,-0.04414894034692571,-0.022735042428733903,0.11281614104067002,0.006592579557880666,,-0.016142673400485686,
PDAP1,-0.02962326493205244,0.05908494001272058,0.12029371244238599,-0.06659078857606388,-0.03188352901656269,0.024576181180526038,-0.005112987874067575,-0.0011799036714422188,0.08870690761948706,0.06564845524864119,-0.02523755806296892,-0.006832652495187814,0.0432561129036537,0.04839285504028926,0.0761731784756486,-0.07381720990680722
QDPR,0.037276840261722836,-0.014445208403640832,-0.09474896626999216,-0.013716771889816176,0.04516991592854611,0.07900092750419298,0.05342821127827324,-0.011489820491727056,-0.10834866890538786,0.006988273567183139,-0.015514474962356509,0.016045500435482644,-0.07069669328988336,-0.03248265045526906,-0.0250610887254693,0.03686449680187153
POMC,-0.01951808793831078,-0.02984164978440911,0.061406283946874855,0.012052685429263457,0.003281332879305421,0.0009803132777957803,0.008975849098195762,-0.01191390243046103,0.04235404543919018,-0.0048527016075786454,0.05452383196015356,0.037739043323132916,0.08394702209932942,,0.015685840793587067,0.032686294372119715
CCL18,-0.02410697299505836,,,,,,-0.05988423168198803,,0.009030545568989346,-0.019834337452113146,0.0056108191992507075,,-0.004729696893654315,,,
CCL17,,0.016417253613356265,,-0.01954438842852755,0.006871151232758783,,,,,0.08438952726351286,0.02414025980300835,0.05085825520156394,,,-0.010516036524069952,
VEGFD,-0.024106980650151388,-0.009840581698633782,0.02756404905131745,-0.0208228927834791,0.10240065896422781,,-0.03349072024873126,-0.0692438636608472,,,0.019193816094468893,-0.05466896375556103,,,,
TNFSF13,0.05563305568861484,0.07455746246531633,,,,,,,,-0.0006315221693217335,0.0956393849968533,0.048397124672289016,0.025415689637850937,,-0.017135003778067592,
WNT5A,0.03578885488997217,0.028215844130802966,0.06031482911209864,-0.08722196858366332,-0.010887870463668953,0.016215942582484693,-0.11331923317450836,-0.0002907525306947602,0.07204646098800138,0.014241620104249812,-0.01288590039458354,-0.038810728325959935,0.008664604007540924,-0.0439185119245318,0.014205683244077862,0.0061757874168175565
CXCL8,-0.01762555884700376,0.01988784005012665,0.11154079158898945,-0.0737616752246114,-0.009370632917550322,,-0.032687199567482485,0.07642169468498262,0.03905470653201354,0.0068465438620089435,-0.07917979950779885,0.012434160426130486,0.007332906773427612,-0.028876841826751223,0.06895298597419962,0.040000555765362336
GRN,0.020994145798730733,0.05127552087398274,0.04564463794408081,-0.01658690959931965,-0.03570739533488274,0.04147285618517031,-0.035624323639919506,0.08452352635797651,-0.013568537269541322,0.025907484933569307,0.0183262661973301,0.015021532971912688,0.023901017649870866,0.07081767887715368,-0.02121587923481533,0.0020599915789115846
MIA,0.0007003850388618556,-0.029960521934504863,0.004969577053289323,-0.023048759990931356,-0.011443968971738097,-0.05838180575294594,-0.06274160874006048,0.06332511767656342,0.07354459382654033,0.05405332623671877,0.10663547129449591,0.014827262016153578,-0.027108937054062535,,-0.027263982806198944,
COL4A4,-0.02895227870355041,0.037378840264872815,0.06371346344364774,0.033821944861666,-0.019224957763858627,,,-0.05421930895111901,-0.011718074916649862,-0.0002210691234731019,-0.02904343483855491,-0.003830319708291539,-0.03446066682136047,,0.11026639112874626,
TAC1,0.07451026465048462,-0.022327587953387733,-0.05882069446120191,0.02589929511338073,-0.03264358809646286,,,,,,,,-0.025619765247267126,-0.026077014598065187,-0.0138243993264913,-0.040392312001086686
RARRES2,-0.011558978545142498,-0.006470049720845543,0.11730564435078918,0.007633884281906023,-0.048873557773199364,0.0272610172345955,-0.010704235251464154,-0.11063493552305408,-0.02505608086001855,0.025228015621180433,0.007590359673806369,-0.02675714819893362,-0.05265416899842456,0.03491616530353956,0.012137960152095388,-0.11381089154034363
FGF7,,0.007844557048257574,-0.017834374378334492,0.06667831868934253,-0.03990706163215567,0.09116780597263673,-0.03106616703410801,0.08135437771699684,-0.032281760730633,-0.061057796274350484,-0.015924760692046284,-0.08127205996363879,-0.005781104633517605,0.01520998385527431,-0.005862361260027466,0.15839865778000053
EFNA2,,,,,,,,,,,-0.04111892131758589,,,,,
HBEGF,0.02654436849905796,-0.004697186611462306,0.05795292852520526,-0.0018834543600187606,0.009130058634822809,0.05173109158577431,-0.009530942807726761,0.004054757361686546,0.03128182297487512,0.03224122921210875,-0.02800709688191004,0.06061046705430268,-0.012884895196049986,-0.04896977766338524,0.06553076767406356,-0.08492426801135296
CSF3,,-0.008585873736099744,-0.020065362088707166,,,,,,,0.09226363730693186,-0.040220386226814335,,0.03096585768217684,-0.03548309775930094,-0.011071764169734877,
PI3,0.0019025541019689525,-0.027016488768331116,-0.022593862545998045,,,,0.09519344872239535,,,-0.017421464773179508,-0.06851995420111065,0.04141593376896427,-0.03641258232549607,,0.11421510532269324,
PCSK1N,0.054664866812917,0.004077382171282323,-0.06580618525273214,0.041435620467303855,0.00595060151398182,-0.010476535084715518,-0.014087789898988505,-0.07702216759338461,-0.03709501476896544,0.01279616153807326,0.061612649738826485,0.0029015757037606357,-0.0037329408522003347,-0.016593251609647277,-0.026161172794577334,-0.002404806950503362
