,MGH258,UKF243,UKF248,UKF251,UKF255,UKF260,UKF266,UKF275,UKF304,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,,,-0.039032421855433194,,,0.05890591136902382,,
BMP1,0.014247881971220122,0.021716411586175575,0.003460483465958309,-0.025072189839754816,-0.12510472621110166,0.005094545222806791,0.0668027681511256,0.0524743998872563,-0.02894486798335902,0.05422531873839358,-0.05265202906563978,0.09984937076166711,-0.02694551925557618,-0.02665482052233278,-0.002979866048823917,-0.0014984275259560848,0.18390471122660107,0.08826804760294871,0.06987161068489682,-0.010590335645313002
NDP,-0.030451720739630577,-0.02674273982285208,0.06291585542036804,0.024300202799787327,0.016907248400302628,0.022251906188587352,-0.008987157206440678,0.05174843749031484,0.011877954302646342,0.041635090183871175,-0.007931041865737481,-0.08843217682571686,0.025343874734196022,0.03138062341921639,0.06582026764257078,-0.03077316546724394,0.058319239303946384,0.022024470955649057,-0.002253371204711269,0.01447735046550263
TNFSF18,-0.018422623932701568,0.09452139508991755,0.08275395320335456,-0.018275922043262796,,,0.03288460372509211,-0.001007922609830791,,-0.022114216244868316,,-0.04352269688758497,,,-0.04025344769680314,,-0.0359730047468931,0.029451242558103354,-0.016974713409453734,
RTN4,0.005344005942945863,-0.056084067573336456,0.02195773326968524,0.03534056366008277,-0.05872151653815244,0.1051922597306535,-0.0950144450369958,0.024699614064598894,-0.028424303423009258,-0.023835018320729928,-0.036190099719079265,0.020985576709646354,-0.0342598060079821,0.002033908366462613,-0.0961082634454922,-0.013885125970396183,-0.015773053295178956,0.025959057106650762,0.030495145461757526,-0.025186698694347146
HEBP1,-0.01803591012954368,0.004078908228214776,0.03912642443512181,0.034119213805109634,0.07914374062676757,0.005651256680706905,0.03383245120217274,-0.04867894018978553,0.012227280346831685,0.0031222732493794616,0.01120822851897717,0.021668833534627164,0.051880574021387946,0.018068492129863205,0.0702807075584778,0.005483285215953098,0.04640007341324119,0.013310107296811334,0.01056270741728951,-0.038705050547381624
WNT7B,-0.01622975467208298,-0.010290619754294447,0.0005786025749885284,-0.03159912707620246,0.012668112980078748,0.05123335182160041,0.05243815068932134,0.004950120194301424,,0.025645357593923893,-0.025062953168384063,,0.02997566785784897,-0.01330960245135236,-0.03929335381906337,0.0024130029700446375,-0.03597296744558947,0.07266563895214234,0.09248737645317073,0.05845185644905566
PTMA,0.07699684703080295,-0.01591055342697102,0.0399034447624744,0.023949976204960675,0.009521565182313944,0.0012250151667194348,0.17382555953030104,0.024994647001845467,-0.018561969631657797,0.022746726019993075,0.14914235617519253,0.0009029984093637249,-0.0684615059912952,0.058136931731650944,-0.0767578667474318,0.03258172865084166,-0.021425867717207215,-0.014990082997621248,-0.014971756099899385,0.0576939902157335
FASLG,-0.016229759260193048,,,,,,,,,,,,,,,,,0.0013853654203212576,,
CEACAM1,-0.02253516277055455,,-0.012785178692401348,-0.01857903677921831,,-0.013570026035503379,,0.005681712904718129,,,-0.05244515224234965,0.0937124641978943,0.0450488386482124,0.06205852553292619,-0.012125145439471385,-0.010165202413404559,,0.015624890986503765,,
PDAP1,-0.05851070985914814,0.03011734707908082,0.029610659629455114,-0.02917981113783435,-0.027304515234734178,0.01912518887627027,0.06284114338386086,-0.007367504465323806,0.0354923564198207,0.05171869380836093,0.025995372725816323,0.0019145867269986024,-0.025718331825352412,0.040230002063025065,-0.045122836336786834,0.04596473234539652,0.1283426369043711,-0.008786242356001343,-0.02834615062363705,-0.03462720987713101
QDPR,0.08844490844279437,0.007093966878038142,0.005148227354652609,0.00631686471552215,0.03957683270386538,-0.03380907060855064,-0.007844976332949635,-0.08109418838617477,0.07863019246650886,0.006736886947283236,0.06724825852680891,-0.07744479017715096,0.08207759121770339,0.05679910568054058,-0.07954765187381252,-0.015315927418959954,-0.07195585274452282,0.04400754964958249,0.016787620641857844,0.012899816111768426
POMC,0.03217846672410907,0.06285001897597611,-0.008099155710005692,0.0422997326966323,,0.038947503597315275,-0.004345003584735724,-0.01659776077595822,0.013161292896619995,0.0006804781680392659,-0.014408819095300417,-0.017912849720340417,0.06203425144024248,-0.039015919913138214,0.03118754911205426,-0.003908641349486921,,0.03194889299544712,0.02023176761276958,0.12555789209820328
CCL18,,0.02969007599208943,0.05392895707578743,,,,,,-0.06928366388620011,,-0.016108281891369355,,0.02100025474812357,0.006215405458405698,,-0.07053399590004948,,,,
CCL17,,,,,,,,0.013269627702755441,,,,,-0.031783041491904106,0.009899133098544172,0.03303489032468565,,,0.019965047630043833,,
VEGFD,,-0.013168507323986361,0.05137380347238562,-0.019976194918980852,,0.07810694369274913,,-0.008923546919899576,0.0721298011168874,,-0.017114036927773617,0.004415251340127794,,0.011629471789217246,0.026698378571385073,,,,,
TNFSF13,,,0.030804834501341527,,,,0.006146702659426363,,,,,,-0.01751770577231335,0.03363701767156237,0.07948245946963599,0.028542630270443743,,-0.051408901022096574,0.10728389479337393,
