,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH916bulk
BMP1,0.1250793948014694,-0.037138326018509554,-0.06749612446023491,0.026095363683851323
NDP,0.009631112588650638,-0.03537155240094649,0.0391537486558995,0.0517844893161607
TNFSF18,,,,0.06737737143384599
RTN4,-0.10302411667957904,-0.014177954097254017,-0.006447249175291431,-0.006916896341903388
HEBP1,-0.03179348513929289,-0.07737634979136057,-0.003288989689295875,0.02607406247735321
WNT7B,-0.027816556614258074,-0.01639515845205437,0.034304093520136913,-0.03512982106165131
PTMA,0.02665914769081264,0.07302832702261144,0.09267167512515143,0.0717277088897804
CEACAM1,0.14422813494699407,-0.022267311972879192,-0.01901833900738222,
PDAP1,-0.1545131220585903,0.03794027541835548,0.05532864276222923,0.0314224877216778
QDPR,0.048094249643591415,0.006156360503976527,-0.00728891314719647,-0.1027877252043571
POMC,-0.03395109791123379,0.026111781754144324,0.023487132569410957,0.05341031312418146
CCL18,0.015151226072598726,-0.040748907766290095,0.03391829287751742,
CCL17,,-0.015797580076562998,-0.027454166317712695,
VEGFD,-0.046667974236851296,,0.0655689233000926,
TNFSF13,,-0.030313183333993108,-0.029841740159269853,0.02808680821011386
WNT5A,0.01583878913725686,-0.012609274284398024,0.02039867546268624,0.015958495245484084
CXCL8,-0.15966034152023847,-0.03179949390526098,-0.03210899596010394,-0.06239991862824759
GRN,0.08327587493569615,0.051645372049304306,-0.00899648375175737,0.07325063726396323
MIA,0.011781417224739143,-0.021351957516170007,0.045981952578443654,0.09316522764738064
COL4A4,,0.01175228640720402,0.025991116292781072,0.004801350929658734
TAC1,,,,-0.04027598693945494
RARRES2,-0.022995744286478666,-0.027950385604021875,0.028813597859849584,-0.07068601000332968
FGF7,0.0006329936374428813,-0.014696734810610478,0.07568830074298662,0.023584152516261222
EFNA2,,,-0.01807565846074762,
HBEGF,0.040407932166435456,-0.008899775570205453,0.03134007488669454,0.03306256076865376
CSF3,,0.01160067807867881,-0.05628458316793535,-0.03879636937069495
PI3,0.000169321180799479,0.01486451639256928,-0.037859870997969336,-0.044241831604582525
PCSK1N,0.006730530638117111,0.037179686642723635,-0.039635587479569065,0.0041770914291382796
NTS,,-0.036854109851140994,-0.022021759735583516,
SFRP1,0.01344886576307582,-0.06020175120457893,-0.02000581713479579,-0.03749737657146146
CXCL13,,0.01755090484402048,-0.01192526609558566,-0.03146912561665259
MICA,-0.027663220746733722,-0.01386810320570191,0.05016425858730675,0.00839978744048004
TG,0.06254335198809072,-0.020991034300373086,-0.012228803401112999,-0.03467913928035754
ADA,0.1214373209427744,0.029333846067756495,-0.018473831664147983,0.044915940840622795
LAMC3,0.0960008094209449,-0.008740398437727415,-0.06056748920691965,0.06513055420078924
CCL7,,-0.023676931182736387,,-0.03394371531153984
NGF,,-0.027344960034403117,0.14168729802753677,-0.009893487002490311
TNFSF15,,0.05137142481678276,,-0.03082142990676126
HMGB1,-0.006217122544982914,0.04537383319815659,0.022550407933209036,0.1278707899992934
ITGB3BP,0.06101639303998712,0.024299264007692355,0.01843839169315493,0.01694427810479894
AANAT,-0.05641283682325819,-0.020771349446824097,0.10901584118728039,0.14380129586001422
RELN,,,,-0.010201553954698581
