,MGH258,UKF248,UKF251,UKF259,UKF266,UKF269,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.056396454911443045,,,,,,,,,-0.017771224691721422,,0.009725506650275153,
BMP1,0.01271278685632173,0.03747997854291118,0.009003201763957526,0.04018516349790795,0.029286330073392,0.09791860741301789,0.11760135050912465,0.09292735990319123,0.11151222509145285,-0.009606931976330915,-0.012857630052839368,0.07576804880884488,-0.03763216149390991,0.025724850042696878,-0.013279332147717218,0.062232757179194576,-0.020603133368687354,0.04958841661978819
NDP,0.0662866233332026,0.008956326138248311,-0.01816668857993417,0.011370764403885505,0.019066280771997648,0.04842854592050798,-0.015218366643004593,0.004212038555566561,-0.010528425422380402,-0.04570587155715264,0.00019679325142089795,0.02599383012146576,0.07292081735140483,0.09068918926557593,0.06892388019293955,-0.04499973898447333,0.11702654753465955,0.05451472152062604
TNFSF18,-0.022403030504845038,0.11671065647762227,-0.01137563287300127,,0.0017855850276871745,0.022721726452807504,,,0.15104524715540654,,0.012070025082488344,,,,-0.018327150344035592,,-0.027310486181777935,0.05357225169395126
IL36G,,,,,,,,0.04192623112024845,,,,,,,,,,
RTN4,-0.1011081930123001,-0.006859482161116079,0.02682236930067025,-0.015023309317347765,-0.06370556130269811,-0.14476418997203408,0.013582048217887856,-0.03762878721538962,-0.133499398854739,-0.010881079455914383,0.04460156149600645,-0.055133979736182545,-0.06506108941954997,-0.02447512217066662,-0.03518609309357076,0.04565648236652145,-0.009053931439801379,0.04285570262938032
HEBP1,-0.0602250838430108,0.05252696296091685,0.015433595168900317,-0.010566502787806312,0.04031393145149925,0.04536009881220492,0.057728307921869886,0.027740141541774014,-0.003375424709159018,0.03221087968128111,0.055725684575954636,0.05805670993192923,-0.027625944878852258,0.0532750305524796,0.008488075465387294,0.019739119391043655,0.06851400794374252,-0.014361525582544046
WNT7B,-0.019736368192340727,-0.01009547301579535,0.15816659975611627,-0.028339108075545003,-0.03385655646162393,-0.040191263775507934,0.03792535452935961,-0.02317068210688295,-0.039525006768871905,0.02251759599530379,,0.057816312122129294,0.04977774476953236,-0.03323826884009536,-0.01087073636899398,0.003276376259585539,0.05262256034085514,0.07187784091716405
PTMA,-0.012596471195887365,0.01241133571682789,-0.022394449259792656,0.032328832213026015,0.061361429318694545,-0.05532619553816893,0.13426503946313859,0.07897710779456897,-0.01771205158043088,-0.09810146405432324,-0.01993715365924638,-0.11939190793293604,0.01754642574616395,-0.07642660122797386,-0.0432677864290853,0.005987304556719928,-0.07329537413069548,-0.054702689304895656
FASLG,-0.01973637377176146,,,,,,,,,,,,,,,,-0.01404201885217981,
CEACAM1,0.07533845427439917,-0.0323358353022031,-0.015300311738752743,0.012186845543683858,,-0.018197432480960066,,,,0.00754801567412518,0.021451417222450378,0.022815908733997678,-0.033797628717177654,-0.01901953352817119,-0.026334201663985722,-0.01700689471384893,0.0019924826353492652,
PDAP1,0.1334808138662492,0.03459465483839746,0.01044208695558986,0.024976420223949178,0.09436532252494688,0.07256077689253149,0.08163162826472169,0.047012612475498795,-0.057518221334427806,-0.07498610431769362,-0.021039683166036414,0.06279272063401031,0.04201446811517313,-0.03929441915597212,0.0022149615278916996,-0.04613540224106418,0.049987809498464646,0.021245438544061124
QDPR,-0.04142565203781421,-0.024808029399641867,-0.015501839843492031,-0.022476398091594383,-0.05356140456051868,-0.10617188469897686,0.07500066956063109,-0.02239726137084487,0.00910704198280275,-0.06637034391499894,-0.07516128229457904,-0.14401935608638225,0.019227350820691005,0.04542151179821196,-0.06171749414680725,-0.056308580046193484,0.037872710601796436,-0.013113686209523872
POMC,0.0526100819052445,0.0637664875590472,0.01989650998311444,0.04698360383469308,0.01162726285003583,0.1080013584098236,0.17169052524385695,0.04494134232106073,-0.01588748661219215,-0.02909493179215312,-0.02286645979069702,0.062394312036806746,0.09320719842009878,-0.02960878007308132,-0.006953323240656566,-0.027821045630392418,0.07822611037448457,-0.018832995248301513
CCL18,,-0.045235666597866445,,,,,0.12548428639595105,,,-0.04578703805842047,,-0.019964883929448833,-0.03221808190109739,0.021629685447930327,,0.05321356406190451,,
CCL17,,,,-0.018966971495809615,,,,0.016638835961088685,,,,,-0.023977781723625007,0.026883517482615485,-0.023430333200900953,,-0.012727512895294628,
VEGFD,,0.041381191382809615,0.03616858776623745,-0.021131300763692382,,0.01131736176134629,0.04834951741407616,0.01168591871604541,,-0.06178957377483427,-0.02853669293331089,,,0.05884182730486062,-0.024711769770568718,,,
TNFSF13,,0.0657076216037582,,0.07377027379263001,-0.01761922265911011,,,,,,,,0.04694677542550503,0.05653767470216883,-0.025126002274400146,-3.4331504546542818e-06,-0.020738419940545542,-0.032367422800102325
WNT5A,-0.008340566845646796,0.00917065432649586,0.00028336845705153327,0.03617959400111322,0.03530745229916287,0.13770459221323805,0.03570014835756318,0.01112313241583699,0.03960991447929179,0.07385793894264014,0.06680991757825856,0.09593722130022081,-0.009818858369022396,0.08241240414600143,-0.04606787204676692,-0.03589316289542077,0.03186634006432135,-0.053068417786905686
CXCL8,,-0.04859240619867136,0.05961184184807308,-0.047741618850553925,0.03320044479492395,0.05655841254831771,-0.03620237893559738,-0.021068560515495403,,0.06825420430501844,-0.00686253765238939,-0.035151321493671464,-0.07540455946531571,-0.14098576204985766,-0.03326596569306007,0.05392486016781075,-0.027253042400833122,-0.054463212099480025
