,UKF259,UKF269,UKF275,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,0.007814496719400474,,,,-0.018395385236022507,
BMP1,-0.013460191562485818,0.02652992134567656,-0.04444908446160648,0.01997363667349347,-0.01781904388195302,0.061309556655278284,0.08418801701523176
NDP,-0.06729436928091373,0.018478550122965273,-0.0013230699101921795,0.05778011812837018,0.010102804137891424,0.037149010004136174,-0.008128594594770782
TNFSF18,,0.008897587749018545,-0.011245537347956826,,,0.09102508853839193,-0.026674489673715173
RTN4,-0.016485797347205344,-0.02846479615516081,-0.025025799607059092,0.011186765589359028,0.022159696723126628,-0.036696003116592824,0.010575241652082953
HEBP1,0.004924469905219243,0.05431342983011575,-0.013037720130103948,0.06573297401772679,-0.0012722954113447906,0.03237126249513805,0.009484041235403258
WNT7B,0.02742347085101335,-0.022819704113432555,0.005532226268678687,0.17396560633852745,0.042944180704626626,0.039173993463918914,-0.0007989638721009173
PTMA,0.017008678334316314,-0.08893123887077341,0.040201712288855704,-0.05893561951795106,0.014369725006408214,0.02779989105279422,0.0049741580749602405
FASLG,,,,,,0.08649175511134016,
CEACAM1,0.030231587899128946,0.10593768489094499,-0.0021666172397493168,-0.0025978246263398765,-0.014826660991910582,-0.022198080967140016,
PDAP1,0.04145288263351887,0.02046355312052826,-0.01389915496702507,-0.03809956993385344,0.018185934354837875,-0.013277502081525809,0.024149090630275805
QDPR,0.03256190283200947,-0.06886859475145823,-0.02506688075992784,-0.013867578106729825,-0.016755907132286814,0.014943392625348228,0.017930190703053395
POMC,-0.024467732455495543,0.0573996391729039,0.07217317687375686,0.04820153161715765,0.06749920711116085,0.028635337567994003,-0.01254953651786315
CCL18,,,,0.11856338404827987,-0.001206696142524146,,
CCL17,-0.015228933061595151,,0.06378327518789856,-0.03142536620923356,,-0.014460791247110468,
VEGFD,-0.01696671315743807,0.0016732120623913405,-0.014942850259796575,0.015179905907085834,,,
TNFSF13,-0.01050457719230214,,,0.03977863306716443,-0.01664934657350659,-0.0062644326950027215,-0.02901803992416568
WNT5A,-0.02792743909536915,0.03151137663962049,0.002741644912823214,0.03641632518530829,0.004842414773423188,0.026307650187256306,0.060891909128386795
CXCL8,0.06225315383855428,-0.014462195700853638,0.0014343175974007242,-0.07539201628707684,0.0019336487737288497,-0.0075450560680107425,-0.0015705320204391533
GRN,0.0071939762420812296,-0.008147944637372583,-0.0160335719461496,-0.01096651551869236,0.030368128229461337,-0.013366643760438623,0.05419917571690754
MIA,-0.014034336262290384,-0.013514527680712794,-0.017672064635241465,-0.006502243224869635,0.04049013466484117,0.03865982783602345,-0.053156656241391806
COL4A4,0.008807923799042945,-0.0159438991546361,0.023085725126427474,-0.0225296528136121,-0.004030388120666084,0.007152027239364077,-0.03243205346439306
TAC1,0.011320646600611526,-0.008824125861071874,0.032430125201114664,,0.0769677045881413,-0.019010180529471454,0.08202752193374593
RARRES2,-0.03497612489599367,0.020716294164826083,0.016181775344386973,-7.03838373598501e-05,-0.005821130492735209,-0.01810127355136788,0.04153916810196963
FGF7,-0.026994696835559745,0.019100116105764776,0.003980267412770122,-0.009446176529561218,0.002433990908387797,0.02717813018277466,0.034404867729987805
EFNA2,,,,-0.02069027265401042,,,
HBEGF,0.03770812068961623,0.0073122839123545055,-0.013823491572707163,-0.03722751561590017,0.08372406809055984,-0.032467381270261594,0.007691243575683831
CSF3,-0.0021875863222552967,-0.016868338423654008,,-0.045993447866112216,-0.02125604383401487,-0.015224982342854064,0.02577577578727493
PI3,0.02476482261781227,0.0415087172793285,,-0.043032029927147476,0.07179643217335656,-0.0330788286264957,0.09550113594839098
