,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.023254985841328145,,,,,,,,,,-0.015090855605927243,,0.041482491174284514,
BMP1,-0.004427125752561972,0.04322414790502914,0.02747141991273304,0.026826524385666396,0.017595602922957337,-0.01439609268567658,0.03976271798386407,-0.13470629261827102,-0.00802612972785451,0.028533860405392315,0.021052047685934064,0.06285887586489426,-0.11620308161891763,0.009844129938812864,0.03438556802427195,0.09721117164178464,0.017376926423432058,0.03781799656284775,0.029320225484503193,0.08193302885194831,0.09675077226159504
NDP,0.0021246238377955334,-0.05971143160476466,-0.01312092248611462,-0.0010378791175534342,-0.012255871722049635,-0.05046749810290205,0.014778341059675702,-0.08269288699573563,-0.01579250546331059,0.01883808196425924,-0.011261437441082921,0.0983975793424963,-0.0206363041768924,-0.02760276188616485,-0.022263645301915647,0.03725975912361822,0.057093454989970885,0.0417724742732915,-0.013397558189843523,0.00364376532450683,-0.0005059944860443335
TNFSF18,-0.020634605117351924,-0.022596664612837655,0.0007494738637861364,0.010726393242386462,,,-0.020956610025897028,0.008421343377788987,-0.019510022440715123,,,,,-0.039804733554299976,,,,-0.015562933017148775,,0.029926733901410863,-0.0006276061434175377
IL36G,,,,,,,,,,,,,-0.025260744239004967,,,,,,,,
RTN4,-0.0017846605213912947,0.10132657842240482,0.02350307036447525,-0.012846446821025743,-0.009210633489911598,0.07158404614580596,-0.010931474195604338,0.21984638757496563,-0.05674664805963028,0.02411830237133998,0.008046822902593292,-0.04463573869591748,0.16389435959015908,0.031355785613204214,-0.05777152422856241,-0.028860275896091473,-0.034741800737904,0.05551739935713172,0.02282140916317352,0.028009850495742228,-0.021633602392118947
HEBP1,0.016107041383203798,0.07804992373014921,0.011317138565196262,-0.006748872099031682,0.008947420748719521,-0.024856555985670985,-0.018146850401546007,-0.08678597409296625,0.050275999865266284,-0.01853402693478689,-0.04634407376871228,-0.0046976521058695745,-0.017939271787406737,0.047000313755977186,0.023581772062416885,0.06064394447384484,0.017120812843037646,-0.04870328902202147,0.04563582376505752,0.040585174210174685,0.09700340926455327
WNT7B,-0.018178440814582676,-0.006959216556515225,0.017491395759552227,-0.016807138971257674,-0.0398036856622641,0.0014469498607489308,0.05577621481370746,0.1604640528400567,-0.014932505036915553,0.013033907842349424,,-0.017542404889357488,-0.015029032142047444,,-0.052803214339046216,0.029093240452140633,0.009288203391617548,-0.03254335194737935,-0.02415945712353435,0.07193814049275161,-0.01840574978008732
PTMA,0.05068775999031319,0.007840184558805327,0.028734978477357273,0.004221534103404624,0.0038851392757035664,-0.03056708334419127,0.0008283048254954797,-0.023649679443998137,-0.035011500220377044,-0.024399557385925467,-0.011446839628293203,0.12520736525362647,-0.20144273774729168,0.004282816095310927,-0.052786144703405376,-0.09692191870152246,-0.05840605328076633,0.042872321772826745,0.035735800811679125,0.00625702775288867,0.046770131962585185
FASLG,-0.018178445953581326,,,,,,,,,,,,,,,,,,,0.11382443635234052,
