,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.014513714094466383,,,,,,,,,-0.016360141583073282,,0.04400479077415142,
BMP1,-0.03188991531153775,0.03230111419345152,0.06900987206166131,-0.045968131589503566,0.004052295071500407,0.05097063021127305,-0.006968644262834496,-0.0006631983849195187,0.04689009540555121,0.019577713930415824,-0.0011046035204976534,0.027312788549595853,0.0012953333577125435,-0.057711183346387404,-0.01874558705664195,-0.05503216821179117,-0.09516294239446793,-0.0007742976444963434,0.32202038334743666,0.08158832862356265
NDP,-0.011740330785208634,-0.010451695285243498,0.060360219238084774,-0.06394177549181566,-0.02423286476466337,0.06494260669323954,0.0026784862725237986,-0.0017029554957903941,0.054087998961710085,0.05366109964808023,-0.06070722727990628,0.06965495181766795,0.003726543454151383,-0.019861136666224556,0.06348409326611305,0.06791502602229724,0.0024976076598742366,0.003815851455426697,-0.08355851798802623,-0.0842149030292299
TNFSF18,0.0366046502589246,-0.02335739573773836,-0.04398873686844584,0.012140010218313565,,,-0.025360078182750403,-0.02155242971664559,-0.027042294271089805,,,,,-0.01598282735987701,,,-0.0168719252411663,,0.10429044343922247,0.013882024856771744
IL36G,,,,,,,,,,,,,-0.013752906617929024,,,,,,,
RTN4,0.041201880314263375,0.14216596817111743,-0.01120415968099592,-0.03404688342839217,0.03020114060129081,0.08468464320397706,0.11893918963265614,0.010511366627899877,-0.0639727256488037,-0.021597202567053726,0.04462058088948276,-0.017512691497190057,0.10245746393749686,0.03130146349876563,-0.005886230053097584,-0.011803549422806257,0.04865660560958754,0.08420022065484484,-0.07739548649062065,0.05658550613927094
HEBP1,-0.06803019312045595,-0.011567749951071786,0.04116787332750906,0.03906114143305854,-0.04303323169547679,-0.019361054324770886,-0.013036703369940712,-0.04827124390037709,0.018977879737341583,0.01701293656461353,-0.06985266428632678,-0.04872120523068564,-0.03326937330821247,0.08616570667784784,0.02756705119435027,0.020223066682754982,0.029080373714951063,0.08828319204929885,0.015100894218568474,0.016339235372805523
WNT7B,-0.035192104996521784,0.15577234020492417,-0.008770103600907535,0.04346436480979555,-0.014020241648579807,0.038172945915655045,0.1441161307447839,0.034623547121888136,-0.03679932334426354,-0.02231281026576135,,0.0033832449133596966,-0.015116029277309638,-0.002682366473775569,-0.016169610017780205,0.029129722177259225,-0.020486970725653836,0.05827387887492956,0.007877951100655405,-0.017295962340796386
PTMA,-0.008573120873207265,-0.013479186564428852,0.08697750474702617,0.035143625793404264,0.023991193206795932,-0.03138516158440406,-0.10294159706038747,-0.005745400124676097,-0.01716604263801725,0.007938759818410067,-0.07738904217987441,0.03334903640128308,-0.07284673845815849,-0.040509841380648295,-0.054807006816202146,0.018494907908211698,0.08686296504476394,0.004498436973910559,0.24331136813076937,-0.06452563234721735
FASLG,-0.02103781639718788,,,,,,,,,,,,,,,,,,0.11813617251800007,
