,MGH258,UKF248,UKF259,UKF269,UKF296,ZH1019T1,ZH1019inf
IGFL3,,,,-0.017112053006805288,,,
BMP1,0.04418847750108756,0.028224260881664857,0.036389069638869675,0.20688656956427953,-0.02104090196946635,-0.036394928812712814,0.04517374173348433
NDP,0.04340058230979782,0.022852460195518686,0.031905471127803176,0.04370274595542811,-0.011999286488474559,0.08192668018152774,-0.007000088004650182
TNFSF18,0.08430012550755425,0.01427012182106333,,0.10768297277555773,,0.0633969824174489,
RTN4,0.01896516530418502,-0.038394881907848254,0.011162803676173984,-0.2702709240393637,-0.02681488758369797,-0.07139255707550402,-0.01677720090867117
HEBP1,-0.006234635057727059,0.08845017085107233,-0.032625150615153746,0.09530854240868007,-0.05703108249601068,-0.09378163474643096,-0.05486995839843956
WNT7B,0.16239274163627232,-0.033378437677387025,-0.014981708791308838,-0.11256433355837529,0.038105904929980686,,-0.03139837175171816
PTMA,0.027452791739016755,0.00830011015218022,0.020707957929045815,-0.14892717542152487,-0.006854634820866273,-0.1443857997789243,-0.1440012522328935
FASLG,0.06194226486279266,,,,,,
CEACAM1,0.028939883618556435,-0.02042242995660164,-0.0013247760100311493,0.0858855884735831,,0.06469185567316008,0.021854083074382656
PDAP1,0.01089652098543247,-0.0025022444707545203,0.019286381526775007,0.20951984866602846,0.015518910919429463,0.0833395895340475,0.04366499975642236
QDPR,0.004341691325328852,-0.0006714611249610559,0.0171047895267152,-0.22384891771320947,0.048174212018602176,-0.015809348589790304,-0.11807608445885766
POMC,-0.003823492908913222,-0.0024809306449130597,0.028135601198296774,0.04762068600450582,0.041078838440827777,0.016834621067292332,-0.04475442980177699
CCL18,,-0.025485262992411988,,,,,-0.019964883929448833
CCL17,,,-0.022419328723782283,,-0.02398707615726239,,
VEGFD,,0.0024747225823186403,-0.0020029905062507024,0.16404517888258244,-0.0011867374921801562,-0.0335919103542606,
TNFSF13,,-0.019232003378426246,0.05779271019698879,,,,
WNT5A,0.011417897224712873,-0.011942914470905779,-0.02469746242161962,0.11724929457295936,0.029722907058711077,-0.04389154676559857,0.04883818755598016
CXCL8,,-0.02524553735942006,-0.025134317254283438,0.06591638881071135,-0.01638505253629166,0.1049916013134972,-0.035151321493671464
GRN,-0.050578396446192116,-0.04468495455870327,0.030013804024468835,0.2091173488055856,0.03536308255502593,0.007519890636053029,0.08678638494610463
MIA,0.2297143573877068,-0.01482984988063849,-0.010162784587840739,0.12404468818436123,-0.005641107108146452,-0.10816378500299018,0.05019050836698951
COL4A4,-0.026123004180172694,0.003114238919397721,-0.03604906406467055,-0.014676588180371562,-0.007005936164289448,-0.009100483945525761,-0.02524185138012182
TAC1,0.04095682667405767,-0.042004125603770606,-0.03447262905289063,-0.15282157399080634,-0.004337639944827078,,
RARRES2,0.022965258080652723,0.03527858912502557,-0.0023333391603068787,0.24008268269649272,0.015513321748168066,-0.06482630875844929,0.008834416194942102
FGF7,0.004348810695045833,,0.004240594912623467,0.02846846171372567,-0.024050763989014155,-0.03493040127526171,0.05494385560030003
HBEGF,-0.008735965788043904,-0.03230606393986917,-0.010274913071736485,0.12343708562894114,0.027280280225793034,0.0016265239540289073,0.03193951427509831
CSF3,,,-0.004843565577300905,-0.03990131214568222,,,
PI3,,-0.0017399513920711399,0.08111579706991907,0.03137574380836724,,,
PCSK1N,-0.003961696354033135,0.02228998795662209,-0.09532473037722429,-0.054247401913901136,-0.03259875640979004,-0.03150314601374603,-0.049061173458871433
NTS,,,,0.015678770437753967,-0.0002588666392593269,,
SFRP1,-0.005136248335330752,-0.02908464472708176,-0.00451389594913871,0.04315995838255493,-0.02398707639883195,-0.03490201225957796,0.07996045609094239
MICA,-0.0012172607490174977,-0.00485321009876606,-0.006862687569608029,0.1941468954585342,-0.008098470574326215,-0.03156836900004281,-0.014084788911366046
TG,-0.008664264678065777,-0.012125258180960701,0.007694766988187201,0.008440503310058745,-0.0007136832564173172,0.054753518624200984,0.0552889358415412
ADA,0.0001808439655827471,-0.019005490856428244,0.028296085520379776,0.16795710337688946,-0.028192968824801778,-0.015812844567057394,0.10285782744278957
LAMC3,0.020226508261340925,-0.02046292275230845,0.014843281384567834,0.23565649733345495,-0.03086487300716259,-0.020645193691166668,0.03716031109537039
CCL7,,-0.016210780201237767,0.096947490454456,,,,
NGF,,0.02056631449341034,-0.017864107935844496,,,-0.03933472946169222,-0.02966907800528305
TNFSF15,,,-0.016995702642325774,,,-0.012088381196886962,0.10971314775456313
HMGB1,-0.039310031742492126,0.03511473626756132,-0.01656037804382707,0.21427535715826765,0.02484690307744595,-0.09632764781496699,-0.008520418614005288
ITGB3BP,0.03795444130451522,-0.020744830539340835,0.01113022656049865,0.2217508425772519,-0.02239266839231065,-0.030635102454041562,0.06691400034754916
AANAT,,0.0330421031699266,-0.015464352844752784,0.03592881945138849,-0.020010392564222452,,-0.020794263503327214
RELN,0.020349555181626865,0.033619926099655466,0.08579680083214114,-0.10561200677423634,0.054924495482370495,0.07626528254643003,
IL15,-0.010552991211945159,0.0032374052017325418,-0.025830398588750546,0.11580522284285007,0.02570483602049014,0.16284293684833334,0.006292804867722256
UTS2,,,,0.07556851550381728,,,
BSG,0.017649942654143182,0.009452728850650571,-0.004287025249750415,-0.001720216482478886,-0.014902739161433008,0.027801712147290058,0.03706750568759906
ADAMTS3,0.013718084230752652,0.0936344762042311,0.023188010864027324,0.2361567589897496,0.008615191531101725,,-0.024899013601458426
CD34,-0.008647874203156204,-0.025734009386402256,-0.035426841006420955,0.12470791509857454,0.0011534612216789607,-0.05974944718060145,0.04487739629286444
CCL23,,,,0.13252275293214855,,,
PLAT,0.026571920483680986,-0.0017468840258726553,-0.037171831013521305,0.22192819966541577,0.004494824545212577,-0.018283205125183062,0.07203821763629464
NTF3,,,,,-0.03230154716830201,,
LTA,,,0.040933388435495294,,,,
CKLF,-0.015020359394512177,-0.03503748091645738,-0.04198533705428338,0.2826870038798826,0.030337165432316626,0.021341052990617518,0.0869700510443247
CD24,0.08147725564327785,-0.012219414905107449,0.013053869231646328,-0.0028565145185293662,-0.020376582479410613,-0.01353198138971037,0.03762955809164802
HSP90AA1,0.02103490688302355,-0.04511448226427726,-0.11541582568691906,-0.26886971371528406,-0.0028202114489218454,-0.03691308275054102,-0.07163317641711778
BMP4,0.04368740179896501,-0.029084647790125106,0.07460851386299523,0.05247159245697916,0.020336051011056275,0.003165642421607592,0.07677721483071245
SCGB3A1,,-0.01621077858018141,,,0.05099621356931456,-0.06981939134691939,
IGFBP4,0.0094144873982718,-0.04794260110385433,0.007633856604971927,0.23337148439714236,-0.04188714455500291,0.09671082178255998,0.029420744874165957
RSPO4,,,-0.02994265496335564,,-0.016878959374427408,-0.06383962623881877,
