,MGH258,UKF243,UKF248,UKF259,UKF269,UKF275,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916inf
IGFL3,,,,,0.07039761231525646,,,,,,,0.0958350224197382,,0.15363152556274587,
BMP1,0.0017270621934302633,0.10131605250122105,0.06098870364757675,-0.003338162836439148,0.10798706593489037,0.010115013557219556,0.009318571465274988,0.0394496142269697,0.15827656707820453,0.02514081750078499,0.003677154723880575,-0.00841759682706472,0.08586208816191082,0.042298422051730074,0.08732532753635318
NDP,0.06548746135451063,0.06440844442993478,-0.01360170728533187,0.020960101952115437,0.092108801950991,0.002356685003805502,0.029967399289892976,0.03219251516346753,0.11349207237346541,0.047312013435456025,0.08599668046435409,0.029740556050092765,-0.0794744915070091,0.020455659757057765,0.0843534732855172
TNFSF18,-0.028871937580761828,0.20024276210770692,-0.042188224323570576,,0.01671176614248628,0.0961352629732395,,0.0574266847113662,,,,0.020441586557843897,,-0.006881428620233634,
IL36G,,,,,,,-0.013752911436744552,,,,,,,,
RTN4,-0.04186820637075444,0.0252624081594976,0.010869672658674922,0.04684870215581626,-0.10792551549746487,-0.007936692714240795,-0.07374272989207833,-0.0831433073889305,0.01416302783456067,-0.06680064483780856,-0.03954010377596413,-0.07239165328694408,-0.19551044817351418,0.05916468939415068,0.010671094016595151
HEBP1,0.023475052804639955,-0.017155151964232864,0.0036192605336852956,-0.022286049876798743,0.0454616880219963,-0.026677954812298007,0.02572881025944486,0.006773231757168107,-0.03373671977740898,0.107868325898157,0.10295047584947303,-0.08167803538937816,-0.06662590887196654,0.07690608421831895,0.046738088460643236
WNT7B,-0.025435272714419588,0.09507953037685325,-0.03087326700760748,0.01984111436159651,-0.011319423733369938,0.02334852843188544,-0.015116034573743229,-0.0357680720460901,-0.10034285437643738,-0.0378480524836552,-0.005573867285502504,0.045799185999839766,-0.03445267259158058,0.048973897503552466,-0.038609796092674134
PTMA,-0.05277355831578473,-0.09143639775429606,0.030388896541571713,-0.027487547100647606,-0.04379124345101991,0.014686953800695764,0.07951379326170181,-0.06928710663001963,-0.09398556722620217,-0.11841313892117726,-0.002282902119719492,-0.08840115233300824,0.10965125334295121,0.010010026405118196,-0.04827919325561633
FASLG,-0.02543527990490603,,,,,,,,,,,,,-0.04016113476460582,
CEACAM1,0.018388917161085996,,0.029358011824455202,-0.031149753427538326,0.10963637665406316,-0.016005767858858957,,,0.0012665124853791848,-0.020917192081191353,-0.011660620445971707,0.05908104826297373,0.08231092185940538,0.07130594663647957,
PDAP1,0.06077551921866008,-0.02109633637906392,0.004139616544891647,0.01807782259934023,0.07015380732426453,-0.031020606418907932,0.0416347330028512,0.0035152933503462937,0.08875851163447017,-0.016886539666733234,-0.03724483319538736,-0.019696617143870682,0.012352909249240821,0.029704398181643336,-0.013352448557035643
QDPR,-0.08457951243733407,0.1323152651527034,0.04101728180375094,0.025726113791944255,-0.08454644005704023,0.025135386952918084,-0.014632562237111901,-0.0404306641739561,0.07710274877003992,0.05986790618231781,0.007490066532044168,-0.04812272056966595,0.041347112982012824,0.09916947837003419,0.06459236257268827
POMC,-0.02531249546311402,0.1758110567611142,-0.025039850406022437,0.0928830417666519,-0.01052532059562707,-0.011808417345233264,-0.029465760158764898,-0.023812016789483966,-0.0520415787933568,0.06274090039262485,0.037316034481495335,-0.05792129870021255,-0.0069999343227029305,0.06270062475122837,-0.011191121875467109
CCL18,,-0.0480236669287932,0.006999247873577072,,,,,,0.10831232460770483,0.0614367531059516,0.003732595013870683,,-0.04218081212247621,,
CCL17,,,,-0.0019794024863877525,,-0.012692519095581847,0.041492376677876294,,,-0.04874390145869716,0.055096478943977144,0.07937600140880133,,-0.036401557780762935,
