,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.06232607310090935,,,,,,,,,,,-0.006012956815093038,,,0.03058198785068563,,
BMP1,0.09709718599283204,0.038160488721452876,-0.03607609537872178,-0.009777013410352814,-0.00042693717485960483,0.04224563788333501,-0.0112261087058689,-0.030735709188002974,0.034040779056956426,-0.0006836170495157438,-0.04885498898670868,-0.0008944898862462757,-0.008504352566843742,0.05791809347385427,0.05927554444799831,0.015246436610566462,0.013322499317611506,-0.037556559972740405,-0.0001740223284717638,0.21546361684828713,0.05240915052819404,0.01435423647173791
NDP,0.04598542776005888,-0.02521389261061266,0.028506162100420503,0.08496584187166485,-0.017185209340416906,-0.0008190911904856098,-0.04007838681171793,0.05694124049009323,0.04925869550817274,-0.02089988021394044,0.007213781134296604,0.0032423031646235667,-0.07825145804404725,0.03579089815547354,0.031520899380424135,0.04063224543542406,0.004463628044358289,-0.004777044923331322,-0.03585848524902737,-0.0771066656689927,-0.0230914206676978,-0.06604333303105756
TNFSF18,0.0060491742063432255,0.002476815563975621,,,-0.010737734655190822,0.012092623061782545,-0.014105909426731312,,,,,-0.03829712420551345,,,,,0.03902017518537742,,-0.043921772831184445,0.062190743415052326,-0.05232556386786238,
IL36G,,,,,,,,,,,-0.022381622393005493,,,,,,,,,,,
RTN4,0.043355882828207154,-0.009796195311270621,-7.58974911927405e-05,0.05787517575561142,-0.14370835639066568,-0.043127627075066496,-0.03084512803772363,-0.03520642306536747,0.0024733093545673134,-0.07583926963964183,0.10367221424418742,-0.035415701306707056,0.08375983128993185,-0.0013043496968648447,-0.018533831935723468,-0.0022208688549002343,-0.04739791419618757,0.05367254928829447,-0.04300113549211336,-0.047883845246247475,0.12582129323822094,0.0008246036320495478
HEBP1,0.0004327280747281732,0.019721357617085298,-0.03632410310086239,-0.026522631704085115,-0.019042631087098166,0.08775460424523285,0.03419013524294376,0.050930630197694345,-0.011139840318835303,-0.05065086340707618,-0.030455837344535892,0.05071589824175798,-0.01971948809073256,-0.050985681410475936,0.07068668309591378,0.003737813861028905,-0.011009687518408869,-0.018452654685181518,0.018816632904637056,0.016035932033887416,0.13141251048576935,0.002951360409328062
WNT7B,-0.04751027760856772,0.029370017693690645,-0.009384946292436674,0.060708207120976534,-0.040186358036420185,0.015124387059736214,-0.03316928071395891,-0.02610605904530377,,0.03397242149852272,0.0731558382633003,-0.024188843650312927,0.18071377540939543,-0.02697926303178942,-0.005868156061353633,-0.009581225995484695,-0.06629583924799969,0.02835166559318956,0.004425861493698303,0.030366208656978484,0.056148915246734765,0.04592129718510181
PTMA,0.03419745505751553,0.00459275295841701,-0.023804233816733848,-0.04179705530314526,0.13378713358556452,-0.025442013732896233,0.04999492984810858,0.008024770786649945,0.04377302161599734,0.02861877076147506,-0.14638982824857494,0.13158973275945945,0.02664214688696706,-0.05107394595667098,-0.06921805225094128,-0.030722641176503723,-0.05259336617966344,-0.001434054925963882,0.01290484100223377,0.17513307972143916,-0.008000167705109097,-0.09833310047824434
FASLG,,,,,,,,,,,,,,,,,,,,-0.012694405629818193,,
