,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1
IGFL3,,,,,,,,-0.013038934561373953,,,,,,,-0.044464332729705874,,,-0.01754461254370557
BMP1,0.013133490571229879,0.06254649492988688,0.009073061064440847,0.06505556627804793,-0.015024573485206165,-0.07566814666876967,0.12605642707451087,0.0018794024335352063,0.017167617144243752,0.04181383642023359,0.06295945755963363,0.04307162411922472,-0.02142269543822174,-0.01685699955529832,0.030724953822942873,0.0699216199477815,-0.04727381035266967,0.0233674056261996
NDP,-0.04689367007553212,0.07492275249929006,-0.005102319660921864,0.021025289753150798,-0.0433090245412074,0.08482327516551404,0.07425839799445585,-0.010289904992923676,0.03777775447604361,-0.014976027581467778,0.03700393077670278,0.03884152338325535,0.04261776740731191,0.05949616427283498,0.03759160900608955,-0.020652961694690653,-0.018325925802844728,0.025332139406140364
TNFSF18,-0.05606645149790705,-0.019013255416748774,-0.059873360407476706,,,,-0.031822126131127226,-0.019362426384098158,-0.01749266126512765,,-0.020402697732863684,,,,-0.012917352018843049,,-0.03551424730149851,-0.029594624706478855
IL36G,,,,,,,,,,-0.023618393903668277,,,,,,,,
RTN4,-0.0893621536811213,-0.005812709479285178,-0.019582361614017375,0.02021804402663579,-0.02751542804292647,0.08425566254797516,0.03747729768019075,0.007139659711516556,0.0023848905929671586,0.017068219863917385,-0.043505571351681115,-0.029261193544796855,5.6055512797462186e-05,-0.06456139023598786,-0.08445016327997545,0.13013336892623079,-0.03815392231634457,0.03531684908759496
HEBP1,-0.006531659616916825,0.008722873599028564,-0.007916404291604456,0.021868252085722167,0.04363113373387241,-0.022168334358697042,-0.025268504390670875,0.00837488645363194,-0.07299128224381193,-0.044052354414750076,-0.05151273678782422,-0.01845907730635432,0.0840382468228195,0.07136625793070628,-0.012499951426017382,-0.040518480717095344,0.021969450617860636,0.046617776170704346
WNT7B,-0.049392787719563076,0.005067283685758618,0.023284566875877412,0.030135107308241624,0.01862853004717461,0.06505444279716247,0.09806755315967944,0.05863490560264274,0.030607844900393727,0.00020445044867448944,,-0.05250650816305364,0.01154798374160792,0.04332588609160189,-0.020840202130668006,0.03929660071836204,-0.035514210475891886,0.017929853185844585
PTMA,-0.06671437894646377,0.012644990325720312,0.006339367384279444,0.018426386528434046,0.03616551910397745,-0.12175583135868427,0.06863263223990396,-0.007073640112344162,-0.021108447509177522,0.028882003194019255,-0.035100407246564415,-0.13745569524528467,-0.031733205593904155,-0.10676052437686331,-0.08206550597902769,0.0036890695482686333,-0.003178860163839949,-0.03586318451048745
FASLG,-0.04939280168277764,,,,,,,,,,,,,,,,,-0.015216436473724783
CEACAM1,0.02288733041806358,,0.036269959606376086,,0.04099815985266413,-0.022521710723951056,,-0.009481034945406091,0.01435848111036752,,-0.02046315258881108,0.1104789753585013,0.07904592901748572,0.0459676372842243,0.019869937361900434,0.039859139755851945,,-0.0017388475914232398
PDAP1,0.006062238987431039,-0.05131463089649183,0.03516215422203324,-0.021574952322398675,0.004824723321338634,-0.08863866510901049,0.05674420665559828,0.04683704250383526,0.021912728027279456,-0.049622616037388496,-0.029910011473944675,0.04848004200524255,-0.012461572801735479,-0.02898600285147764,-0.028790863116921327,0.029095215180245767,-0.11086535727707246,0.044958368600608554
QDPR,-0.09730494044626496,0.05111990348625644,0.013219973853348947,-0.03859306521887362,-0.032865452177506055,0.04697416726860699,-0.018551369197554877,0.03310740765628935,0.07976706790490136,0.024699010469633725,0.040089495852016564,-0.11985026801847497,0.08253209288826914,0.15469206841845362,-0.013268404132834432,0.01834421546791389,-0.08832344767242875,0.06707548603522764
POMC,-0.013898612359372028,0.03743766881629917,-0.02165684965895056,,0.004280209300354264,0.11398656579204211,0.04468630736417175,-0.03284493965903141,-0.02029710084498556,0.0354993360276456,0.0689984401110286,0.043653254595052586,0.09219152623849068,0.09234948192135863,-0.03635287720071076,-0.012627864254907533,,0.0044907021063837595
CCL18,,-0.005374295370078966,-0.03973504686327574,,,,,,,,,-0.03338664658490325,-0.01036361252611662,0.10503913838566822,,-0.09024523598294086,,
CCL17,,,,,-0.009521371118069884,,,,0.02975679186575036,0.025305223793577778,,,0.005424335514397798,-0.020200561476305393,0.05119634771159406,,,-0.013791990559085435
VEGFD,,0.004212821449594405,0.05311528468681696,,-0.032877160861089175,0.04566680385818941,,-0.0036186365799736686,0.07116137675996902,0.06526695669970169,0.010936788441217565,,,0.020237622579151095,0.004940521343173005,,,
TNFSF13,,,0.04266102646190209,,-0.020355190243647316,,0.08280130142354988,,,,,,-0.02101404607334151,0.12393314999272781,0.004746456805647963,0.021416767590639495,,-0.022472897445352157
WNT5A,0.010905780540339968,0.0005555892756896804,0.035836898439145885,-0.02790842574344805,0.013394743468349221,-0.07354701105404399,0.1162024464125463,-0.026924302036023227,0.004982142815498045,-0.022777737992732295,-0.03570998527930484,0.07640632232412028,0.05586251237391662,0.027274834172720953,0.048179258793260134,0.03012129616580467,0.04913608952018766,0.04586864034851004
CXCL8,,-0.04682985887603211,0.020803819223503803,-0.029350298966154265,0.028467883192282422,-0.06807937584422213,-0.04389752035834835,0.01978660381340178,-0.03408841259000991,-0.013964286306637376,0.02837827450684399,0.03873349351119996,-0.1291572202175712,-0.11710474360908892,-0.05036790822347721,-0.08494686993527657,0.042735559695379004,-0.023933107293402527
GRN,0.007296819514963758,0.010299122472563526,0.030468777298361283,0.02081335381993569,0.017343493302109263,-0.030107509093267478,0.04377102228121867,-0.005346838076971101,0.0429098187606073,-0.01159969614851087,0.010709687380160583,-0.03172257640057093,-0.05026558177813382,0.024944631825856895,0.0974972264302863,0.0331782619899254,0.11435569993543736,-0.06177816419107031
MIA,-0.05677117235017156,-0.025545737517815817,0.03076891482438735,0.03309389374722478,-0.0121721017732717,-0.023329113498777358,0.018665558155574673,0.010486884312500628,0.0052983756149443655,-0.008616145459764071,-0.008186114451383269,-0.05649503462028209,0.10942531093925426,0.11146687646228784,0.06289605259461511,0.024674141444578343,,0.12230032404263058
COL4A4,0.027271715432253256,-0.009470887239526047,0.12404988219289376,0.06809550833461943,-0.03380544999520964,-0.07135190706473836,-0.029362710475129235,-0.012848902193136998,0.027612267449443513,-0.007158434637215979,-0.04147845383872713,-0.024069587286863127,0.052818459133612695,-0.011735772838188836,0.01276903774954705,0.04634799797505821,,-0.029889700872389718
TAC1,0.025611103337537484,-0.056677398890344705,0.06236622152249083,-0.0040282564963817526,0.038906769244892905,0.11584363249761483,-0.0043057440393791295,0.0036838656959021824,0.0008823424260999698,-0.033486305034019066,,,,,,-0.014657606225665906,-0.0297426139248206,-0.018130974018546193
RARRES2,0.10928525419020142,0.02791045205964414,0.018103742783422198,0.022512931446501686,-0.009677893600692135,-0.09870926407174725,0.033352705105381936,-0.0408869735369423,0.03259618495310238,0.0391026739748711,-0.07114843758524073,0.011461149548653857,-0.08956244168591088,-0.001871566014479996,-0.07852497421545546,-0.023046079242681334,0.05803616502461943,-0.024369584495301633
FGF7,-0.009048817038614541,-0.007913800052669966,,0.002798863400052591,-0.018931564398681867,0.02125459376323595,-0.008348764803569494,-0.024992772240706448,0.03882352347828435,0.06681702772824621,0.04280818043459046,0.08007824593846906,0.00129075129887306,0.0706568957413787,-0.05218467406393809,0.05089538268636357,0.09320686630755674,0.0463521059367282
EFNA2,,,,,,,,,,,,,,-0.0047063095476431805,,,,
HBEGF,-0.010589085560819464,-0.043528759976549335,0.023431170723603744,-0.008142329172524027,0.002283698166851274,0.004272466813251103,0.06366854763672912,0.00703389492278135,-0.03857999289750032,0.07586090393087531,-0.025905400376539437,0.0482468559645329,0.040420542978622936,0.023255838343594792,0.09668670832884699,0.058846322637500406,-0.1142601730520764,-0.011891304379374445
CSF3,,0.014534177361105098,,-0.030964990017264913,-0.0019973635444217566,-0.028991894985278682,,0.07189551187680897,,,,,-0.053706435478626226,-0.030687321713492303,,0.009367446614713861,0.2936401831131329,-0.014520838393047417
PI3,,-0.06326062480499142,-0.043142979347622776,-0.007899365297643965,0.049634223492372974,-0.03312269584625866,,-0.015306900922045464,,,,,-0.13997659803247464,-0.10223525592135653,0.1701020358542484,0.009782239946893105,,-0.03154895775246015
PCSK1N,0.09965917441247635,0.0789605905377083,0.04393340721500188,0.03226545869079647,-0.03643453817392029,0.06672396776737571,0.03253583267215937,-0.002090133188529396,-0.040535524298593466,-0.004844913714342605,0.03439358443517653,0.04606369606929475,0.063428794630565,-0.01138214144191605,0.025754612105795417,0.12323971249834448,-0.05046524479671288,0.03618229148567022
