,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,0.056877583334636266,-0.05996491283999442,-0.055469104304069976,-0.03682123332980363
NDP,-0.10783731377654579,0.009906157753665898,-0.0026209937959821208,-0.026364863874976174
TNFSF18,0.06860484696160007,,,
RTN4,0.03946065513754063,-0.07137794849860311,-0.0034821599029417082,0.049177694264410765
HEBP1,0.08187380501827922,-0.015789415735209533,0.06274213303276219,-0.004137500285178511
WNT7B,,-0.00042722333595858974,0.016650977328191072,-0.01918799355720819
PTMA,-0.00024548833152659576,-0.048501363206477834,-0.015425846275928488,-0.02394829050668986
CEACAM1,0.058617186249758334,-0.023177929093912607,-0.018648620672611027,0.0168433382474205
PDAP1,-0.005815699099192344,-0.057531656034019746,0.02930024681147312,0.01343382743087925
QDPR,-0.03991593263340021,0.05434992873430438,0.015436411481305605,0.017030165987195353
POMC,-0.0224070043943267,0.13577126113452434,0.041895709856413256,0.0469664826669116
CCL18,,0.03078824934942391,-0.016286989481108717,-0.04073184596029386
CCL17,,-0.016443618848828626,0.01958143970665897,
VEGFD,0.13768632041779896,,0.06755116189737004,
TNFSF13,,-0.03155283470145854,0.15977133551376238,-0.023137595209699175
WNT5A,0.1265955039806963,-0.0013445770686120928,0.007919356499376468,0.03423852906750376
CXCL8,0.032030570131552395,-0.08305141559649129,-0.09630806436958789,-0.033928367970263135
GRN,0.0026859966050043903,-0.07652691510654208,-0.005190790500816693,-0.029291359903871977
MIA,-0.027815151953159062,0.13908362964032478,0.04036302717313969,0.022505504678321193
COL4A4,0.007387064042691494,0.12246482681079127,0.05382372947781412,0.00873721328183595
TAC1,,,,-0.024497610548627646
RARRES2,0.02280172724893028,-0.046696688380826676,-0.014196939182470537,0.013358622855712118
FGF7,0.10545152144948164,-0.017188017513778547,0.1423450829447606,-0.05841468921229019
EFNA2,,,0.029305695263065017,
HBEGF,-0.02000362812255657,0.0795329829907805,-1.3325086208783698e-05,-0.0588450815717499
CSF3,,-0.06837597692288143,0.007884766242057186,-0.003074044663687626
PI3,,-0.09029046371712952,-0.06303323426308274,-0.008417313264567598
PCSK1N,-0.1245630531879447,-0.012437505211100526,0.018481668562158295,0.11634478347504594
NTS,,-0.038361251056678966,-0.002886193152203041,-0.03561964287492605
SFRP1,0.020555830959539508,-0.001789239909121463,0.03584307616671424,0.009818442538521164
CXCL13,,0.04623668728870686,-0.0071204264390720105,0.03946482271410593
MICA,0.017816471227063486,0.029309883112695514,-0.021447906032686953,0.013720584380477222
TG,-0.044957583353895235,-0.021849458309764095,-0.026594946197959362,-0.02431148045811525
ADA,0.011902838312416723,-0.009037778167623455,-0.046234931045401585,0.014001246839775695
LAMC3,0.010173971837257968,-0.013929687433772224,0.002004067267144777,-0.0492782058560802
CCL7,,-0.02464519439002381,,
NGF,0.04277903481168082,0.03230285455345325,0.028480135568445416,0.03352026064404714
TNFSF15,0.13736785548997033,-0.02402629711362511,,-0.018343535978663686
HMGB1,0.008064223304628802,-0.03134777419150425,-0.0056871147156770845,-0.05222384766046468
ITGB3BP,0.07037481111435864,-0.01625072019507191,-0.050358552080349187,0.03087433096042029
AANAT,,-0.021620789489532596,0.04582323036474973,
RELN,0.06087210534681243,,,0.010883708108774346
IL15,-0.01010536364796469,0.052488202945231086,-0.04324356546180012,-0.027566832496751993
UTS2,,0.0744238922558311,,
BSG,0.0006122831905285277,0.022014285737443746,-0.014367322171729181,0.07595681518841461
ADAMTS3,,0.07422304593387624,-0.013838809560549517,-0.010821116889596057
CD34,0.042130732488076146,0.04165591511899909,0.026317271359347024,-0.022518323309947727
PLAT,0.0606126368054348,0.07177782884529615,0.04373450704712778,0.027888036623654983
NTF3,,0.059791180245734606,0.09128981143137915,-0.004451804466593054
CKLF,0.032581219851112724,0.03570637952995167,0.03285299401059027,0.004190330786312065
CD24,-0.05124805061178281,0.0547808403820247,0.0014729996534984953,-0.04631941529376476
