,UKF259,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,,0.07131361075095669,
BMP1,0.019314863098881134,0.1649212219740876,0.006989145205476015,0.00747552659942506,0.012238056780973249,0.006691944609944271
NDP,-0.018547427977690073,0.05712186773617598,0.039988019957052146,-0.0039745370491224554,0.004238862229279982,0.015195052573533322
TNFSF18,,,-0.042876855408367796,,0.02171029650911385,-0.026348565540601648
RTN4,-0.038645153870101305,-0.00288705754331734,-0.040193182918252114,-0.014455729785375864,0.020696351269601166,0.04767898801718845
HEBP1,-0.03275501884204567,-0.01443304101562727,-0.04255153706377448,0.04521040376509559,0.012379318174825082,0.006763963852087387
WNT7B,-0.02275399112242818,0.056601083617296724,,-0.043697327103490564,0.027615742284717536,6.517149780082506e-05
PTMA,0.009440718431491519,-0.10456785779439946,0.02130846650262296,-0.03817930001546318,-0.04764809359930042,0.03301194107648147
FASLG,,,,,-0.015954305172244075,
CEACAM1,-0.004419914001632281,0.022849351209300196,-0.03014970617067895,-0.024485767609835576,0.015030320624138047,
PDAP1,0.011087194099384773,0.0012165718288369909,0.0031532025606402295,-0.0523067597552271,0.00878545988500036,0.07331644610393458
QDPR,-0.016373302803924822,0.039902726020345954,0.01745925789405733,0.0008654644928571683,0.024077356983775288,0.031267589871227415
POMC,0.012011254114208636,-0.012848436263605496,0.05893971828897641,-0.0028161440873967743,0.028607010284693573,-0.005840089574063521
CCL18,,-0.06273294492947956,,-0.02466391803748209,,
CCL17,-0.015228930278417046,,,-0.017371466974712455,-0.014460785657162144,
VEGFD,-0.016966710056670317,-0.008960828810266774,0.05243841535127594,,,
TNFSF13,-0.010504575272528172,,,-0.033333235890102966,-0.023562643235609478,-0.028663480957054236
WNT5A,-0.005532148086709943,0.11068030272840525,-0.0253798178933119,0.009798989835171098,-0.017272983004886163,-0.060062286580601615
CXCL8,0.005766363574038228,-0.12949519894067127,0.07413743820086069,-0.042981752109051856,0.008437208705707331,0.006956835589378451
GRN,0.01073022393265974,0.017491318113761367,0.08120041166536085,-0.0044905686082674845,-0.016348044314374678,0.03077078823051161
MIA,0.004956696693469926,0.0413287304407562,0.16380570429621985,0.10217463248660322,-0.003606566692105714,-0.0430113014722961
COL4A4,-0.01975259017531695,,0.08614083260996326,0.054448052299247617,-0.042466781535432443,-0.0013497147074873254
TAC1,0.026348394470156557,,,,0.07059408534021266,0.03420478903599643
RARRES2,0.08614536712898783,-0.002236472249750605,-0.08028526324970872,0.025665694771658403,-0.002707480516735477,0.08635861801647779
FGF7,0.006330157401576946,-0.029868961880396366,0.04783112954276985,0.06288612766123942,0.03633704901489095,0.08564615115481844
HBEGF,-0.0005016758866842773,-0.04032213164410522,0.09212583025917563,-0.03227551435085145,0.042288261102319605,0.05165834633941041
CSF3,0.04618178236246133,,,-0.010554795105856525,-0.015224976457500832,-0.03369797529680541
PI3,0.0473345209525426,-0.023267806065148743,,-0.06380268686227895,-0.03307881583957834,0.10397384032886987
PCSK1N,-0.0032794473085359585,0.05325877449082405,0.037084055865368185,-0.006825691233996416,-0.019127122617626623,0.026409408284490597
NTS,,,,-0.018090732639164966,-0.022546114037232792,
SFRP1,-0.01328783032075344,0.008430016552038053,-0.0007780766658311778,0.007229662370428926,-0.022022199466276985,0.03211602495625426
CXCL13,,,,-0.03901987647496698,,0.045433404642603696
MICA,0.011279389270939988,0.027072840247334633,0.0009436623267598874,-0.05395240372190112,0.041287122816210706,0.018057766081690293
TG,-0.01433967416343831,-0.02207633671217198,0.09662191634305455,-0.0230823364937373,0.056544373596423836,0.038426352455109836
ADA,-0.018001859992260748,0.12131337067182546,0.003639506977807275,0.0193752367611984,-0.011984539853941014,-0.0028190549987912586
LAMC3,0.02086765970256384,0.14557372801730162,-0.034865550828129546,0.0007327541917446735,-0.03229297847312802,-0.025291779336968297
