,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,0.06852761618151211,,,,,,,,,,-0.016603059796401975,,0.006822550881869724
BMP1,0.06012993826251785,-0.041760869121047636,-0.00845861371795654,0.06115851354695624,-0.049806478088381144,0.044917620888222994,0.09296455701948644,0.03479648650656668,0.0015357549759972577,-0.040842437774076173,0.013774150336859085,0.059483532703246175,-0.07198041187471965,0.014322010932276157,-0.06986487106508359,0.05541442915811905,-0.04109859918450286,-0.029439451381902935,0.0060403007737315625
NDP,-0.011086046754144957,-0.0030268909575958186,-0.018133662309729372,-0.0065758008284558765,0.01841373942705698,-0.0005579885338158315,0.011410415752217998,-0.019502744970427564,0.002536621366902044,0.002234677403666642,0.09438581053429033,0.009614861214892375,0.02929992765094142,0.010632888046345568,0.04801743040217138,0.019511800334999805,-0.016495074377115167,0.019948843084999637,0.10934104122446041
TNFSF18,0.015283076674100539,-0.02656699504953706,-0.002556630588102178,,,-0.011833028334396742,0.06227357258026586,-0.01433915937630401,,,,,-0.007707682678395614,,,,-0.017122442506813915,,0.09232942887489437
IL36G,,,,,,,,,,,,-0.0174564409161633,,,,,,,
RTN4,0.011114474014782052,-0.05063045920947759,-0.02249275222868566,-0.01649337479181518,0.0355187195279081,0.041983841013282,-0.08247558714388818,-0.008353811921460848,-0.041398282049958296,-0.017708111583179843,0.0338115958133541,-0.033332265546342166,0.04844056888828923,-0.09176078342429264,-0.007236685492647134,-0.0021088503919765023,0.00597197267447708,0.05084803486746894,0.024051201779373733
HEBP1,-0.008264321611166811,-0.04004467123103161,0.015858186816222284,-0.02846272763570024,-0.048231829259562056,-0.017225108930279502,0.08875842290675301,-0.05809344188415285,0.004775901922366218,0.03461999126887394,-0.0020834831140953843,0.03532443181086157,-0.03392482730647234,-0.006299896568346534,-0.0008237999814240739,-0.0033727895050752817,0.018737520335439378,0.029950782201025258,0.05472084538401061
WNT7B,-0.03787471111520608,0.020055821542968668,-0.01680713993905004,0.02792948882313578,0.03211626633724527,0.07090852916267905,-0.05098251168800464,0.014853992905799808,-0.01632889946281621,,0.010084742219719873,-0.0013238045144207274,,-0.030467307056340036,0.0694758401271838,-0.011434840186532446,0.02406549870333855,-0.020366671197185545,-0.013511402929053212
PTMA,-0.006284876226137154,-0.06183260382852939,-0.0065640824073204766,0.00763657300690372,-0.044232397718118925,-0.022169925693455557,-0.0019159584526762979,0.035699873003626884,0.042193279672477095,0.014300224224803716,0.015449540944144817,0.0850468060647288,0.07854936494057424,-0.07326945052987967,-0.048715800056102605,-0.043838515182384484,-0.03832456737555424,0.02123142920261867,-0.046158524196364334
FASLG,,,,,,,,,,,,,,,,,,,-0.014834677301002592
CEACAM1,,0.043221351597494774,-0.012898469021823017,0.006383841504891325,-0.026676963165542883,,0.029997305192189624,0.026493896896807204,,,,,-0.026944839984080295,-0.027323568973592505,-0.02633720163154378,-0.017693277831492042,0.01619363685091405,-0.013517655880337041,0.019077641296015774
PDAP1,-0.01095213916610387,0.0081720810809108,0.04463350636947077,-0.0332211230686052,-0.033603074272467524,0.033199762031346655,0.04034514196741322,-0.0039715108292742414,0.016238630373254244,-0.012034932178148737,0.016808476476057446,0.012854967686592066,0.0048045258261006024,-0.025319561868566137,-0.03257125262062879,0.0007498182863257668,0.028870882950815094,-0.021111872097630893,-0.00013578580294739496
QDPR,-0.04484879324291509,-0.03578607692963543,0.03667330030362889,0.005182439732294979,0.053575106751891095,-0.003749811280098387,-0.03718644840104869,-0.030009573366336046,-0.016985119016707257,0.053872529217883054,0.0708240909841569,-0.0021301337398713757,-0.07088360295544659,-0.05001536648329421,0.036646831996451044,0.053264038138250924,-0.034174423752240064,0.016711341179034864,0.002715730874161757
POMC,-0.0031162840283900047,-0.04007660808448539,0.02055310142870218,-0.018724099720006274,-0.011966809826626568,0.004237817988016709,0.04086517297622618,-0.01663802662624982,-0.015360003034801478,0.10389187154215675,-0.021912643393317374,0.02609989161654037,-0.016069690791208263,-0.04216792316462312,-0.026368662576171417,0.05581005299426014,-0.03065388878935972,-0.02211310926482989,0.06407332795063377
CCL18,-0.03777902609777853,-0.021101039353056017,,,,,,,,-0.01912360750484907,-0.01993850392113953,,,-0.01937285964484514,-0.019086579547316795,0.05355935358506581,,-0.015531264846886685,
CCL17,,,,-0.017867072069545457,,,,-0.01788372349083021,-0.020210600087923535,,,-0.015946954365104755,,,-0.018684969801188844,-0.02554135732372473,-0.02189017526548975,,-0.013445968748057572
VEGFD,0.025551929864112092,0.09480820861543432,-0.018474469062097754,0.009770790055254141,0.032370281826498835,,0.046900080176290423,-0.01905359475333553,0.04148533255844238,-0.0207212051180782,-0.014805067661235587,-0.017090844923470617,-0.006033773573176959,,,-0.017693277831492042,0.021181792326156995,,
TNFSF13,,-0.01592352648066086,,-0.012324306436691806,,-0.011475568975405663,,,,,,,,,0.04988365366063753,0.13412670250652242,0.018504866431813382,-0.01517942156605074,-0.02190908378554931
WNT5A,0.030751082386835694,-0.034832974412888934,0.04436240348878925,-0.011600661180836245,0.020442044629307272,0.018165680934854107,0.05799544589129154,-0.022044297955446025,0.01738167620943753,0.04616726787237085,-0.04129550517342567,0.0754776276978014,-0.03885053694466581,0.10521024864038268,-0.023267054560100395,0.07026647265301784,0.05966239332816482,0.015595044149755866,-0.009598661101619367
CXCL8,-0.04475339502078548,0.037083759522771986,0.019870168962018483,0.04807776921031771,-0.03397957402393886,-0.016323252571800857,0.05175624911335906,0.030909988456351466,-0.013805423473020809,-0.010140555112765591,-0.008342780798995763,0.02250942642346853,-0.022818617938104514,0.007510135069081689,-0.0862493847980971,-0.04715237074140559,0.0009362882936796315,-0.0344555271214599,0.012519627160893878
GRN,0.04485481483231927,0.01832453809604251,0.010292307127889677,0.06055464904038911,0.028417421824719596,0.00905401952850482,0.08345100756897889,0.010877335014098793,-0.029274951413866483,0.03939699216437805,-0.00043917045481675816,0.04400642020039931,-0.03070826346145737,0.0505860574618067,-0.059527587247236,0.05973995953984741,-0.0037228078948481434,-0.06280313335007161,-0.05757554781299281
MIA,0.018458500961896968,0.013683341689949502,-0.016429900812045983,-0.003395816803600871,-0.03481491364146927,0.08826353711807164,-0.010004642533576432,-0.03515069508548934,-0.01685999646523945,,-0.020078331522260934,0.12256669891468215,0.009395428017064745,-0.0060517505209192555,0.10487272620387575,-0.024973907382005157,0.06949894912956311,0.02263515787469214,0.07472572313007445
COL4A4,-0.029446830918433527,0.029891002093626957,-0.027630199576842093,0.013488420010526707,0.003084137751867977,-0.010918496884688971,-0.021725546548922187,0.011672583943409965,-0.01806515685411448,,,0.0394299511670589,0.12177666911198619,-0.02449334770445823,-0.012973398849905999,-0.028329704309902132,0.02897935883416164,0.029885608155358786,-0.03948658329453935
TAC1,9.816465662061093e-05,-0.011200423314732325,-0.014741217444021633,-0.019885208118032714,0.01518575487703623,-0.005437064992326837,-0.051674964305745204,0.007151308763791021,-0.015143175775517013,-0.018381959758753036,,-0.040238654819363506,,,,,,0.03957475056997775,0.00542175540768588
RARRES2,-0.018696276021135407,-0.03517080102382194,-0.01987804158481,-0.06026553253495176,-0.0354848737008412,0.008940863143652172,0.0823240560596621,-0.03235775699489314,0.0066609944083968605,-0.004119965774916218,-0.04924763149260311,0.04935622421317715,0.05005531736767357,-0.026293972458919887,-0.06776883007976145,0.051623338143584746,-0.025830205177004083,-0.02219915094034752,-0.0038502292516221005
FGF7,0.0394330899691301,,-0.020851854412448842,-0.03167104300121971,0.010709229277131449,-0.008104201430556662,0.026082827717301308,-0.01475376651292405,0.017696673880614442,0.04296211879988094,0.042281649723916,0.023986852837870394,-0.01731872213365205,0.04786434888973435,0.06780590771094128,-0.026583695139665606,0.016334865619768307,0.10227739834606979,0.09245588523626304
EFNA2,,,,,,,,,,,,,,,,-0.016816276490235347,,,
HBEGF,-0.008570772908273584,-0.028397941428901244,-0.020066620380551903,0.04853944358747992,0.01361355072704652,0.018367722990813445,0.02258081652686747,0.01963402933985153,0.05797751374561669,0.05989846204359118,0.010836500619482138,0.1210057496100003,-0.004978992173617831,0.021157972851369385,0.016612140885037326,0.02834109703581477,0.008731431712140064,-0.02891130859276901,-0.07145554038596157
CSF3,-0.0428499933809323,,,0.0458672850006877,-0.02970035279997215,,-0.02298521008391514,,,,-0.022242041621292213,,,,-0.04354909889010598,0.052689796647699426,,-0.01937940619822232,-0.014156530806199821
PI3,0.0003191682620439916,-0.006118207584285772,,0.0050590314390677,-0.06395796661415287,,-0.025881649926424402,,,,,,,,-0.07949269876725425,-0.0005010996033081503,-0.018599274094961368,-0.018528588987494574,-0.030757438395571046
PCSK1N,0.032698140140149524,0.01652414263649821,0.04959656237791205,-0.03136589048014537,0.01741096499572482,-0.031333716506144256,-0.043317959455557296,-0.002362952326486768,-0.020607226915777956,-0.0532721705591502,0.006119643774737558,-0.0655855860939056,0.040758609772575366,0.004071095188051436,0.03028339030788046,0.03472749186440999,0.009674339352679102,0.09897328292180733,0.0794278917421858
NTS,,,,,-0.009799699776800725,-0.0133290039244242,0.05683081382403109,-0.02132963062848128,0.04072422691898923,-0.018655740818837824,,,,,0.050056443733502376,0.05753509336510768,,-0.044807874039386235,0.10128407857989402
SFRP1,0.035343803325213946,-0.008476847695718662,-0.030724502347131154,-0.015589711007165422,0.058912450991604456,0.036409756134072546,0.015824171393276815,-0.03184585925541556,0.009190148736982212,-0.016052930184934613,-0.0481291328843768,0.003404570277981452,0.07359409135406725,0.038806943880593546,0.015802354099164972,-0.03230343629787921,-0.003590516011422316,0.010381332243291814,-0.02047674398938297
