,UKF243,UKF248,UKF275,UKF296,UKF304,UKF334,ZH1007nec
BMP1,0.025374524314817442,0.04346423903094019,-0.06097726180849594,0.031946239343875346,0.01641811404920841,-0.007837562581027526,0.04966505220335848
NDP,0.11499477506911493,0.033227189916971794,-0.09297345276733533,0.07671166700107548,-0.06393173017418448,0.042421798829846764,-0.02676523154683186
TNFSF18,0.0005077544263580061,0.08801253078259938,0.0036318947160102794,,,,
IL36G,,,,,,-0.013143812269179406,
RTN4,-0.07330493219402973,-0.0007911487250676559,0.03417627707708686,-0.013410612501255099,0.0929196543314062,-0.0035423642648506506,0.053689960970423334
HEBP1,0.021925933644175267,-0.031194859110621427,-0.005225343892125743,0.04078157264272915,-0.05184076900914943,0.005276010267940731,-0.005971438126995426
WNT7B,-0.047344432533274666,-0.03674642317934705,-0.0006440369297392483,-0.016668021318663954,,-0.01444656439514864,-0.03158980402538427
PTMA,-0.130210223907803,0.027711904089582295,-0.0841158449954291,-0.01931669389679039,-0.044428048767295884,0.05307723234077879,-0.022190082116256064
CEACAM1,,-0.01580393568753256,0.059675157466492774,,,,0.1520465672780615
PDAP1,0.0537299942932296,-0.03181354366791394,-0.005981658625272386,0.005828697965596269,0.02635994974560518,0.02813385538213687,-0.023467435674641678
QDPR,0.008569046205671003,0.009303297474555642,-0.012406615446257551,0.002946184599036255,-0.08381804398369919,-0.03518473553210899,0.09663727267064254
POMC,0.019837354081005704,0.026105984208475187,-0.02543187198053412,-0.005668152476545175,0.003347442403924662,-0.004713520813941392,-0.018174861089565533
CCL18,0.006913344314985142,-0.019721818518551773,,,-0.002038519099253289,,-0.03461636717089581
CCL17,,,0.03708576534794398,0.03466831002639819,,-0.012007245660599191,
VEGFD,-0.028470806476824848,0.014003767052077433,-0.02912416198272586,-0.015132602326527272,0.02793389501895113,-0.012868537078927562,0.13078066798391383
TNFSF13,,-0.01488272184950288,,,,,
WNT5A,-0.0437256514230325,0.024136182372964957,0.027663853169891655,-0.0057672643529391235,-0.031383273659341,0.05104490034855607,0.0013322494168964097
CXCL8,-0.08484681864335777,-0.026148350182770883,0.019643061205911052,-0.014092137273886326,-0.013641306726192884,0.028716090257603858,0.07473403073557656
GRN,0.005486630001272183,-0.03068976477139286,0.04948688068624062,0.014164408744660894,-0.029763076215125098,-0.03708097970594727,0.0019438740476507553
MIA,-0.010229402731254762,-0.039292679281232826,0.016591882038760015,-0.01721014825004886,,-0.01762405126324963,0.13238872278058575
COL4A4,0.11831192414016259,0.03514184566293806,-0.018208569731314232,0.039936472706062466,,-0.017095983561764297,
TAC1,-0.04703832706858925,0.018267444731788703,-0.014798562555807068,0.025986216252774433,0.04778428610612695,-0.030297660757429366,
RARRES2,0.07240764622301445,-0.0026273357713852362,0.08719949312654131,0.0017191833406476273,0.022880713028223025,0.07668438581264043,0.06265881437366178
FGF7,-0.0254181151702158,,0.10512101792301481,0.045904116013216326,0.11594413741778291,-0.014517795188984342,0.10648344194901646
HBEGF,0.10820803309783522,-0.026955438863331804,0.006228142380839345,-0.03089764056411511,-0.049243342149867024,-0.01849747724453347,0.002082460044640082
CSF3,-0.028433235266311144,,,,,,
PI3,0.00019519077418805308,0.06121663815122064,,,,,0.03086244017920101
PCSK1N,0.009308772387434135,0.04847970695558791,-0.015259548802858909,-0.023120579659495336,0.06918927978042667,-0.07153971528034532,0.06021183220630248
NTS,,,0.09890295765118232,0.029547408399199608,-0.019685321886811925,,
SFRP1,-0.027923637016377414,-0.020684921713040132,0.010523121889949699,-0.02063033808789013,-0.015490732244397558,0.008052835224553745,-0.02974334717629539
MICA,0.06816752046776936,-0.05296954633359533,6.538387319600405e-05,-0.011639553600480764,0.011783473156534528,0.05833258959438839,-0.054971046870551814
TG,-0.026774946670446994,-0.009675398754779138,0.003715204575004956,-0.01493008593410579,,-0.018036577239869477,0.04740653399273592
ADA,-0.03339618593204236,-0.013059492812251126,0.004179546222210019,0.036500153988661715,-0.06883190578635172,-0.027855211173446855,0.02842221544506992
LAMC3,-0.020099456607869475,-0.04299188961309597,0.005348698680438592,0.0371009540220355,-0.006313955570376925,-0.0352896986583282,-0.060200669946499134
CCL7,,-0.012544742632953531,,,,,
NGF,0.028777197051699874,0.08725881243696378,,,0.03311289242006193,,
TNFSF15,0.02683330402622675,,,,,,
HMGB1,0.055507181693097804,-0.0042697251426415455,-0.0018081399153039757,-0.031676011241680666,0.00808103318189261,-0.0058494772558004135,-0.12548653243269375
ITGB3BP,0.03056198010532467,0.0030718231401669774,0.021331248476703278,0.006199714565854303,0.04495475898862984,0.04564093080182546,-0.09305749072842828
AANAT,-0.029516209618827807,0.00016023239481179606,0.11503824180349849,-0.01721014920732125,-0.018507109804716735,-0.016106571548241088,-0.047142734206417715
RELN,-0.006541824742139033,0.01641522450710284,-0.032704157356795764,0.08904361190064077,-0.007643216991970578,0.019761561592869552,
IL15,0.07274420387877138,-0.00538757164998547,0.00996179619283321,-0.006033173501416436,-0.006961310055749223,-0.014938100677366438,-0.005837268040598632
UTS2,,,,,,,0.015514946680476368
BSG,0.040965353664293935,-0.014084964762576894,-0.08075905022667511,0.029694596405024733,0.008275843156612632,-0.01595879227057561,0.1009047176670949
ADAMTS3,-0.014677999774566668,-0.01847034779443338,-0.04237776401997584,-0.0024299981721779772,0.006253929131640745,0.059444657977133435,0.016274861042366886
