,UKF259,UKF260,UKF269,UKF275,UKF296,ZH1019T1,ZH1019inf,ZH916T1
IGFL3,,,-0.017324522182649765,,,,,-0.020566579079348297
BMP1,-0.020138921324631055,0.011252886768711485,0.15985195785305323,0.02132563981945987,0.02760941782760895,0.1121403555956613,0.1460472940471942,-0.03528092740433945
NDP,-0.005757975194316028,-0.007549156575704891,0.05169064827950633,0.02635747007833014,0.03650819073737066,-0.003376520103293957,0.025807910857848438,0.09559770571706647
TNFSF18,,,0.09759958878687375,-0.018249271065911284,,0.029113290398284582,,-0.009213227971363067
RTN4,-0.003073027943485477,0.01700031568233868,-0.20923688128338663,0.062802617134408,-0.02167285384767969,0.054677610241852186,-0.01889907148722078,-0.06549714237442268
HEBP1,-0.05045769470047952,0.02826094860589904,0.1610449304190406,0.0725577061389765,0.04707317999508701,-0.0072860202793715734,0.02565365032678729,0.08167536626871194
WNT7B,0.03861726767339992,-0.023973594595327077,-0.05010008331325136,0.005546386730518654,-0.028516806891906634,,-0.04133883453624797,0.035417910255536436
PTMA,0.05577023832343176,0.0292432370657623,-0.08882169831758564,-0.035784721457315774,0.00015273454397358817,-0.05423609303606053,-0.1313564250906028,-0.10705211537721332
FASLG,,,,,,,,0.07779920264091834
CEACAM1,-0.017563836151130333,-0.023930783511733486,0.05773938439692046,-0.008665469292670277,,0.015103017106295824,0.1882269045186964,-0.024818104201832704
PDAP1,-0.021085367757910707,0.016235343611263102,0.18961940426244298,-0.05883817059420596,-0.019201075145515178,-0.09788948595526199,0.02931993550981871,-0.0005980861702557729
QDPR,0.014756997518482388,0.0326320476904884,-0.21933373447425517,-0.005056010292270397,0.020315192808617828,-0.047390815368338134,-0.13861534206366116,0.008170410197358166
POMC,-0.02767563393801053,0.024182892378753377,0.05543901595898076,-0.02117501102652121,0.0006941113098579741,-0.07715426890640184,0.05993406139375213,0.11102704046259088
CCL18,,,,,,,-0.04172316924286886,
CCL17,0.019769125030619547,,,0.002254087976521731,-0.0019717910637233396,,,-0.01616758784432783
VEGFD,0.011253386956494919,0.07399715112570765,0.01868568587081329,0.05775191502996113,-0.02588990559031666,-0.061255762821875545,,
TNFSF13,0.014089069744259249,,,,,,,0.006624940188747694
