,MGH258,UKF248,UKF275,UKF296,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.007303257796350913,,-0.020377997908168275,
BMP1,-0.04209976715009918,-0.037684434733954594,0.006494188172025293,-1.6143105506956353e-05,-0.05456721834077972,0.012402438326032236,-0.07371385683593651,-0.0029294378482298137,-0.018724754235517498,0.012078829544126972,-0.007447332317401982,-0.005914036266200027
NDP,-0.07686840890496809,-0.04537462732974928,0.016636566845834436,-0.0010179997330517258,0.05326785505438964,-0.006232010673045471,-0.01878670313025671,0.0032408215083331205,-0.019934140242928566,-0.03254399540926154,0.0288373637207507,-0.005209569078260378
TNFSF18,0.05088216777067016,-0.032646309189843646,-0.010647509216605143,,0.004223134002245999,,,,-0.027507181788169258,,0.01905065666112309,0.004683896481352937
RTN4,0.043760733287396054,0.00965214876513439,-0.02571256047041533,0.012982166090793876,0.0060297667272471295,-0.06503163082247343,0.10371756373867771,0.056351738448150765,-0.013016942800598723,0.016358493092794985,-0.0331874989021102,0.01167924284750362
HEBP1,-0.048918015223075526,-0.018549345534450458,-0.006365839835571297,-0.010963301444854658,-0.017834937365219145,0.09907062735878286,-0.03316319228373467,0.016145640169590095,-0.02894235271297048,-0.009582210459786536,0.007612840554197942,0.03466943938374203
WNT7B,0.03812077231007946,0.018802104921751977,-0.030520094017639478,0.01392055991953323,-0.027806289488564614,-0.059085862761086336,-0.05730018962178525,0.01866340101985338,-0.010346158775793184,-0.009782185793408161,-0.034120190978223316,-0.05160287744742704
PTMA,0.0709138008745066,0.058650979864245535,-0.029410673771821955,-0.008366842406964657,-0.05367556367805763,-0.0005969965866429367,0.10002121109610797,0.06570319450938059,-0.009684296467839897,0.10919574436118455,0.003262027384478143,0.01344892279857132
FASLG,-0.017229908497718386,,,,,,,,,,-0.0176738306336999,
CEACAM1,-0.023923878739851766,-0.020778481104475985,-0.01674599539861076,,,-0.04449313634600048,0.039619274778871005,-0.007448370174810912,-0.03952494844095102,-0.02587224096658781,-0.02459053951356867,
PDAP1,-0.03723922795860519,0.00989595611396493,-0.03452629201234369,-0.03097490462066021,0.03650339043502086,0.06510886837571889,0.02329322423844997,0.041582356619497426,-0.02176201927023981,0.016747081873077746,-0.007878816499352563,-0.03383193080165811
QDPR,0.11170154800703944,0.07849085544093154,0.032915762134732365,0.053222933081638675,0.10018652336747001,-0.001956748687170731,0.026791654820524733,0.01726127219896026,-0.024961288523483262,-0.001281269707161079,0.08550490091132534,0.027850548919545724
POMC,0.03723639688769588,0.00434776082417067,-0.012354527709753302,0.008850062535300669,0.006875123376290968,0.028530229274806505,-0.06884239143571506,-0.00390424699931613,-0.024917970329058386,0.04135038704425873,0.04911813065907836,-0.004324411664714895
CCL18,,0.028384429363226743,,,,-0.03815053832125371,-0.002329370346497555,-0.04319643664912619,,0.004562741907616289,,
CCL17,,,-0.013279516999476543,-0.01392045352532407,,,-0.0039794266745573105,0.03297997794833902,-0.0058091191155622566,,0.00994362297849348,
VEGFD,,-0.012982223315908944,-0.014148202165941128,-0.01021082100679344,,0.16144551261394022,,-0.019486825006860695,-0.03708984379056171,,,
TNFSF13,,-0.019567300250216885,,,,,0.0451650169474997,-0.013215359806052741,-0.03771156449299311,0.07258930661221169,-0.02610218128163592,-0.05259690899301686
WNT5A,-0.09346508136620968,0.016009935753430175,0.0059490733134724165,0.022023277304440578,0.05844479737877646,0.06123540540956371,-0.07169979295615539,-0.0032502697976579207,-0.027891971597389247,0.08751943076345586,0.03126292191189462,-0.0004663054451150075
CXCL8,,-0.0012154758124608054,-0.05587417069907028,0.10861481421282057,,-0.06344577037193465,-0.08364444124323221,-0.001830989373651577,0.043900202976049595,0.012774657746378532,-0.05714989208472161,-0.004550257325089812
GRN,0.053217329899874384,-0.03539207126208738,-0.028045663639583548,-0.016366737457927154,0.06646581530914332,0.053390645322350175,-0.02186998146782752,0.05336664163130636,-0.05009033834467724,0.04105316230356464,0.007275273579112623,0.050064217217859294
MIA,0.05847570212542988,0.0015599478649481282,-0.01425978480333992,0.012720933116620531,0.10523969071460673,0.003839783594098586,-0.09428561107838578,-0.022862407948145633,-0.012402412017558123,0.03083509787193228,0.05136841313454453,0.02931373857479982
COL4A4,0.028101375734185415,0.01621937105150074,0.006036756795905197,0.03774725521111739,,,0.009430418883490208,0.052253863330450366,-0.014528128329911592,0.035250173365118355,-0.0057748846708104325,-0.038351628848890346
TAC1,-0.017229899123634113,0.04876553033616376,-0.04974108683994272,-0.034294378922444115,,,,,,0.005202311678471277,-0.0016572832564591153,0.03166330409902563
RARRES2,-0.13044948363239728,-0.06557090429706723,-0.011616729760520693,0.02879315334005626,0.0026316837355797183,0.0592551553067491,-0.03861961478279667,-0.024651734211167148,-0.033936524622616045,0.002375572574695356,-0.03006721669801972,-0.06557874346076911
FGF7,0.041855855127674264,,-0.022509592496514415,0.017053584353814058,0.060620999374123075,-0.0024319669184995987,-0.02806415925027905,-0.041526301489749125,0.05538226879056726,0.012103575191351395,0.011436558292134249,0.05908746335962863
EFNA2,,,,,,,,-0.03133344401444538,,,,
HBEGF,0.061085450655841075,-0.00024151470094277829,0.009524861513392815,-0.026222367385586,-0.03127289803117137,-0.11613187525224672,-0.07377732330770141,0.06274473039192054,0.0351017840386968,0.02249456812227063,0.008228576481839216,0.058755359975236586
CSF3,,,,,,,-0.012516876006070625,-0.05031191999786304,,-0.028098332236871606,-0.016865896220918882,0.01948294290786522
PI3,,-0.014856456105126935,,,,-0.06106903840770033,0.01972970366326077,-0.018224388866802672,0.10687848353122707,0.04631150228183358,-0.03664398934333692,-0.0596360401942759
PCSK1N,-0.011725543035876713,-0.007865335454150066,0.04311678616024871,0.016583572307508114,-0.02455195296931037,-0.03896455048216184,-0.002390573242404457,0.034371653653386264,-0.07418710343074435,0.01118925156703861,0.033186193237490696,0.032503394339265405
NTS,,,0.037075197008120446,-0.006963128811058782,,,0.018657034600667994,0.0568079541499143,,-0.04701085752007345,0.0965553718970703,
