,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,0.03376025909824585,,,,,,,-0.02350782162851331,,0.18417820088872996
BMP1,0.006974575430784062,0.024101186205177226,0.008841170640794893,-0.03731983188656365,0.013356966226441249,0.13014334010477963,-0.02416903155826922,0.0780421898605053,0.026496681874979586,0.09681603965321743,-0.04663033974917056,-0.03942345508041761,0.0975779907328287,0.010021129324044155,0.05614384416412918
NDP,-0.007710730463648315,-0.020703058791514305,0.026110388882607638,-0.011988430354617496,0.03850740754879304,0.04739391270082325,0.02571605821644184,-0.041542257215985576,-0.11587593509865421,0.025086035873562305,-0.029529179559608543,0.022668367512361298,0.06588935555059026,-0.011295760926272115,0.004214967448214526
TNFSF18,0.03690362177535951,-0.03346924957156396,0.0958007675650883,,,0.093082855408968,0.011212578583183872,,0.05599885368942556,,,,-0.024243201508066817,,0.0770354293700231
RTN4,-0.02995742255605442,0.05564834932913355,0.007799265828540743,-0.011975381529792373,0.07601029546839867,-0.16510287485612254,-0.021870397334772886,0.034127738756223124,-0.02406047410525232,-0.009292079921002044,0.0671183292209763,0.016418471539918066,-0.07495905676044883,0.021129538270306187,-0.027367071647214535
HEBP1,-0.04022191518221561,-0.03600826028264263,0.05731203577134037,-0.05195178678598464,-0.04614032902444201,0.09923032957993289,-0.019472566885607685,-0.0406710087414525,-0.0011601086238763186,0.014945078676350665,0.0270706102409783,-0.018795355042111016,0.024366845389629455,0.00452584015086577,0.061516132412802446
WNT7B,-0.005342016880763934,0.0047048079995919735,-0.017018618370282537,0.012568803065403117,-0.0002824325227114636,-0.07009286218207945,0.04439830141957294,0.06150177573997894,,0.002653245532660369,-0.030815253468323377,0.03720948993943433,0.03084610849351624,-0.021514601703558556,-0.04737993369212424
PTMA,0.039097373376818165,-0.009819291851184297,-0.035392693316749886,-0.056244477322228356,-0.024794668135666408,-0.08535788190153563,0.02757371635078705,-0.09755656990590851,0.024925720052304992,-0.10764354148489559,-0.01799508217986127,-0.03081890903809978,-0.0576246402280682,0.04665469145711379,-0.01630055313161322
FASLG,-0.024917761418687363,,,,,,,,,,,,,,-0.01925238847107168
CEACAM1,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0
PDAP1,0.037302901613499015,0.00833008109296103,-0.003384003820778702,0.05760900063809877,0.02603393256481825,0.13652646284450512,0.039228339023571195,-0.040506753268587624,-0.010911074415880767,-0.012554081274383233,-0.05905749589590201,0.03461002861048957,-0.030222741891615095,0.012877282649971879,-0.0036887976166106234
QDPR,-0.05067346372739427,-0.02254552752272746,0.06881212387815626,0.01430483417493007,-0.023194591508306474,-0.1604906933277247,0.009996415380502681,0.0913094919453846,-0.05700456554979444,-0.07810152977858498,0.07245994442559506,-0.009207131551128562,-0.09988499649345196,-0.025427071905620834,-0.006376302751315438
POMC,0.03961156673089723,-0.005185329593528143,0.03521096329484844,-0.02532986174588619,-0.012317580596746376,0.007947440571411472,-0.021812621354287156,-0.012952406965745953,-0.034445878738195324,0.01857565620373163,-0.005403210959447399,0.01884204118550745,0.03656098553486776,0.00866922428656388,0.028818034134811193
CCL18,,-0.02658320788670192,,,,,,-0.044492987882361605,,-0.023230417266946416,-0.043226467990743735,-0.021178643368135627,,0.014403158099028486,
CCL17,,,,0.0188982757313497,,,0.06293196785225415,,,,-0.016758083270042266,0.041201524066559914,0.11420986469488999,,-0.01745012772809007
VEGFD,,-0.013069268245813741,-0.018706926919250966,0.015649286816389316,-0.016595310177059223,0.06302038106327397,0.021265773943573,-0.02813092776333046,-0.014139064522431083,,,-0.016893073170700663,-0.0009850521142850282,,
TNFSF13,,-0.02006054809160409,,-0.027750783217086163,,,,,,,0.039151533766018216,-0.026506978335800083,0.01240374430302371,-0.016034982149125993,0.0008118201316001174
WNT5A,-6.724565442073863e-05,0.0032067867478141683,-0.03637917564193344,-0.0220612400078582,0.048783043283018565,0.13492856313759646,0.031444687970412125,0.082997389717211,-0.005775343296486926,0.1615221126403061,0.08882432567530636,0.04223462926836782,-0.05885573742038136,0.03194627022258358,-0.03142666978921665
CXCL8,,0.05861394347284811,-0.017516057572266618,-0.0013394183191108694,0.028996005074029132,0.10619742486372045,-0.02155534217290792,-0.019863993342340198,0.04337514966201424,-0.04090080707046282,-0.02844047816340491,0.02135600888213853,-0.02171710271230295,-0.03865504485954097,-0.014730174311245217
GRN,-0.02002851633252652,0.0362706093022019,0.014256370791034487,-0.01787456767771236,-0.018390237086544695,0.11230400625604507,-0.042596734918402365,0.10147641156064414,0.07596303672720241,-0.06113654896609751,-0.09985215654252885,0.006873864423037378,0.11173926872314985,-0.04245729173116272,-0.023625640293220274
MIA,0.040296114665648086,0.028149188248682528,-0.016636632573763757,0.02363695545595883,0.04314009940126653,0.07735465927553876,-0.01959768052069986,0.19078198736935545,0.015541275597477474,0.040005577430899865,0.017590162816350733,-0.04388390456938596,0.13694811825456737,-0.02024038849824269,0.027646105683715935
COL4A4,0.034457911224486625,-0.02071575160517766,0.04477347791551065,-0.00593676185796248,-0.01870611663011278,0.005692272607168711,-0.013040367540852383,,-0.030603842339149784,-0.029370505845293195,0.01615980448656385,-0.027048451528844452,0.009961329765003512,-0.028778236886622018,-0.0157926060545613
