,UKF266,ZH1007inf
BMP1,-0.029221967302143364,0.02834580286962676
NDP,-0.0367124885405788,-0.032009731860891434
TNFSF18,-0.017907432759206927,-0.03066562817715479
RTN4,0.04014200538033989,0.050032596374356135
HEBP1,-0.013626817051831275,0.017438542015453088
WNT7B,0.0433847715001254,0.07457947560500805
PTMA,-0.057635831746504204,0.05195924335735771
PDAP1,-0.024498253212916227,-0.027094849739902917
QDPR,0.09256295305557243,0.008576571186699777
POMC,-0.029671212602157746,-8.177262883203161e-06
TNFSF13,-0.0173664740752262,
WNT5A,-0.06276287611089927,0.02020670580536504
CXCL8,0.06564939298976087,
GRN,-0.048526153148454924,0.046591857180762905
MIA,-0.018620638119154407,0.03281884712065081
COL4A4,-0.016523432824531132,
TAC1,0.06906544619486009,
RARRES2,-0.07398743506915331,-0.0410459533536312
FGF7,0.013706695017102127,-0.02986460175242475
HBEGF,-0.03795631327982201,0.015910413265422547
PCSK1N,0.03380020137566923,-0.021249112142106664
NTS,-0.020171357219690128,
SFRP1,0.026338830372361465,-0.01953182621680155
MICA,0.018338193294053548,0.0490162971337436
TG,-0.023283063669057778,-0.0013609393137375358
ADA,0.005502158674796532,0.04856652342689529
LAMC3,-0.011050853187117899,0.03724414120220104
NGF,0.011038829951297171,
TNFSF15,-0.02697787219548405,-0.036224130165254574
HMGB1,-0.01084856666918265,-0.01291929642821319
ITGB3BP,-0.006934180007286604,0.009069233959569066
RELN,-0.037828841320972854,
IL15,-0.01919635988305671,-0.04944777783110101
UTS2,,-0.007829748756281148
BSG,0.015239667400729627,-0.05928495640340015
ADAMTS3,0.1568513737038526,0.007865192612230898
CD34,-0.028127407677402554,0.054883578365524405
CCL23,,-0.03418143385411455
PLAT,-0.047006804788530865,0.06232442760086872
CKLF,-0.02314596403729655,-0.029973034716130602
CD24,0.02477240010406941,-0.008710715253486526
HSP90AA1,0.06567953035371378,-0.07075730184756919
BMP4,-0.0337426933694067,-0.004428351892101284
SCGB3A1,-0.024504492903562797,-0.04218263538291459
IGFBP4,-0.061761958244711694,0.0401407640758587
LEFTY2,0.011283985837541333,-0.08536045851051866
ANGPTL2,-0.054745289881939475,-0.025143767550999733
LRIG2,0.017708438963063643,-0.008906111344143522
ICOSLG,0.022464211737810748,0.018365727782384177
WIF1,0.02693717875084273,
NPPC,0.03334995101447049,-0.030200469934782856
LYZ,-0.024907146119508856,0.09397446340201702
SPTAN1,0.09325293028372396,-0.017590462656334585
LIPC,-0.02976863197513595,-0.032024506921282184
COL8A1,-0.05412780815725337,0.007424674908854696
GSTM2,-0.016233107121110386,-0.015271840373782642
SPX,0.05483211772374626,-0.04003651617421336
MFGE8,0.0464842802310564,0.013278957951985509
TGFA,0.014101863354293465,-0.022397360326709987
SLIT2,0.058783557463598604,0.046315830650042925
PLTP,-0.0496118210032707,0.016357350113617157
APOD,0.00265395670138117,0.028028783831540303
B2M,-0.06485332947055768,0.03800907470882103
OMG,-0.03524247720029863,-0.02703432612245938
CXCL3,,-0.006509490459288763
CXCL10,0.03002067226927456,0.023870787166571625
RSPO3,0.06523706422615237,
CORT,0.023634775231670183,
NCAN,-0.014344827147131015,0.04623447375360705
TGM2,-0.05872737364071682,0.07525419341122258
VEGFC,-0.02989082716030199,0.005824996069458766
WNT6,0.017065885058008306,
NRG4,-0.024103649557389067,
COL9A1,-0.02399715662300481,-0.04209286813071226
GDF11,-0.03181777256306158,0.04710460758539443
SORBS1,0.015755553470265155,-0.10473110920214808
DLL1,-0.03605526825733431,-0.01577158530274805
TLN1,-0.014230072151918148,0.031791132925663296
COL2A1,-0.021331177463466508,
SHH,-0.023283066158102713,-0.03645934122873877
PON2,-0.04450561495508928,0.06344005771442632
ICAM5,0.07808238854227388,
HPX,-0.01968955175003162,-0.031124596568062008
SFRP2,-0.04654603940127975,0.02809373309441971
CFC1,0.09269777088202696,
HP,,-0.06955307036974646
CXCL2,0.020642084847012084,-0.05586214745324078
CCK,0.053326747436805426,0.01495157041329071
SEMA6A,-0.043089310788376925,-0.08371719006802487
IRAK4,-0.056676258420517246,-0.012478645604951665
GSTP1,-0.051219928900392134,0.10463081548474355
