,UKF243,UKF248,UKF251,UKF255,UKF259,UKF275,UKF304,UKF313,UKF334,ZH8811Abulk,ZH916T1
IGFL3,,,,,,,,,,,0.03824110962133969
BMP1,-0.08669958988682795,0.016872059045449885,0.029826952221911073,0.05354106707557654,-0.019729524817180294,0.04192394200395401,0.0519899552670733,0.05494404455439686,0.061984559834375966,0.010449910322923913,0.0567551568946271
NDP,0.0013566478679583472,-0.0109957226886533,-0.005039465317515932,0.08218764594860527,0.023804021651694866,0.002493407965655867,-0.021100759972530293,0.04636653752198635,-0.03457606854517905,-0.0024923385249371343,0.024032574824601527
TNFSF18,-0.021000984688204678,-0.0027866744671555953,0.022872005298729972,,,-0.013506324708277803,,,,,0.027621631481617864
IL36G,,,,,,,,,0.015174248211686125,,
RTN4,-0.012971606681330584,0.03188806285378272,-0.020260698964069554,-0.004635675913032187,-0.056422164441761,0.04254837231038583,0.05970037799540892,-0.021107162051828363,0.00010414949975878432,-0.03373579372115686,0.007505199089545041
HEBP1,0.01788226435540293,-0.08475273318102676,-0.007970617520214543,0.031941385577062616,-0.012360292854841599,-0.014066206223176385,-0.01906258787471145,-0.0271728770807014,0.00983725234197573,0.0187873254749385,0.02700174390604885
WNT7B,-0.04901653171274065,0.05269265373113912,0.07031623868802535,-0.038248265218143916,-0.004034850264190299,0.05677125948955799,,-0.015301535708153237,-0.021500892560721713,-0.010193294689691658,0.05355220313214688
PTMA,0.029146907077206168,0.03261982644645287,-0.007577189890212221,0.0435180360419815,-0.01458273756392872,0.006692240662680214,-0.029351125990716265,0.10432449984319109,0.017335176373522332,-0.019521964434834786,0.005430274937461207
FASLG,,,,,,,,,,,-0.026220788705321376
CEACAM1,,-0.021128994142370988,0.003454178662031051,,-0.03016832750029622,-0.021242231099855034,,,,0.03766595991900162,-0.03648237635058514
PDAP1,-0.039102820723758765,-0.03419272832658245,0.019831889081209343,-0.020314999810454027,0.04236796403659648,-0.022717563348550608,0.013775204450844396,0.04206309582748893,0.06417676047588085,0.09684264171368985,-0.06811125786800493
QDPR,-0.024082559041038745,0.02901101083241492,0.0431870306221495,0.05172914905255292,0.008902556705893256,-0.03522182124875714,-0.018733414596948918,0.03933052546717906,0.020681591090998264,0.012739704762001437,0.048538617561750166
POMC,0.035010678723536894,0.02225954119084707,0.028236893843000307,,-0.017898413802065544,-0.015671671136486404,0.020751406301261262,0.03648796826518697,-0.03328783309153127,0.015035364980659698,0.10187938587821901
CCL18,-0.007651113248461338,-0.026366988337222414,,,,,0.015162549568932364,0.12365774144249024,,0.08420924078146264,
CCL17,,,,,-0.017485935753760236,-0.01684501651187221,,,-0.017870442538257137,-0.019516679198874676,-0.023766199852378614
VEGFD,-0.031732649336573805,0.02546387203701168,-0.023269731662104182,,-0.019481263396686373,-0.017946940322300795,0.06572514435373594,0.0402607681420662,-0.01915230677548497,,
TNFSF13,,0.015443060187530378,,,-0.012061407136145787,,,,,-0.037449575932450796,-0.02808840433650233
WNT5A,-0.0444985016867015,0.04887912307923345,-0.036926055649027685,0.04769879488473251,-0.021848559363977733,0.01901249623739375,0.014323210992114577,0.007017081323122205,0.03901014319915319,-0.018847473475353534,0.07589174229049434
CXCL8,0.06636855534911927,-0.01032287892571148,0.03709785143957014,-0.04577954125647371,0.011461293663593188,0.011711706284903643,-0.043035702135299655,0.03805557567496095,-0.0453579430587078,0.011856461967058793,0.040597061244518506
GRN,-0.010693066962116611,0.032093326542666126,-0.03133025267637591,-0.02077246953174288,0.00018280894355831028,-0.06413667455708669,-0.030992220186495226,-0.010677235131663054,0.0334528493946369,0.0005216062499792753,0.02195138792542271
MIA,0.007953951764261972,-0.025146712221446765,-0.020694472022238765,0.0002669912214437033,-0.003425297769483022,0.0024365531558860087,,-0.00020018412607896485,-0.026229961832519372,0.020115866788604605,0.02843973388375668
COL4A4,-0.03194444956980635,0.012743985476424788,0.030637697667324243,-0.03878681015857565,-0.026934218697264766,0.044560025895334705,,,0.001180882324742412,-0.0035282819522379923,0.01806319615367653
TAC1,-0.04000793266606266,0.07043603479924768,-0.018817724939472133,0.048937893800569614,-0.02013584761789512,-0.01909244560269359,0.023498781527406885,,-0.01369784551526087,,0.008855598496729674
RARRES2,-0.041538304231541597,0.03798060928409822,-0.038484177784700355,-0.021510676269973068,0.06446599197435957,-0.02760155098076803,0.052562530561457425,0.039662602686354326,-0.006262871670448995,0.047241117507216324,0.015749666305682905
FGF7,-0.009967560316946636,,-0.013812461689880116,0.060769105941776584,-0.0027993254225485006,-0.008511635878852867,0.018441171383069273,0.024504567190965602,0.01284538275155331,-0.04997721775142136,0.02143640212923944
HBEGF,0.03288007276659907,0.030668135511352664,0.09272092005317474,-0.019515972856887477,0.029742862308802444,0.04335291514553985,-0.0014889435829934636,0.06200703567023312,-0.0042170900555980615,0.011156623114832098,-0.004796102765706971
CSF3,0.23087053999498827,,,-0.006856959376930636,0.0632869988354237,,,0.0065926924053612114,,-0.008266015935041011,-0.025022142075490337
PI3,-0.037842934142779394,-0.0277391834092393,,-0.038791663388773476,0.01669858288112658,,,,,0.04542769924705329,-0.02073300026970888
PCSK1N,-0.02773089144289348,0.04740982276675097,-0.010989029248263869,0.05834625196045947,-0.05400978501006264,-0.0061908271135397005,0.02178031659231691,0.009067244478286359,-0.0036347917018418946,-0.02050205601297197,0.04183194396358441
NTS,,,,,,0.007450941432578284,0.013878065605323285,,,-0.04553038095954338,0.009508878605920517
SFRP1,-0.04932262435254121,0.029324529790287115,0.04025553965733404,,0.0041694297164539896,-0.037304366243679186,0.07315053266070626,0.151728746066428,-0.007886855819304104,-0.00022929428006363732,0.04661214737940506
CXCL13,,,0.04805185621883032,-0.019713598898299434,,,,-0.01043406288680061,,-0.04383846296056714,
MICA,0.020432914799994057,0.07809709822395917,-0.00990091036602214,0.08911985357397369,-0.0023355503369803,-4.576482817702962e-05,0.04053347967101895,0.033914450469769854,0.021289701226507224,-0.00977140585739585,0.04786358865952608
TG,0.08776785062782293,0.013993198699278323,-0.02209185259974116,,0.01975127987199174,0.015388669606203612,,-0.0452987575870369,0.024379635334298443,0.04163557314792587,-0.0044078258581898375
ADA,0.1118563935246072,0.006053801937773405,0.00722293600105506,0.005357760042456787,0.036159600517634186,0.020577324697287933,-0.011441168676655596,0.06913336350857975,-0.013153472697133455,-0.01708145323254348,0.051377255147133066
LAMC3,-0.056788253829656,0.03157326632870114,0.020578712505376257,-0.028152092666932877,0.02458975518531342,-0.03704946347392455,0.07510857352957265,0.07521806712064402,-0.0358717632783882,0.0034791285178815985,0.016443982830955488
CCL7,,-0.016771632006723873,,,0.08436650027978425,,,,,-0.029251003512421134,-0.010013654370270283
NGF,-0.01840409089542703,-0.02879605929162478,,,-0.027275304293572153,,0.19738859255737184,0.04358673152603755,,0.08411883199652964,0.05647172856705389
TNFSF15,0.08095559946501912,,,,-0.013255783353516232,,,-0.023736505416270554,,0.08002270129116765,-0.04317812722162675
HMGB1,0.009371038861868625,0.03689825317625543,0.005251263944877508,0.05436019183459581,0.0500787543888466,-0.00074946552081349,-0.03264900390439132,0.08115191683892392,0.058772299029813325,-0.02933587849659531,-0.02137691690767806
ITGB3BP,0.08260701961592183,0.08065179702437428,-0.007881318501815067,0.05184115687396897,0.0603647035940775,0.029289314600612314,-0.02706554545739901,0.030195269879062188,0.08594069984495757,-0.04173690146835483,0.09952886520520857
AANAT,-0.03298642288191518,-0.024333086416095467,,,-0.012061408423436813,0.021816878399714915,-0.015986075585610153,,-0.009990351887681818,-0.007965503511901482,-0.027742678049264374
RELN,-0.03173263286601548,-0.023957176052312897,-0.051842329133018575,-0.030574251818511894,0.03492587402563089,-0.024819955331834884,-0.0068723285149377665,,-0.026538507762132936,,
IL15,0.0032114893236050318,0.04027833800604133,-0.028144682226428026,,0.014542924807529757,0.006686392137776821,0.04796451389749016,-0.013240392306095528,-0.007296669448072298,-0.018301757715654263,0.04728778091569032
UTS2,,,,,,,,,,0.058059587371638854,
BSG,0.056085061846563214,0.014031023361680663,-0.015135238060438204,0.014773058140511932,-0.05223141917365323,0.044087921656176844,0.006203873091151876,0.03446613395188172,0.017884616391255655,0.03499375466237734,0.04828717918520892
ADAMTS3,0.01193079919150073,0.01599384388493138,0.03073920038859552,,0.06931830574160035,0.035000160289525316,-0.025669881075293353,0.00538586038528948,0.019437938038612625,0.00253207987141085,0.0722940200671212
CD34,-0.009238183805449161,0.027310544534740275,-0.008602446949302895,0.027008386204562165,0.012363218738870635,-0.04571814425537479,0.026976531338787024,0.12295461709745319,-0.044959567514868765,0.024165947245357873,0.04843086335487052
