,UKF255,UKF259,UKF266,UKF269,UKF296,UKF304,UKF313,UKF334,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,-0.01520053182971293,,,,,,,,0.024362344826791178,,
BMP1,-0.03425000259091091,-0.023947335446960698,0.06497712349019251,-0.01234570110810076,-0.03738684411339031,-0.0803324191456882,0.013972333627781672,-0.030693409343810096,0.007537251645594965,-0.01768191252847469,-0.024078204102813337,0.12091906394921824,0.04908882575221905,0.08394347812461952
NDP,-0.005006364051589986,0.0024609649941586802,0.0027565782457984046,0.024422071502424716,-0.025129814337843618,-0.07649297707509635,0.034148594901843625,-0.042654254799990174,0.034113457107941496,0.046204088853001334,-0.09630258021942914,-0.0009691203124396256,-0.036367100584966304,0.013897827417845983
TNFSF18,,,-0.014612397450831125,-0.022572333434653282,,,,,,,0.05670172451021476,-0.005985651131002008,-0.022123541039418947,
IL36G,,,,,,,,-0.014714569338427486,,,,,,
RTN4,-0.06841267434532998,-0.017328817591263927,0.013135307038851103,0.04350310151023281,0.014389780033752018,0.1646303910705689,0.0029870270548954434,0.05883884127001247,0.007218182395107426,-0.02012934127604686,-0.01330103795558401,-0.007331512165104634,-0.08223108033359246,-0.02418266906208863
HEBP1,0.010943350006349911,0.05283122676963548,-0.028138820920790068,0.01565866794080419,-0.0066818230370839235,-0.0054261902022888706,0.03326745104958276,0.007922345775672333,-0.03776608556180879,0.01217647339230089,0.004578704445154651,0.023179222444831345,0.02448131658500953,0.0262142731872784
WNT7B,-0.009481434802757148,0.0019937347786647013,-0.00842579003401428,-0.0005503598490885737,-0.017860924038827622,,0.03628218019932235,-0.016173007430495188,-0.03269647593807091,-0.02287289707668034,0.025655129119403656,-0.010073257355414924,-0.007688028930351671,-0.009282495733274873
PTMA,-0.02597982556672939,-0.001601108339121641,0.006878602694736931,-0.07506832598683032,0.015373305813880184,-0.20016318822613152,0.03453373669093606,-0.03916841210558107,-0.021644738236532755,0.05518496579485504,-0.05385412937742886,0.08319723951937993,0.08367949474501246,0.027539719224960898
FASLG,,,,,,,,,,,,-0.016487527004075696,,
CEACAM1,,-0.03102671039046246,,-0.029703905176020857,,,,,-0.015839920366784638,-0.01518107444635618,,-0.004255296492065026,,
PDAP1,0.009622599256315983,0.014212785294239406,-0.006779365404100868,0.0233254272509372,-0.0009097889385875045,-0.01520406756238543,-0.06617201300524597,-0.00015295868478538003,0.010546542918536921,-0.050777878971277,-0.013964044668420553,-0.007236988367066161,-0.035141903460659006,0.055565580316908086
QDPR,-0.08795530557137296,-0.0264999726352575,-0.006596346432220517,-0.022684728141923953,-0.01457337899642438,-0.18740586874126755,-0.013481455278129977,0.030785914585197867,-0.01886388894298073,0.03693649347342991,-0.08649991077619386,-0.024109434918567735,-0.07286920624124281,0.11804540796530971
POMC,,-0.019744224775657064,-0.02816598095638297,-0.005808706808559709,-0.02135483959913715,-0.01206152509308487,-0.022929642719760838,0.06235179988062543,-0.02615559880856905,0.05348806424026238,,-0.0316229541457682,-0.017257024083061526,-0.03732559787242488
CCL18,,,,,,-0.04486269629531047,0.029223013080153962,,0.0031921029107849744,0.012169785026392498,,,,
CCL17,,0.0419178453633416,,,-0.022106817043704652,,,-0.013442176837135387,-0.022865919470687154,,,-0.014944091356444558,,
VEGFD,,-0.025315625065862716,,-0.025464968262651953,-0.016215617648703273,-0.017708763171890685,-0.015492193516805268,0.031423176568064724,0.010100923267062864,,,,,
TNFSF13,,-0.015673627249315068,-0.01417097720924229,,,,,,-0.024854472703722045,-0.017047329129160755,,-0.007115975218885423,0.05480022636108153,
WNT5A,0.0067602979973026885,-0.02650193655537808,0.03617846605921592,-0.03452074725629312,0.005937863145487586,-0.025694137617064513,-0.021043458094347087,-0.049251688828199955,0.009068772536376592,-0.019735037996760216,-0.04156730944041637,0.036595641411883845,0.015922065533974218,-0.029168842444098973
