,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,,,,,,,,0.055576134683929614
BMP1,0.04681319046856386,0.017815665867373202,0.04154919318509063,0.051746198456627625,-0.03209110429950071,-0.023147908676108202,0.13069447097805653,0.006958697471754807,-0.052138933691560266,0.006149687822731355,-0.015245963665317183,0.08471152644779638,-0.05872460316427674,0.012411484643023798,-0.04374188411462168,0.009525298262901988
NDP,0.008324337424025793,-0.03581715963407413,0.009925169194502785,0.05738381877983076,-0.017829842764986843,0.02925353778586343,0.04483576434864949,-0.002491500660590674,0.011417686466394997,0.05957887578018092,-0.034761940344645,0.0038544429656929787,0.08146661407629749,0.011982179628942546,0.03202510656393679,0.1007368708721647
TNFSF18,-0.056993205120109615,0.055751823947685956,-0.06422294581389273,,,,0.03721595391590325,,,,0.028152634880525315,,,,,-0.03684870669543029
IL36G,,,,,,,,,,-0.015082913624073224,,,,,,
RTN4,-0.05968363727294406,0.0007394775255514752,0.018061608807494918,0.0524972698517116,0.012078541619494763,0.03734872500398162,-0.19232294659324836,0.009714876330227258,-0.04264286731651659,-0.047042796613108104,-0.055877591904295476,0.02144732528690415,-0.006172804670319012,-0.010916526388748632,0.13497848667545567,0.012505008568251645
HEBP1,0.0701552475930377,-0.05259700730214164,0.03632832568846574,0.012379310553261294,0.05240931693611339,-0.02304289385141157,0.04525201838827526,0.05721595045101834,-0.048513584925170675,-0.019436524260864407,0.045521801943270795,-0.08264014420361382,-0.0060989668449950634,0.04223175422668559,0.023540721873300162,0.04876682795988818
WNT7B,0.07268204005216539,0.029835237943909937,-0.019382853491655784,0.07689936178751235,0.09482874704691589,-0.008619739035960338,0.07269464068673676,-0.02152329432261024,-0.050206191195296096,-0.016577860248930827,,0.012301169814974134,-0.0347437796503307,0.056823415553370116,0.061914458063893604,-0.010488843990878101
PTMA,-0.03348829203151969,0.05943144147017508,0.013305204641424468,0.10883055793938975,0.024404853117665392,-0.00204624888273608,0.24086429616290114,0.032808332748440035,-0.044700383015879495,0.06953195549360221,-0.017611874917064067,-0.05839567775527705,0.022146807925973747,-0.02405846072986543,0.0858669990616536,-0.11657964488167355
FASLG,,,,,,,,,,,,,,,,-0.01894621101402859
CEACAM1,,-0.004934136279355745,-0.023085457775863148,,-0.0006956699690611452,0.143403544017184,,,,,-0.021029721362667172,0.09719015358096865,-0.02490785915635124,0.0019008615845882977,-0.03157189882794945,0.00624461925821358
PDAP1,-0.009143952988544927,0.04846589515692097,0.037181750201008244,0.014991844510054548,-0.03124613363389939,0.02430547711912417,0.12173320357964623,0.04945016527288347,0.02097875629836219,0.04591995498144581,0.05334874903505194,0.011383254612332373,-0.03645436892644576,-0.09300433096644997,0.0404729235539193,0.006905244841293609
QDPR,0.02775339608323291,0.03058142972442243,-0.009350087474157666,0.05563156273843747,-0.047770165498528756,0.014360182040572137,-0.07648284443501392,0.02769641487829585,-0.020193231678930487,-0.029146120504227217,0.1033607816072666,-0.05269858038360709,0.036848447544466735,0.0603087951444389,0.04783528922058439,0.04282129636671371
POMC,0.002663556770794508,-0.04479868642644109,0.058867781176863324,,-0.02974882843756452,-0.002503763687352814,0.016324006561310816,-0.0025835665078473608,0.05823349666466256,-0.021226402336069653,0.12237844981361194,-0.02535149055612399,0.04007233275092395,0.052029157556866316,-0.03568702203766016,0.008211277314948905
CCL18,-0.04572052106852374,0.024967937734565814,,,,,,,-0.05130495115264845,,,-0.03243063346556038,-0.026230905991650063,0.07778343792384017,-0.05554852452420648,
CCL17,,,,,-0.03556281102915569,,,-0.026639804790244415,,0.08345675781337845,,,-0.017670920497160195,-0.03981485792911105,,0.031073719243925536
VEGFD,-0.0018507723767657047,0.05255597859470771,-0.0043460279695201965,,0.0651724435391355,-0.019063377082671445,,-0.005245669929659371,-0.016365748631590748,-0.01476702719535766,-0.0016649064728076202,,,0.001928663749095789,,
TNFSF13,,-0.019593928413551277,,,-0.02453043112869853,,-0.009179996106115588,,,,,,-0.008441880098813047,0.08565540770940594,-0.013571244105932332,-0.01269151184499316
