,UKF259,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,0.10320342661949924
BMP1,-0.03016111508408048,0.19708223128653687,0.046167959509911656,0.09601962801196144,0.008122089289103494,-0.03507234013389249,0.08151730780309532,0.016694858126281898,0.024418932105591155
NDP,0.03268465902894675,0.09875386708782395,0.05854959440898044,0.05764896069044418,0.07084302934814168,0.04984964374128141,0.06628616120493729,-0.023552457212091912,0.015323656518660881
TNFSF18,,,,0.016419254325835124,,,,,0.01771275144504076
IL36G,,,-0.02054052269597687,,,,,,
RTN4,-0.0002188940663110662,-0.0834678930613663,-0.02459723258288646,-0.04759891893935789,-0.07060605058932412,0.052572937785047846,0.023397131818509085,0.09105651436909358,0.005752010269683236
HEBP1,0.025190851722543775,0.03581429898245231,0.034866389661439595,0.13707109352052002,-0.014443020839702109,-0.005098377329417458,0.09428172961558844,-0.018998915248405628,0.006411726653553867
WNT7B,-0.009092236858195064,0.04154815256159643,-0.008004895917472285,,0.07097572962720844,-0.042112713780632076,0.006101018283202757,0.00873441681022683,-0.02516017536397693
PTMA,-0.04676080058988156,0.21560502238357138,0.05960446607090018,-0.06396137987401787,-0.08238661643856589,-0.049383949733612736,-0.09737941795481801,-0.007670678105709041,-0.01978456597186489
FASLG,,,,,,,,,-0.014834675121526699
CEACAM1,0.04305011368353847,,,-0.033632030186094286,-0.014470903378741911,0.03365670153953369,0.06438924368173272,0.05582870578834346,0.01936487127016705
PDAP1,-0.001991879183034749,0.1530713340869818,0.011064717281435963,-0.037676713720911865,0.08992913068857199,-0.019238507090739734,-0.010256921931995639,0.034009175698523915,-0.020684548669925605
QDPR,-0.04231841624669099,0.20125044039008796,-0.03769588546599503,-0.0156874082346071,-0.16418199630438082,0.0940631832350451,0.06115673558563705,-0.0044467976984232235,0.03005382919331975
POMC,-0.023751661999037096,0.0013410192672589894,-0.028759542044364327,-0.07487685833223903,-0.05469016456784377,0.009699098133906863,0.028904063662216428,-0.01860275060396477,-0.0536686186065629
CCL18,,0.0578875217601392,,,-0.02471927726827039,0.03547184653771633,0.06459122066721479,-0.06633850535352634,
CCL17,-0.014783244476899916,,0.10454046816772106,,,-0.02031831658237945,0.0884561243945929,,0.10798725147608638
VEGFD,-0.016470166856821754,0.029096942354823796,0.0987213259905249,0.18263351146140794,,,0.011509032256455196,,
TNFSF13,-0.010197151181384433,,,,,0.016154691308706653,-0.02558235389443005,-0.026628677281802644,0.11065820694891047
WNT5A,-0.0201033791121612,0.06982742185259763,0.03692101222022114,0.026701848765107245,0.07323413110028906,0.05536227735970413,0.04602523029048817,-0.01667931635542719,0.016786092113436832
CXCL8,0.05322616559360695,0.0020421027841329193,-0.020739420293309246,-0.056996635733354256,-0.00884737265250464,-0.0855631961500958,-0.0875240809306301,-0.005456380303215477,-0.028606572131830724
GRN,-0.04940418973766429,0.08643625871750393,-0.018267292529074844,0.01592823937133463,0.04177674356087355,-0.023772331504901545,0.06564479387732791,-0.03550983037238415,0.037368086367989016
MIA,-0.012797756840474971,0.003889248336776155,0.010577969548650392,-0.018313405485586354,-0.004313216680755995,0.06777565277114976,0.04373443128761906,0.05122963866783976,0.022122165260297953
COL4A4,-0.025843912855846016,,-0.0008201556047332925,0.01719863787744761,0.01320184063020022,0.04647249249075681,-0.03737100374812094,0.008682036869632486,-0.017753071448209153
TAC1,-0.03795968928882361,,-0.0473477386680477,,,,,0.00618877037882059,-0.01767609056604135
RARRES2,6.907570638908495e-05,-0.0634873040023039,0.10477789505011559,0.016130541086526298,0.06662081368178735,-0.057438814207272065,0.07658774530692852,0.0357839776831072,0.009507549663259533
FGF7,-0.02620467246692828,0.022780985506414726,-0.0029879639438403676,0.05272781683972899,0.043040544170261964,0.009313408212549272,0.06495492729941724,0.01917570378381416,0.03486706525895687
EFNA2,,,,,,,0.10810102802929648,,
HBEGF,0.04897379780911474,0.16261649205291626,0.04569632388009197,0.004453971576854685,0.11120346739750771,-0.005018532487270715,-0.010808348855690418,-0.023587932156330645,0.02557848767380592
CSF3,-0.017620338420476823,-0.006776446962873751,,,,-0.09105644483593071,-0.02534478307383909,0.03051269882328285,-0.014156528726355616
PI3,0.016058648704193934,,,,,-0.025685156156574133,-0.02272905600788185,0.08816464922749831,-0.017206644553968916
