,UKF248,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,0.027550337571311298,0.018842657530616504,-0.006905692666305134,-0.01960442426159216
NDP,-0.06931425450649628,0.07814207576641648,0.0627881383988285,-0.04013524256796924
TNFSF18,-0.023730667740455402,,,
RTN4,-0.021423556717373508,0.027169996617614014,0.032887590221724675,0.09195922107591065
HEBP1,-0.006796208232764547,0.0011253922174860778,0.00310766375326156,-0.07924249782697769
WNT7B,0.008658345753499632,-0.012492352283352246,-0.031787877527553944,0.0002885347390610825
PTMA,-0.001120042831323826,-0.056986902758695675,0.07407411850672882,-0.047182216078351345
CEACAM1,0.00733291985204369,-0.02058507286901666,0.03729497284835981,-0.012918325625832842
PDAP1,0.017280706699380234,-0.002369300088753051,-0.04107543178681678,0.03240900220091887
QDPR,0.0007717316359475245,0.004965403332525925,0.03728223651653959,-0.034797661339357536
POMC,0.06263926226770906,0.10269237688882213,0.03711173953532081,0.04900328021328426
CCL18,-0.01884826465815794,-0.037670430841566016,-0.037605161768269786,-0.0444874284517398
CCL17,,-0.014604112855033893,-0.022230501203427212,
VEGFD,-0.018848270643364768,,-0.015399746737821213,
TNFSF13,-0.01422350986494013,0.032485560380343635,0.046083008230685465,-0.01450641385887563
WNT5A,-0.04729961281297453,0.002777448455987162,0.02375933039159011,0.08619610079642347
CXCL8,-0.02599349248555544,-0.021033204396519505,-0.07189381032042276,-0.0071491914578418626
GRN,-0.019975217770528866,0.024032518407512322,0.0059617133195300435,-0.0256282919271367
MIA,-0.01959313087388906,-0.015144101343809316,0.08598529475977244,-0.03161211419369185
COL4A4,-0.022636612716707732,-0.015073840604756165,0.04270212816736817,0.0638180856073763
TAC1,-0.0011779321700390905,,,0.09690483070567389
RARRES2,-0.014469665164031932,-0.05394675593502201,-0.03219435682964481,-0.03734754234142878
FGF7,,0.0677491679597503,-0.014145292280348347,-0.029854704382851975
EFNA2,,,-0.014636428675859615,
HBEGF,0.004724110807052469,0.007396727785968522,-0.00804172692157222,0.03969070905910698
CSF3,,-0.006179987090641874,-0.06916686008858225,-0.01852018441067736
PI3,-0.019829169096283808,0.014629558476574957,-0.11343596287032617,-0.046668906434135606
PCSK1N,0.024156743191715985,0.05583503992946716,0.03153671821566963,0.08413967130357458
NTS,,-0.03406987505867277,-0.017831710882716796,0.0016357620138780678
SFRP1,0.011575863188837262,0.011497461885666718,0.0437988022447654,0.040444597645003494
CXCL13,,-0.03280383173507616,0.018063455437402412,-0.018094266820223488
MICA,-0.018110634913972155,-0.021475026136770808,0.015975553674814864,0.028229644684364178
TG,-0.029681444245981157,-0.01940521474686721,-0.021961701250970463,-0.015242396361897993
ADA,0.018012647044048483,-0.008255029709930405,0.028812058226250534,0.020242590130189846
LAMC3,0.05125217024233002,-0.014019734385474146,0.04205657000327385,-0.04202345914856797
CCL7,-0.011989088581865126,-0.021888198912600992,,
NGF,-0.020584669727878663,-0.02527911746124214,-0.014439690450340947,-0.03179510943821122
TNFSF15,,-0.021338536107029238,,-0.01150071656669502
HMGB1,0.029795241421748934,0.04885838099288162,-0.007172779914694212,-0.0003471137091252311
ITGB3BP,-0.041493928062449406,0.030850981532258386,-0.0017159287931371734,-0.030542557873526072
AANAT,-0.017394343519807152,-0.019202126528404515,-0.019696668784899004,
RELN,0.06844116237479535,,,-0.013891619253139989
IL15,-0.03790916155184766,0.027505302456658793,0.09214158589082551,-0.02805378729211402
UTS2,,0.09052094568052521,,
BSG,0.09736910479918329,-0.025101949410404386,0.003628556528911242,-0.06931193214752732
ADAMTS3,0.001120694451724265,-0.02346187004177703,0.09293097393624404,0.06310414975686959
CD34,0.06044039272639772,-0.021192126702305233,-0.0048259214266037544,-0.07321716683009585
PLAT,0.03040994711626801,0.0005299838638364817,0.11894618160139162,0.07203114560270404
NTF3,,0.04426725806831045,0.06874454411975588,-0.0350016263848173
CKLF,0.022883074469950273,0.018874006102785404,0.07567191834827021,0.03736411356339553
CD24,0.004250323800005855,-0.00202423070031276,0.05707561976593383,0.07115867133874604
HSP90AA1,0.025460356823031303,-0.045248899096830504,-0.10016851890351582,0.0038244004516249323
BMP4,-0.024389215133482127,0.0018662300306515355,0.006596172971146964,0.0037567434748617995
SCGB3A1,0.09951531809376404,0.07236372393915735,0.04504328046729515,0.03757954653847813
IGFBP4,0.031639911889617844,0.026178182330972886,-0.03233538079444476,-0.025134520031160762
RSPO4,,,,-0.016084426086575218
LEFTY2,0.03894829253710375,-0.018580602234009383,-0.016829263291744986,-0.021873756846482996
PF4,-0.012436753629802951,,-0.013415300208588898,
ANGPTL2,-0.003306697029880573,0.053770581447212557,0.07258475855043543,-0.019108213742536954
LRIG2,0.014865108481376128,0.045610810260526616,0.021732332607741822,0.016567858343691712
ICOSLG,0.02091198603465473,0.042488384404013445,0.07477319197808532,-0.00248930169507548
WIF1,-0.0223779195061699,,,-0.01495203201564056
NPPC,0.011552543605614656,-0.032675133797821915,-0.008800686477127314,0.02182058644678042
LYZ,-0.00840223211160699,-0.02144513880240144,0.005774343359854405,0.023040961344312518
EREG,,-0.02396858425729435,-0.042627691994448616,-0.020033423875386883
SPTAN1,0.05793801962619526,-0.0015651064512744233,0.06530653387404083,0.036001864786890554
PTH2,,,,0.0037760512864380776
LIPC,0.006722331246098781,,,
COL8A1,-0.02815822939602368,0.008571574747183997,0.006982415356087219,-0.0830680532673288
GSTM2,-0.022050080638819764,-0.011304584721331232,-0.020853676983105855,0.02551993871992141
SPX,-0.02462541556069024,0.018503116452015158,-0.016656809933681176,-0.0206720986377949
MFGE8,0.020143787793513033,-0.04158066425221685,-0.01212899916981934,0.01579140347239385
TGFA,0.08614864344353307,-0.0017807303333065771,-0.0006684389262044421,0.019691332878970413
SLIT2,-0.04611444054536568,0.021153708879101344,-0.008086741386816212,-0.006948530487741685
PLTP,-0.0003924106826044147,0.028153840473144474,-0.034640822816953104,-0.07840018057808247
APOD,0.06257799561034842,0.050546071301172044,0.10844111783017832,0.026370207914949928
B2M,0.01975539467425931,0.04835158755085475,0.047106939231437175,-0.06949832060546668
OMG,0.034334931302168456,0.042062471396274816,0.08072941628939878,0.01683619885823248
CXCL3,-0.03071218865870604,0.008763661602623051,-0.03610625438581899,-0.010853042117038025
CXCL10,0.047474546132124686,-0.022602373361613606,-0.017993806628140797,-0.021977888116963884
RSPO3,-0.01628565187567488,-0.04016312350603253,0.01161516888034197,0.030509136081854644
CORT,-0.015675239115608013,-0.02495833919324969,-0.01403842982084539,0.01686709582764954
NCAN,0.057445462086521355,-0.015675567653369877,0.050357986369176835,0.06030928966612251
PRG4,0.0008782012530755034,0.0670695734316776,-0.020714562268973696,-0.03835524213912761
ZG16B,-0.01662524566261276,,,
TGM2,0.04491968414401574,-0.009554266946440928,-0.018735242376915786,-0.031848600742131083
VEGFC,-0.022892871813129455,0.03488860437538694,-0.028127896938603267,-0.027451558885617438
WNT6,-0.019344129384099164,0.07845033385754366,0.08704637962380822,-0.021346658379347717
NRG4,-0.011042371491249153,,,0.01332104810026689
PMCH,-0.012726927399122036,-0.022247847509550445,0.10364555774696298,-0.012229058608272954
