,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,ZH1019T1,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.019381237763588365,,,,,,0.05307456815945252,
BMP1,0.04855673481133432,-0.023730757064418875,0.009830229506847005,0.09703242439207131,-0.038770822550966144,0.004618181630989612,0.04457920616587113,-0.07204651982055825,-0.04182057288692294,0.06768181792372033,0.08169093241935022
NDP,0.002141462322684829,-0.018388782024849202,0.059353775271650006,0.020793964912742137,-0.0016527815530057747,-0.0025422627612549046,-0.01780911238647093,0.010404658756468687,0.07536301161059746,0.06206751013783335,0.048147022859702265
TNFSF18,0.03216361363368119,,,0.026475197082298233,-0.014339157707916887,,,0.051932726800503315,,0.08633422831019912,-0.005713950270082029
RTN4,0.0003709583570658291,-0.0012093152865995682,-0.0551076891896496,-0.1270959612382176,-0.0276774308207533,-0.005087890178379311,-0.10378922211000743,-0.08147480528060802,-0.020243721230417126,0.06399708406377258,-0.1402591361438785
HEBP1,0.02842384700069317,-0.050780223291855456,-0.0017478646827592305,0.02033413474138949,0.047609463452431035,0.009839292779423109,0.013473340412296465,-0.06383490916453756,0.01151103520268197,0.07744792662721633,0.0284747180574807
WNT7B,0.010477594973152798,0.023151370881863573,0.020187786587671803,-0.02262476689301294,-0.041101860771050644,-0.010917750777837007,0.060551069205226335,,-0.032696469062421935,0.07197810221090553,-0.03118116211109803
PTMA,0.018913270297970675,0.04102496622032827,0.025809031239434857,-0.10462594904872201,0.04528992970741925,0.002778070653253752,0.046277488185698726,0.017879536286312267,-0.009730360051786648,0.010427923424932085,-0.011216234658599031
FASLG,,,,,,,,,,-0.026797861724670753,
CEACAM1,0.09090284031283842,-0.025429285118950328,-0.0239307822296417,0.04448596893294816,0.014124456065453683,,,0.13913125696147113,-0.015839917035852812,-0.025061564089047386,
PDAP1,-0.02676998388967756,0.049866056409840084,0.034882842296752675,0.13462666571148124,-0.03921971303609164,0.006549883944168755,0.018245611495240562,-0.015304211170970866,-0.05244536690284842,-0.015054539841226925,-0.035361818512713215
QDPR,-0.0217398504333042,0.04074632898827886,0.00034517062329736305,-0.1311052577681272,0.05872492107164057,0.05947339007734055,0.022367073477780414,0.0005499500039357631,0.06927136431653323,0.05362468443079015,-0.0763281886764345
POMC,0.020203906399821905,-0.020981349346168163,-0.023610799050491023,-0.009373949641311418,-0.016638024690385337,0.03494594653122259,-0.03215893349082004,-0.007864872179465798,-0.02605578313894914,0.0017915303970427584,0.056156800430935586
CCL18,0.05595780059943824,,,,,,0.03281664140796557,,-0.038680028488149866,,
CCL17,,-0.023170996129609437,,,0.09061995283558603,-0.013513114912180624,,,-0.022865914662277956,-0.007262474386712455,
VEGFD,-0.02614913114643089,-0.025815048455010554,-0.02289561752049891,-0.032468772150191935,0.06946827030176156,0.15913623242918437,-0.021727875441534594,0.06254803951619921,-0.015839917035852812,,
TNFSF13,-0.019732973483793107,-0.015982834547998294,,,,,,,0.04360782588072123,0.017350616852509045,-0.005522698073899187
WNT5A,0.00466836238197949,-0.062291793028542444,0.09350976589226383,0.09510026353778818,-0.051620004439691364,-0.022270688011604138,0.01894161339201974,-0.03667794263852099,-0.006123202938992098,0.0009628710473683594,0.027663485067322007
CXCL8,0.0289121724674466,0.04034295763694004,-0.0795166205402114,0.06919569412494807,0.004426979887063477,-0.009230516312759951,0.007059781770412456,-0.012320325030189181,-0.04681144230164974,-0.003433495173328556,0.000937336226116923
GRN,1.4490851740189514e-05,-0.01982571437021485,-0.002856067318295674,0.08787864693825166,-0.04270741404653598,0.03003599771613166,0.01842364310391991,-0.010726195800314841,0.0692613436027968,0.05413461158309058,-0.08004203662423907
MIA,-0.010966389057500133,-0.030584886864883393,-0.015066361918804966,0.04759450658581543,-0.03515069099564241,-0.011272850319267662,-0.003225217070732948,0.041394450483800624,0.0904188458813082,0.008370408624978535,0.049428892175605366
COL4A4,-0.0092736301409574,0.011759640454220061,0.15030954163121668,-0.019098771240404124,-0.018671158450649674,-0.01893749203632329,,-0.030603842339149784,0.10680147831360713,-0.04641239870592521,0.10641147359127594
TAC1,-0.056355710393732515,-0.04219006832293124,0.02135620417512145,-0.10052088006505024,-0.02390881329964883,0.054946858941331764,,,,-0.005514449019669949,-0.05183941508459834
RARRES2,-0.05789497338874964,-0.04304687033664743,-0.02188578130852231,0.1324222367981629,0.06284556145379311,0.034443053300422445,0.033162228029031154,-0.05956024078114579,-0.009553856343276894,-0.00031003796901967644,0.05464391337123665
FGF7,,-0.04107274051089811,-0.008798295779474477,-0.0022203463066468097,0.06668708555578189,-0.03931034185535328,-0.0019839793587015362,0.02498528642421765,-0.04326711708849214,0.04113256320501264,0.05130491333318408
EFNA2,,,,,,,,,-0.015054781086587825,,
HBEGF,0.04781351104279739,0.018309285576442232,-0.03016736702586302,0.07079760581399876,0.06245468351295412,-0.025455051669560587,0.03233224680190412,0.05621619301936662,0.026440031294161337,-0.01675803885940619,0.07408851177596296
CSF3,,0.11169268451846658,-0.053459828705109506,-0.02020613236664943,,,-0.008765376199763168,,0.020140895153961044,0.0251965462586976,0.03867255756042698
PI3,-0.0016938710709841782,0.023379817165292124,-0.05407877634799341,0.047850173565261965,,,,,-0.032907625840944255,0.02804846862220489,0.0016879038921868688
PCSK1N,-0.03898529051741299,-0.06245409745265803,0.03335508067165963,-0.01966601140319725,0.0461144367979099,0.00336504748133612,-0.011698989194221835,-0.007342360014796909,-0.052962583354024574,0.008192268079049738,-0.0718988930320695
NTS,,,0.075076151398528,0.00600822106044936,-0.021329628146740186,0.009049342953119753,,,-0.018341393907203293,0.029116977319942533,
SFRP1,-0.023200284824355193,0.03701333860808327,0.02920487216319628,-0.002191531407000876,0.018366264101435093,-0.013513115048268791,0.0237435194959277,0.014281214690368187,0.014855976915701072,-0.015051869473322972,-0.008261537593513167
CXCL13,,,-0.025885188755871816,,,,-0.01121222178623356,,-0.002826811529308613,,-0.02378529860818915
MICA,0.02443511910999067,0.022068548025253314,-0.037195265035795455,0.089269170053252,0.06986150738058165,0.008815870005642304,0.04054155101456394,-0.11997430860509607,-0.0028131911950389833,0.005646432176625287,0.13976742741505982
TG,-0.01461452476480495,-0.021817982515277914,-0.03337149836275502,0.08558556015480398,-0.018017172538109787,-0.009779382579606786,-0.004265698812880087,-0.0012499029570720414,-0.02258943161235226,0.08484365729674687,0.0025608868234985294
