,MGH258,UKF243,ZH1007nec,ZH916T1
IGFL3,,,,-0.017544615838884392
BMP1,0.010562374946555363,0.13035158561481802,0.12231506980202553,0.058001787667478745
NDP,0.03879933127725087,0.05164330608126406,0.017740948618389183,0.036095957752085524
TNFSF18,-0.01927998481725503,0.03755825428470159,,-0.002137927806066369
RTN4,0.061224882810609775,-0.07574757842243714,0.08823520829652176,0.07364441278001459
HEBP1,0.007592739754167971,-0.03212516820189956,0.028798858454048185,0.07831145890245099
WNT7B,0.039567234109006616,-0.04705395477382929,-0.03211921830254277,0.06856587341449441
PTMA,0.0018500791476645329,-0.06437108567175388,-0.0034084862672547974,0.041582691288743506
FASLG,0.03795434510620494,,,-0.01521643933163225
CEACAM1,0.11320709767009497,,-0.0318747173817077,-0.02117144044182747
PDAP1,-0.023143122588905215,-0.014807246614958944,0.008359619238930797,0.012390954793394356
QDPR,0.04978356942724098,0.041749674498980344,-0.00031979866571608305,0.01683390444792569
POMC,-0.016593958775369604,0.02082091247361641,-0.0019938118603317406,-0.014459301658498366
CCL18,,-0.027036384655421263,0.009632684654897914,
CCL17,,,,-0.013791993149457555
VEGFD,,-0.0304621031836249,-0.06427915031229951,
TNFSF13,,,,-0.022472901666147314
WNT5A,-0.03805227800527054,-0.014790069992492438,0.015107007055774481,-0.019957211968087255
CXCL8,,-0.10054805564581147,-0.09932088710823156,-0.010324611906387957
GRN,-0.03434701408541518,-0.0007697232782854174,-0.08907373819683474,0.06527791937629997
MIA,-0.022231988437019522,0.03064229877113057,0.04744846592523764,0.041665578640312645
COL4A4,0.02942818414460985,0.13900256760879653,,0.05103133510604424
TAC1,0.09259248118510395,-0.038406051764245934,,-0.018130977423853747
RARRES2,0.008209118254793585,0.01052618531734043,-0.058927587497315054,-0.004212463567239207
FGF7,-0.006775083367977188,0.04341819382912453,0.014887309665786183,0.03491266199092049
HBEGF,0.017873599380225407,-0.02582514679046358,0.04371916744406395,-0.04379468081062922
CSF3,,0.006832375816227206,,0.04257999595231633
PI3,,-0.03632773779464495,-0.0758751765077303,0.009550924858527692
PCSK1N,-0.00016296177239327525,0.010826069663176755,0.15352072706731285,-0.04637602580139182
NTS,,,,-0.021503385619604503
SFRP1,-0.024713688892869907,0.09311414194973122,-0.027485719333612102,-0.021003701415382537
MICA,-0.003033377192992044,0.0037310749425442324,-0.00010707677105506503,0.024729068031410104
TG,-0.01967077342072677,-0.024445217444009234,0.05152630858750173,0.10498743578207355
ADA,-0.056442705981686006,0.0937149118271381,0.06928822920379221,0.020663304450145078
LAMC3,0.0029670875237533378,0.007141442150156168,0.12395675003165293,0.011436521837909048
CCL7,,,,-0.01521643392084805
NGF,,-0.017667207988560623,,0.01805326179070524
TNFSF15,,-0.021856541209586595,,0.011341788670113767
HMGB1,0.01664377493549452,0.020205974395274686,-0.04805605375789486,0.04715724519071698
ITGB3BP,0.06464869633890254,0.07370454940747687,-0.04935621608813051,0.04349617094096209
AANAT,,-0.031665676787013534,0.08988742408758231,-0.016099621646696115
RELN,-0.01630759268032365,-0.030462087372532604,,
IL15,-0.0006255127350387625,-0.031068696054613373,0.00028315682297986114,0.06811032185962719
UTS2,,,0.018761473523017394,
BSG,0.00528060113638442,0.04710780259600425,-0.022354182631403777,-0.018609539737948655
ADAMTS3,-0.0017457631710276213,0.04858017555900056,0.0068747431900169995,0.01395420570742295
CD34,0.024637796647017984,0.041721796623872584,0.10917809902449789,0.019525612797696056
PLAT,-0.04203462947637078,0.034627444685418576,0.0821298937682679,0.03109145193964618
LTA,,,,-0.021667664465240107
CKLF,-0.012968873850466705,0.10806235286209348,-0.06815501716710831,0.03568525119255744
CD24,-0.04545316006557417,-0.06047733672261417,0.15380224537596612,-0.0053661052298205345
HSP90AA1,0.012708555028807836,0.006283984310403661,-0.013360072244688798,0.025303810749444842
BMP4,-0.020244081562036526,0.02756183932281086,0.11755899268289677,0.05034405709970532
SCGB3A1,,,0.21058758902810143,0.11155385521018477
IGFBP4,-0.01792478179735927,-0.03404351630038723,0.03647214426652565,0.02001544242840443
RSPO4,,0.08390930875741731,,0.015308370335415012
LEFTY2,0.08023167876461243,-0.036150501935905376,0.08483508949526235,-0.006166124733406168
PF4,,,,-0.0020901035336791042
ANGPTL2,0.023338023209123572,-0.014105711830531225,0.0682863490722245,0.08805099281364437
LRIG2,0.009671746793048778,0.036253838277313016,0.08013221709154722,-0.009503088101586274
ICOSLG,0.04006616837708334,0.017729767619966662,0.1281638981040165,0.01356611874803406
WIF1,,0.007886669105771101,,
NPPC,-0.06292530734283511,0.044915678157687156,0.04373914484226921,
LYZ,0.0064532066116037064,-0.011506170016684204,-0.035307534442582646,0.010966671921816157
EREG,,,,0.005464106380852115
SPTAN1,-0.024287079552418215,0.04421628014114999,0.09481153571821598,0.0051952778863268954
LIPC,-0.02518447840532692,0.004157022888831821,-0.057895363486536434,0.019735797153930937
COL8A1,0.05198861458198168,0.042697978034719294,-0.06581680086640261,-0.02579102398917156
GSTM2,-0.01962220790275384,0.10753734148270179,-0.1128973241793173,0.023443677873005383
IL4,,,0.20732255430540705,
