,UKF243,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.002497881447622437,,,,,,,,,,0.055641564494097615,,0.039764593608995896
BMP1,0.0036161025125851522,-0.00695208353458985,0.08837822430125508,0.021450636623535514,-0.024929024734253197,0.048891935895832773,0.010114453651021099,0.02543040658253354,0.053921642146519885,0.06928922588181274,0.0399694712102904,-0.05743736215270635,-0.00033349327584911127,0.06418392958595581,0.020406654944311656,-0.026660258931138603,0.07316823845562262,-0.09304587418482058,0.0047675508673759096
NDP,0.01654791773437771,0.0338470711760233,-0.045483335909184706,0.023861921912628713,0.022071050187011537,-0.02698762749591567,-0.02422265621203272,-0.045202095036417866,0.010267743521372571,0.05490843566881986,0.01534791281671096,-0.11812535597268421,0.05473041232972755,0.03894940708872465,-0.001372137136652914,0.07423462687172751,-0.02782208272149856,0.02272191608143963,0.07024383374081232
TNFSF18,-0.04418053446490466,-0.0015189897774882562,,,,-0.02037910529302446,0.09708245699715988,0.0009452263509561693,,,-0.030976012179593955,,-0.031939590455432695,,,,0.0790944757433146,,0.020439562555947078
IL36G,,,,,,,,,,-0.01355278673079505,,,,,,,,,
RTN4,-0.11036414792327812,-0.002333238192861844,-0.06542797658574848,0.01933707105333278,0.009795858422581353,-0.06394255640565992,-0.037967609361031676,-0.026152062229954726,-0.014309856205261541,-0.03554684451203213,0.03780522177409414,0.12429868848941088,-0.02743225986436536,-0.0028229502208815364,0.04298303047604071,-0.0447836942759558,0.015071740338128133,0.06702412587398686,-0.04260726690206683
HEBP1,-0.02866752143890189,-0.0066358303042586995,-0.007471241775062094,-0.06330546846266127,-0.0017830019591806494,0.026009523337059644,0.034777863993768934,-0.0009946326318839688,0.05658069780266789,-0.012388428493874733,0.06597377222884673,-0.05717998513377616,-0.029068325503317772,0.02018514678944358,0.00039041177239302385,0.0014256691925274652,-0.017936707089823294,0.028697397941300107,0.037936397630628664
WNT7B,-0.03840470788863405,-0.03645610112530996,-0.03550885173183373,0.018307233631069526,0.005143298798645322,0.028584945569951253,0.08991223493191018,-0.04542076377897821,,-0.01489607445925354,-0.01295455059687809,0.018195101042966413,,0.11421056235901673,0.039185568949143865,0.019356648083622027,-0.016665031354997188,-0.0029747410673138653,-0.01566722987664104
PTMA,-0.045770350499632136,0.0291472474973426,-0.06498504558429627,0.011857572561727215,-0.020110818058056517,0.07850534896212098,-0.03051320794832863,0.007950150624213578,0.060375011560762616,0.015779860142215087,0.046437617982781974,0.0013522390533119363,0.004466018321232953,-0.057323973209616845,-0.012648280547220985,-0.005224393033452664,-0.003491923725736777,-0.03590489419764016,-0.0661377896835887
FASLG,,,,,,,,,,,,,,,,,,,-0.0219705272906109
CEACAM1,,-0.027977864926841057,,-0.030168331550556433,-0.006600631853049795,,-0.02184177401397931,-0.021988089572075032,,,,0.07639232230618588,-0.03565897381978511,0.00820557750733157,-0.01956378059763648,-0.017693281876948953,-0.011719814512286623,-0.0190973865461652,-0.0035542389471197146
PDAP1,0.0024510804966981405,0.048686945274992025,-0.015612219790079986,0.0020438452012390335,-0.05980715330356648,0.03113121568097383,-0.016863675051687427,-0.011660902269740663,-0.05618467584939674,-0.01096159745451329,0.041558272945457754,-0.048238674464800194,0.023242039105735298,0.009549535499506785,0.023806589637516903,-0.01320281257346038,-0.005286798908475591,0.03292773389469765,0.048671709171952765
QDPR,-0.061842478332458276,-0.021270455807377214,0.02507444151993274,0.029546182004101248,0.08437096656808973,-0.10136691040942027,-0.044022811078019246,-0.0255463302725518,0.07300115128837115,0.01847955957144279,-0.05587694035172637,-0.02032554145885046,-0.038904974508424714,-0.01533338622591632,0.04799829812895014,0.0333739138321124,0.038026190189254995,0.07762095585416015,0.03829786400579521
POMC,0.04200570321093975,0.0323325606912297,,-0.028093974375389158,-0.022081955413753657,-0.0257512888966739,-0.03107786245736709,0.053911134628168114,-0.035191061005551666,0.042324757297673994,0.0999628625272465,-0.05835296625052971,0.01552057876913889,-0.0034634859799706273,-0.007387142317948723,-0.012559613946153137,-0.009600155137770783,0.0291776240618909,-0.04408009497714805
CCL18,-0.035276609739203546,,,,,,,,-0.03083949808729059,,,-0.045478468266619165,,-0.023984898606555286,0.13979626373889978,0.02951453774023275,,-0.04867411021807023,
CCL17,,,,-0.0011302883100394309,,,,-0.029530507851253635,,0.06845874301029854,,,,,-0.013879555420425087,-0.025541363163595752,0.05163015694067934,,0.02339084875956224
VEGFD,0.02356445284272853,0.008758602773128954,,0.10005842122520076,-0.021823009712452643,,0.03151256623284699,-0.03146225839079216,-0.02186476878829326,0.06221858353087438,,-0.05123657814765552,-0.048477593483385546,,,0.07323305395044782,0.04653512274044145,,
TNFSF13,,,,-0.012061408755454563,,-0.01976348081305252,,,,,,,,,-0.010390590798694173,0.04723315320814239,0.07919172993348886,-0.021445085136080518,-0.018726740875561827
WNT5A,0.04073051975654825,-0.039309653714681404,-0.0021879443776756423,0.02254155526975748,-0.0013149206991971286,0.11254578996416947,0.015899527320154264,-0.001086181373914654,0.06494850543682236,0.0013340538554746043,-0.052406720635177165,-0.05218705560408744,0.05085871873525193,0.08366342550338138,0.05101928602051487,-0.01682968702026909,0.04729052299531044,-0.015543259786579368,-0.013939612184786216
CXCL8,-0.028206706258259422,-0.03752168080144227,0.007503464006513865,0.030157080301817785,-0.04182105095915434,-0.014456384638021317,-0.0027640423433537803,-0.011196572472352177,-0.015367783666710932,-0.020767867233044416,,0.11457844571433537,-0.09480853974634998,0.08428362155689806,-0.04361614240570402,-0.022427223266621745,-0.037283995915821995,-0.026418655046639122,0.052851469023430304
GRN,-0.024625498383267053,0.03841337823097541,0.007381956124370382,-0.02565408694729126,0.0035051791778940604,0.03921283584887098,0.02877524602869103,-0.002423601552304238,-0.02623698201013804,-0.06593543506597886,-0.029194608894048867,-0.0888279680644663,0.0662443330819598,-0.06529074893342557,-0.04923485080743936,-0.02503197980594729,-0.007961442850247477,-0.05195354393107675,0.04701873538834734
MIA,0.04319374861754776,0.021360709619555347,0.07118891897804365,0.025460450086854984,-0.025282987944511868,-0.0038930900297368502,-0.006636354755751787,0.12009809545196591,,0.018496455068565423,0.08890373203772481,0.05695180016309424,0.0034993944958361996,0.13086308479728817,0.07890709754124448,0.04346001953005562,0.012594982757583802,-0.05044263702577061,0.0077217915719571375
COL4A4,0.0411449484747367,-0.0372742274102189,0.007927634192158122,0.009307927414027261,-0.01714364519563139,-0.018804078834818393,0.016927493895994874,-0.030830763831390353,,0.09760923264154925,,,-0.037958910426435837,0.016375243899189564,-0.024510367681551164,-0.028329710787311186,0.09452507705687607,0.035076527273492614,0.0103458126696341
TAC1,-0.03129476851197696,-0.025660360900057567,-0.011102441836412678,0.04241292150122363,0.012134712433070804,-0.05639851821702076,0.02418288823529146,-0.06844259409029675,-0.07182170928603653,-0.031240383404612812,,,,,,,,0.0021538222457422023,0.005405628526773194
