,UKF248,UKF260,UKF269,UKF296,UKF334,ZH1019T1,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,-0.018973587498769044,,,,,,0.007238150063872128,
BMP1,-0.0004304279705786854,0.007490876942271426,0.08754225754781832,0.07145359907184268,0.004225495014028508,0.031110630860538807,0.00665117910850321,-0.004161822162226134,0.03169596785914935,0.10648212357144661
NDP,0.012706822499378803,0.05408001137269284,0.006247222487376763,0.023808346740783432,-0.007126470422955403,0.05759991796090505,0.04371363324504808,-0.002938943746396277,0.05171205157057692,0.007213947445888199
TNFSF18,0.05529208191647161,,0.04263848690229598,,,-0.04782912520381972,,,-0.0435135915650225,0.01713895442661517
IL36G,,,,,-0.01883487177074468,,,,,
RTN4,-0.0012719612800480872,0.015574079815283108,-0.05977260641413356,0.022264493402298698,-0.08113545963931693,-0.07647082570517671,-0.032571285458404264,0.016026520653504957,0.014127872559563985,-0.08444847673055776
HEBP1,0.029371804911901587,0.04412228879405651,0.08325874670003247,0.017610735058689934,-0.016646564506691493,-0.04640515148931075,0.013393188098843774,-0.023018250892051947,0.03924238690943709,-0.048825464707818594
WNT7B,-0.016341935370783094,0.025201885968447794,-0.0007596058882149117,-0.012332311732280223,-0.020701694633030388,,-0.01730288848945943,-0.02233890738530882,0.0252163309557859,-0.03180129870077434
PTMA,-0.0555705386831591,-0.013243716442101615,-0.049397221263136754,-0.025285982588948132,0.07841275019164207,-0.11202439810549217,-0.056591691349642065,0.062061355230870745,0.006392032378049426,0.08116232383173655
FASLG,,,,,,,,,-0.02237304268460008,
CEACAM1,-0.018350456098785297,0.0009141890818882787,0.016763352747976124,,,-0.03363199230824081,-0.0033853025877147052,-0.014826657722006791,0.012396262502556692,
PDAP1,-0.06429782358854999,-0.014092307876646183,0.061510100853053466,0.05049915551729224,0.038533811675538446,-0.06545698040579467,-0.007565330781350774,-0.011156387271955425,-0.04176826758569815,-0.029183281940404922
QDPR,0.004675397312723589,0.009897659843615727,-0.09423320596379428,-0.004895080093472525,0.0302562025443055,0.032286659585564835,0.07994441336140874,0.003368002892788685,0.0209379068582258,-0.07899998612201097
POMC,-0.009779783586552855,0.043501980885002164,0.03081362008517912,0.04290043013114603,-0.007260389638772484,0.07998826900256746,-0.009893896716955912,-0.024254464319948,0.01778660829091527,-0.012760449660571653
CCL18,0.08218177174320351,,,,,,-0.029219399808117025,0.037634228434973084,,
CCL17,,,,-0.015263944832797487,0.0023888519066526484,,0.019429670087883467,,-0.020278650261961514,
VEGFD,0.05039655135154126,-0.017950649126500576,0.016915743844164825,-0.011196288128237286,0.05410756696372834,-0.0457219565373649,0.052955284380251,,,
TNFSF13,-0.017280805194947905,,,,,,-0.010854026649688335,0.005476111773579375,0.030000202711724183,0.04799785485859272
WNT5A,0.0707232880332714,0.03558200658208529,0.00598034903162989,0.04904115636489345,0.04374520411939052,0.007657758830508469,0.015015187900098753,0.01982279340360818,0.04479061346516032,0.017311609689767707
CXCL8,0.07215259755766615,-0.07527046037093611,0.006795367562827364,-0.0104264703358072,0.014510604030601556,0.01990686443384352,-0.10698135800560675,0.029942222483488386,-0.005843373630410955,0.0444669929551756
