,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
DCN,0.027329928452029983,-0.07925586880516115,0.02043358402212873,0.06515469378256772,-0.006576809693842599,0.05749598709550896,0.012944782594719576,-0.07875865376170618,0.017002005178597367,0.005502601683734102,-0.016796397936949523,0.012259224919972313,0.10128033782268334,0.0461522473857369,0.0009420928987397606,0.02034647974973239,0.007204474398932862,-0.05691869575942844,0.10055793111620605
RARRES2,-0.06722537614604235,-0.012065034594565928,0.015116994958881096,0.00656752169865849,-0.006649145794003552,-0.12642911048008112,-0.06683279982201003,-0.22308661350945577,0.07799507526269002,0.04865091786505639,-0.05517767636883478,-0.01131335947541158,-0.1472459292646139,-0.08997412093868477,-0.0270018286908024,-0.0064499888346529095,-0.022761706891724045,-0.029075602245770462,0.09223481215936706
SEMA4A,0.026922772248475946,0.0292317617487586,0.05302653810505374,0.02145283437683039,0.04239495434616174,0.06101159266377578,0.11611565287174691,0.10870791604566009,0.043367602501856214,0.12089584475522622,0.050890953127892054,0.01273426043917349,0.19763881687951973,0.02844324855116062,0.03127474650140599,0.04808527517990375,0.035326696548313476,0.05031799697436124,0.04647230786085584
GDF11,0.027323316941798646,0.0062945588016449895,0.031150124065111976,0.013508090595320165,0.027035722936111325,-0.019855061433001694,-0.1189153985027773,-0.12995970686189584,-0.017004109486317767,-0.003723068156441545,0.05498251161210801,-0.020891521284905776,-0.12167911146112996,0.01038027061075872,-0.019331327923955054,-0.005140380857586521,0.026510287497512587,-0.030822913648811918,0.0007845631998638716
GPC3,0.013217406706036215,-0.01822594827099735,-0.026793908609130238,0.10174378408425176,0.05575405862554592,0.08447675582158236,-0.13472713235510608,-0.05559659484612173,0.05946121414589704,0.0018274147622700143,-0.012561380359106953,-0.017349976336732263,,0.14034305692780422,0.14999389269036198,0.04892597390579528,,0.0435450945880574,
OSTN,,,,0.14511259284940672,0.02249681500452501,-0.02467402924169524,,0.15922910297258566,0.10874048651111153,-0.019437553957047934,,,,,,,,0.06270767771163836,
GRN,-0.05169813434841223,-0.03319397156346464,-0.00307757755949109,0.001999550790934211,0.00217820977776267,-0.012816756228542479,-0.12478924705211997,-0.23921376474335448,0.038660623053223604,-0.019109557433734263,-0.2009421565257696,-0.01846389854911171,0.04339745525101028,-0.03933316630654829,-0.04190254771540718,-0.05985198039207964,0.10070584789901003,-0.030378237612545284,-0.020949611273805378
CALM1,0.17680979027705584,0.04483374197902346,0.06858538048929619,0.048366169260790154,-0.016933158934731428,0.1858123775146718,0.2407694191387517,0.2576159640254091,0.017023510561972703,0.07454155929622223,0.38834442132776964,-0.035342196607362326,0.3436544649646104,0.0979453038843396,0.11354317949695246,0.14912400236727621,0.07262303620627011,0.1140268397136009,0.27188142780566193
ANGPTL4,-0.2145575238776216,0.028940474993291533,0.02925424278805034,-0.10034050685194547,-0.07670394436848857,-0.07807347997036942,-0.07410113141497608,0.02076109890333774,0.005747607504800165,0.010878205633434973,-0.036944419074517176,0.014119240878328387,-0.19372446159629747,-0.2177206808496799,-0.19015980987740355,-0.06715524040023177,-0.014749254867985232,-0.04874591359361684,-0.10986918235197146
BMP8B,0.03738472471513845,0.047771508198436174,-0.009742672345510819,0.012539221057966428,-0.01705437792967065,-0.05567598797333638,-0.07265485292405689,-0.04999203840734213,0.05521497630399305,-0.024353858847629396,-0.13657180126727114,-0.03373694415964729,-0.07992242086535095,0.03129993398460653,0.030975823542562134,-0.029571440236589856,0.055198931379830236,0.012255434418097,-0.016901281777734086
TNFSF4,0.04567188298320855,-0.009704126461263658,-0.027449369242138498,0.01131496274099609,0.007107311124094993,-0.04976604173446877,0.004240542753586998,-0.053349258610435865,-0.004136437826983964,0.03709224243281794,0.016228696748062474,-0.029375636635297287,0.0038157837375378534,-0.008460407433775964,0.07189315705300348,0.06178855089690969,,-0.02688076747265479,0.12528681092856944
RBP4,0.03122175572754966,0.10381889274241629,0.03996580844832093,0.13529995675195663,-0.0011491732858781116,0.18513744888000827,0.1419721497170716,0.2961497252217736,0.09114820520237445,0.09555414358291767,0.2958925815740793,0.016244899555469598,0.2928511945882521,0.23091804213133502,0.21925231664034728,0.21378164746186423,0.09775290569526777,0.04505213088179975,0.15308537929983107
DKK3,0.2012810356772331,0.06964560849764544,0.09093581104510394,0.08157575364407614,-0.021128254661685587,0.16652949363290823,0.2278151550061788,0.27616592886358227,0.08116305504819504,0.08946808590417091,0.36906674796963235,-0.030140416888385868,0.3484365477975057,0.13607871543332706,0.09505453381498598,0.019618850833377274,0.1046644481615988,0.12071119001873111,0.22959678104026063
COL11A1,,-0.035256449257635214,-0.021300381749839167,-0.0485795175108792,-0.014047755736264423,-0.10660799436805572,-0.1720528170634415,0.03583627532347588,0.02608743261304306,-0.007984626139037509,0.03942400671246476,-0.052753379191901685,-0.059101690014975776,0.06789501428329126,0.034900180136908536,-0.03965208550419658,,-0.03774723863318151,-0.016761506797907336
COL5A1,-0.0862326172986974,0.012255309964821269,0.06454124707078308,-0.03958275596608571,-0.04913385032469988,0.00014451863600114034,-0.0749928929171519,-0.07683406332555799,-0.0840539662894762,0.046290412454994184,-0.11106669375933108,0.08985685044871015,-0.09769438382226873,-0.19966740201892727,-0.17178703403072967,-0.048117387575512253,0.09076858307054081,-0.0558407715128665,0.05042122358903835
KISS1,,,0.057271129635687736,,-0.027928918567418602,,,,,,,,-0.03423143841750293,0.050877496334679286,0.02464380299833261,-0.023589051136011435,,,
MEGF10,0.06998144817437342,-0.016090093992889784,-0.0019856034202834615,0.00015949245050344895,0.07227415819950342,0.043917696498346113,-0.06112705799815638,-0.004871480466300427,0.0465851032881612,-0.03624374805298405,-0.12816487372576235,0.011653859892515534,-0.005978210741811003,0.1272711108413174,0.14294776994318978,0.01624989039854061,-0.00294404980308281,0.07999192207278183,-0.1061735357760531
CEACAM1,,0.03933460729957824,-0.018706927353970355,,0.04561691984528018,0.04666264011150666,,-0.07417197935276644,-0.005034039036963408,,,,,-0.02472712169347289,-0.02678607068466601,0.06837556593485386,,,
EFEMP2,-0.04300658742340314,-0.028919451221926608,0.052791568565353525,0.03554912251224486,-0.02107746295205154,-0.05662608964120957,-0.06530865167509149,-0.17756177631288567,-0.09862521521879847,-0.0043804089757180165,-0.07322119820045726,0.0003302232993436222,-0.22426329453062424,-0.1517885529728282,-0.04736235714041028,-0.08769208801501403,-0.00446515529086422,-0.060912906510336415,0.10681305270849858
IGF1,0.03811200721545939,0.005031915301496032,0.02814449225680348,0.19213821494432476,0.04828293319594975,0.051135213884281515,0.009989110005241922,0.10094412651639689,-0.041579133565784444,-0.023698388640328052,-0.06048351578884791,-0.03758316366013283,0.03167573716837889,0.13989477675204132,0.08760070950197138,0.10456492401782216,0.044725547548161014,-0.005936315253703446,0.020894856635566634
