,MGH258,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,0.033085947928310114,,,,,,,,-0.024859626977511824,,,,
BMP1,-0.0755041483790604,-0.021819611527233895,-0.045564590360418204,-0.0676756909944726,-0.039869788099150434,-0.03521824359093034,0.0350635272807367,0.013906259377244923,0.028082802332689432,0.040468241195538976,0.05053929072308865,0.0035224873947008414,0.1361084572549071,0.0216039297494885,-0.026483777629861892,0.11310660370900662,-0.0325394321525449,0.0677384873093486
NDP,0.042163461195568665,0.02860255249565446,-0.02762702459616013,0.015182744591951722,-0.010153225126215385,0.0606113399567319,-0.0310017733210723,0.027679143674932072,0.04405751597961803,0.044299393721653944,0.08439175498682837,0.027709218946143123,0.040901220511928835,-0.02902393182838715,0.09015482334024202,-0.06518335983724977,0.03292043441459075,-0.06849678130821234
TNFSF18,-0.006364242865459459,-0.024830504610871256,-0.009913658038295959,,-0.02467207147475799,-0.03824005290820361,-0.01588254220315409,,,,0.03526582508044452,,,-0.061547671838075274,,-0.05611023418795895,-6.601510895985513e-05,
IL36G,,,,,,,,,,-0.027353906045876997,,,,,,,,
RTN4,0.0358473629973633,0.04174041412682859,-0.0013450449819537905,0.024668181704711415,0.04283645572772285,0.030673650877865746,-0.015849430208149815,-0.01845934989559647,0.024339261817802604,0.035271056277155655,-0.03523833359689742,-0.0005369831465930908,0.05129033807793439,0.07050953953364489,-0.033939221959955655,0.04736482309867287,0.024623795930918423,0.014034307430713561
HEBP1,-0.013786202332780207,0.03888866001032432,0.018059710914662623,0.04730810165953224,0.040513478665752466,0.013623530001225912,0.02109738085996592,0.05210734247614268,-0.011792479494814172,0.02722613701008363,0.03330611134518681,0.03103027490569777,0.010533835120437972,-0.04171376070236579,-0.0025507415363913797,0.039091956386073726,0.029580974839145676,0.03468827739584989
WNT7B,0.08362608824597242,0.0023036707784744766,-0.019754886560398033,0.05998749586899753,-0.017264431197565364,-0.06209837438438281,-0.01859281156385706,-0.03833860598382551,,-0.030065095046832937,-0.008796508319544271,-0.03983502208607686,0.05861263375167154,0.05163817821273646,-0.01946367719141505,0.12525210609919132,0.1315001429042642,-0.03290561993643039
PTMA,0.1071749749596994,-0.009174983075336651,0.05234136622191563,-0.03956519730825264,-0.03339614816419155,0.0868856163580039,0.02874950245921964,-0.019292035005032175,-0.008089768055623173,0.04472581589278014,-0.00726694594296442,-0.0676614435523998,0.00340977520021922,0.0910943229188535,0.04689173651866501,0.0658626747571521,-0.06835627782376053,0.1253519515898362
FASLG,-0.021979655963556975,,,,,,,,,,,,,,,,,
