,MGH258,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1019inf,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.024895913908461374,,,,,,0.061410409825664355,
BMP1,-0.014625818450382804,0.0602556734522104,-0.032477023131077226,0.07092743030026685,-0.012023630774868562,0.06005390307675982,-0.165512337391125,0.02508268411913341,0.008166678250041266,-0.05206959415304456,-0.06074711686412761,-0.04087113516252054,0.09903137324527107,-0.01788571053360315
NDP,0.03271623458773823,0.02554606177353011,-0.008958550946206062,0.01177889932275999,-0.027869032938227654,0.02738339268002298,-0.052692779832899626,-0.023858026861504216,-0.02602406918682341,-0.07092235301954508,0.022188342336017887,-0.020769181908550816,-0.023827587568289784,-0.02948872365860568
TNFSF18,-0.0192799800131913,0.017974000353758922,-0.0265669896624147,0.04213284067666464,,-0.012024545244669385,-0.026684219491185567,-0.015018611201866872,,,,,0.04510637346940816,-0.024308730675378375
RTN4,0.05290487095916454,0.12334141420854293,0.017900592205299676,-0.05320624251017631,0.02747258491935725,-0.09090480543116662,0.21071013238183814,0.023965045665291267,0.01622445817838503,0.10163409211924936,-0.0313689666416283,0.06398790239277351,0.03698970647986661,0.08258263812722151
HEBP1,0.006952143717424318,0.030298370969942885,-0.002457177774284535,-0.038388949653062596,-0.032630617443509195,-0.014158682033770215,-0.032460888699556045,-0.043054174227418404,-0.005395213324302611,-0.020206047771890046,-0.01446027890922789,0.00441214389821415,0.009763464481108758,0.003066663510333762
WNT7B,-0.01698505852585527,0.08416053370102118,0.00010440163285963718,-0.015248985146462387,-0.00010414234136773198,0.04958688579315855,0.15918302822676106,-0.028790956850432686,-0.011246855396774986,,-0.0272151075813386,-0.02036667112038005,0.02383753705131103,-0.05285472752963356
PTMA,0.007691545987088015,-0.17884215149108834,-0.09082891138466018,0.05578959546266728,-0.003329656635585043,0.08842080350787891,0.10681048463542756,-0.0069726511699182816,0.010210785978274354,-0.07339923980681752,-0.05015117841952867,0.06294584191917547,0.06686782161714805,0.0044713791873107825
FASLG,-0.016985063327487802,,,,,,,,,,,,-0.020864250275514126,
CEACAM1,-0.023583909078178256,,0.0031000128194303964,-0.01170267893521219,0.012925156404335633,,-0.04864999950605553,0.02487195648620817,,,0.03209172467184467,-0.013517655829360117,-4.64169167904938e-05,
PDAP1,-0.03201579295556807,-0.0038456424634637203,-0.025921792388809175,-0.01580407204556768,0.03389875604605191,0.04642660059620036,-0.10331208193514338,0.019727686239732124,-0.03830208798415476,0.0140759649149316,-0.03236665039254361,0.04262459081198452,-0.03849336967740921,-0.012520491467353703
QDPR,0.0226660738674081,0.03710408551095453,-0.014900979241948444,0.009717235832639632,-0.009563405694908468,-0.0006928618253667695,0.04103992685031235,0.012439385933378674,-0.00809041325320256,-0.0805249584545724,0.08039990875941395,-0.05060602804031552,0.02123038462692611,0.05477585205067182
POMC,0.008524920275982477,0.06212729068402976,-0.02101475547488515,0.04307729251202446,0.01184339121144968,0.03356406576284165,0.019304713542920432,-0.017426408794848237,-0.03024957849072425,-0.011430124872345794,0.005003075728034829,-0.022113109181438335,-0.04972564353797319,0.009082645917732462
CCL18,,0.05988701639582893,0.011658970165962864,,,,,,,-0.05276927413693488,-0.02792643795362295,0.005366137609464661,,
CCL17,,,,,-0.03566494949372541,,,-0.0036805795434893544,-0.013920454173200043,,,,-0.01891109941011352,
VEGFD,,0.01815416808405582,-0.0048347490046006,-0.01676173967363483,-0.023589199621802365,,-0.023640221484830318,-0.01995643706081992,-0.010210821482018302,-0.017218463920763132,,,,
TNFSF13,,,0.026896513325218984,,-0.024600883955632376,-0.011661300425688916,,,,,,-0.015179421508807068,0.06505058679624226,-0.02644443158509638
WNT5A,-0.026611586472343667,-0.05042473696612655,-0.02791730941180704,0.011945406156602223,-0.04193128570802106,0.055996102212229275,-0.16454059442139624,0.055135668570163575,-0.029226325919894793,0.025849095169280762,0.05235577448042288,-0.00508439006976584,0.051280076437917786,-0.0571607153360432
CXCL8,,-0.0388059079704634,0.00957752319108165,0.06591582039714,-0.035809485856290506,-0.016587443513443746,-0.04310123175723993,0.002264038451417502,-0.00950876094533376,-0.03923512193300224,-0.049168890846037046,-0.01752202512152326,0.03951742281183868,-0.051875603137157486
GRN,-0.06213904628120176,0.02127792112693232,-0.015460744933836305,-0.02219726042670123,-0.006605791942489716,0.013902733298701089,-0.14860669721121172,0.05720631777609169,-0.05741304471311023,-0.03863134487369515,0.0023038793980114085,-0.038172280321339,0.13665231129411604,0.08429020344978655
MIA,0.10400807234776967,0.055852165214409895,0.012733197953118185,-0.014906719069949044,0.011382926704065177,0.04771653414125834,-0.07111747580674424,0.00901656700708691,-0.011612659056814467,,-0.010952840138969504,-0.04060334604048937,-0.015508465695528755,0.01701864629170608
COL4A4,-0.01967077295217325,0.044925275642360485,-0.011769712115320716,0.0271350225530622,0.022958937353579262,0.02163010086479045,-0.024533075253417944,-0.019555881535770876,0.10321758704811917,,-0.035307743280278824,0.00023032956063655856,0.07232531274001243,-0.029555656455248637
TAC1,-0.016985054086613712,0.08602505127801979,0.022193707041116624,-0.011704720724614377,0.047506354238257664,-0.0034109698947167523,0.26045535226369265,0.0012743944940884972,-0.009198851582223841,0.032238159307348885,,-0.023321807249129925,0.09380399091412359,0.020884687602556785
RARRES2,-0.0518006541150896,-0.009700565544197695,-0.06788231339790692,-0.004325442232300276,0.002023676429018443,0.025117250287420897,-0.17279436221875566,0.005950052067523491,-0.0020471804582766363,0.004714054499780179,0.030520575163815684,0.011408103353300822,-0.002902839257774024,-0.14765770653271235
FGF7,-0.03529853716647137,0.024701093449682087,,-0.018918722600318905,-0.025220702001400096,0.015091800793097802,-0.04111950278678256,0.013907892962518492,-0.04049531258237246,-0.03997408232402882,0.124551632587242,0.0708320935048627,-0.02162551914956334,0.0172969992382879
HBEGF,0.02473303348465219,0.06774450877593968,-0.02644349367638822,-0.008182916710847735,0.05996691000450639,-0.0010935140516917384,-0.06642095755738626,-0.0323160654703938,-0.026222368606009013,0.006519098626596952,-0.01223962649056799,-0.017193452041230625,0.06749750108034687,-0.05566634175816827
CSF3,,-0.04019870829788225,,,-0.029168615818156305,,-0.025955521415054406,,,,,-0.019379406125139935,-0.019910470297430517,-0.031089168954314607
PI3,,0.0893573673245446,-0.02219917855481025,,-0.048227537541284116,,-0.02922625968915334,,,,,0.019241917443869733,-0.04325883735101747,-0.0703895925794964
PCSK1N,-0.01330378741627798,0.05647375202126159,0.00041519247404616023,-0.054323214212180414,0.028663878371552997,-0.05602002709983291,0.09571002527022837,0.01023194098112993,-0.07028734707145251,0.08070073171069551,0.01656656159011243,-0.009484980811400798,-0.044841883261822334,0.07599819040353013
NTS,,,,,,-0.013544733117026338,-0.03190245804419688,0.052312548418999454,0.06739488998671958,-0.015502148565867738,,0.07461951628487654,-0.029484691494524123,
SFRP1,-0.024713682734870433,-0.005163651771928828,0.056391855110435686,-0.026258491049072404,0.00799605676579729,0.04995504867357848,0.04197473870136652,-0.01941426670875823,-0.013920454313390451,0.022440618019557768,-0.03594588930652033,0.05509843589824691,0.02789774980095136,-0.00988622212468228
CXCL13,,,,-0.005380368275877079,,,,,,,,0.021439192472608146,,-0.025217539141166728
MICA,0.06059405426471216,0.04798085577142162,-0.02248454656770973,-0.04188784504676389,0.05404922152037542,-0.0010919759978603996,-0.06013567542066202,-0.00821861998688147,0.05087525828195258,0.02366621837079667,-0.003677778560082779,-0.005397975579122086,0.03120549927688795,0.05206470522355733
TG,-0.019670768519288825,-0.03204478670087127,-0.023161058484381013,0.06520267786076607,-0.016318542350404287,0.031252353983899785,-0.03132599216001999,-0.018870906842556375,-0.010074172233886458,,0.020746705828699908,-0.015949549036200612,-0.026937736947158165,-0.02778985863279328
ADA,-0.05568430402966697,-0.0473890044986342,-0.014090893387035829,-0.010925254860211462,0.021628263550941104,-0.0068955744848821325,-0.1454662100112463,0.010912596931110878,-0.016361265873301892,-0.021895496839953094,0.020495699141497348,-0.03356614250065889,0.07935417362022308,0.09453625256122668
LAMC3,-0.020243447541139655,-0.03901371558235765,-0.0031915746841621093,-0.02829808178223754,-0.04227333849517116,0.04178603124045436,-0.061285710313084475,0.005431805253950656,-0.05068039927156313,-0.0017605278256437572,-0.12199296537555732,-0.02947215881943735,0.10751960130748228,0.07398525947396513
CCL7,,,-0.013422040875537219,,-0.012375545955845323,,,,,,,,-0.020864242856435768,-0.0526440925052225
NGF,,-0.023159618558929944,0.05276670841163269,,-0.04372239081790762,-0.01491921308603641,,,,-0.015502158773004017,-0.0415004499391853,0.06768029911933168,0.15648013901226618,0.050129617971618155
