,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,ZH1007nec,ZH8811Bbulk,ZH916T1
IGFL3,,,,,-0.017700314524006094,,,,0.017583273381872277
BMP1,0.05600816109625407,0.039867180129696624,0.014932492811390662,0.09887338800900729,0.06598610629398925,0.015202973874508785,0.058006888705218085,-0.009271355892747446,-0.05370919405013128
NDP,0.013532936500905894,-0.005166166219072181,0.03947130466539657,0.06387380318688897,-0.0847486996491629,0.030905382411604645,-0.07048524536940547,-0.022484233888757043,0.059642728593795165
TNFSF18,0.02446520094879518,-0.029361835749340457,,-0.013463322052694144,-0.011838690368412138,-0.015238831952174046,,,-0.03624442594327343
RTN4,0.04081227880209522,-0.013214776929941196,0.008555209454471357,-0.11480546309425942,-0.10624475573777059,0.022745028805972883,0.008306734809514318,-0.04863324866369715,0.035512854348103036
HEBP1,0.0930179888876665,0.04985203385872034,0.04395665066644647,0.022950144023529937,0.0443102455066608,0.0017197768641123456,0.055544241610738905,0.00351273821340156,-0.04387626222954906
WNT7B,0.010751311997617093,-0.018238662187093673,-0.026976179549281325,0.033785185061121166,-0.028890276030522802,0.0237721104970922,-0.014664030211990394,-0.027875283235013,-0.015233219848607467
PTMA,0.008873546712683299,-0.01487033737969579,0.0056993645463514885,0.1359557160866633,-0.027054275625182474,-0.018466283449323388,-0.042665954866557346,-0.07586018850363246,-0.07216476992906601
FASLG,,,,,,,,,-0.01863551271091827
CEACAM1,0.06565368479881803,0.03153393131711659,-0.02192677733095709,,-0.012329060057974598,-0.02396705225230825,0.0659568855457028,-0.013504276958791531,-0.009612854808568138
PDAP1,-0.015456184897843889,0.0074393085050394134,0.01385761276746977,0.08230417346730115,0.10226103285154949,-0.005565479696864417,0.04587401544737177,0.02471695607190405,0.0310929833310771
QDPR,0.009831527282189337,-0.025554257999552157,-0.005010066910283162,-0.03290758846199457,-0.11437491445444338,0.016256981260426028,0.0653122753082399,0.04356463008514618,0.07865004350363702
POMC,-0.02928565707207646,-0.024870571360893486,-0.007994514541472103,-0.03551895899798041,-0.02770198300877268,-0.017681935538857965,-0.05317205475528386,0.013556878851420831,0.03057697444443952
CCL18,-0.020832144873080622,,,,,,-0.041947884686166864,-0.03297655008518164,
CCL17,,,0.0457101811915094,,,-0.004503075515793475,,-0.019494271580878176,-0.01689099913876131
VEGFD,-0.020832151488262337,-0.02004800349919375,-0.020115021333474647,,-0.016750589896949556,-0.02024906209011992,0.07484761903783423,0.04573272548712039,
