,UKF243,UKF251,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,-0.03353573227946539,,-0.018186157253084298,,
BMP1,0.002972984806000866,0.01820655084373149,-0.008765463797472365,0.010825744806876238,0.045156059144394634,-0.0253990508729734,0.05399523290464658,0.003289790762692728,0.005369550003665463,0.032725692180657885,0.063672737476861,0.09350097522333456,-0.02588235307624246,-0.06594004601231003,0.01997099570709014,-0.026605085198187273,0.007887119599558097
NDP,0.12274546497406084,-0.03061187940195508,-0.0021584075071264057,-0.012438220236791222,0.054333685884354055,0.01523528542818862,0.03400689051936745,0.08101658370453906,0.050348753762633536,0.04643675895725903,0.0020303580214219197,0.058211244578896336,-0.051139081123892545,0.07527635345203086,-0.0480400320255034,0.08200321358984164,0.01873915071417196
TNFSF18,0.13058389414688135,0.006092679043695018,,,-0.016966906130789754,-0.02568351109779331,,,,-0.028411536006344443,-0.07016468362861215,,-0.03426324746616059,,-0.017438288230550325,-0.029753373695354978,
IL36G,,,,,,,,,0.035983819180299505,,,,,,,,
RTN4,0.02752097469228148,-0.07265328014928037,0.00665401304459222,-0.058552421152516076,-0.008252387994726378,0.026981229417446462,0.002343797793311107,0.025524134315683483,-0.11462691881153679,0.11136352884159231,0.1577344757924193,-0.025249654583656238,-0.019944553885108803,-0.07188072995524131,0.0174077785379507,0.0661090655289681,0.08382245091475464
HEBP1,-0.006404287735170912,0.031119920734554534,-0.010634982147387813,0.01056520455053611,0.040962899155286905,0.01748990938020541,0.02145299155371724,0.06878856416323344,0.03818958844584736,0.02908243874700746,0.04206927461141379,-0.018764789745135575,0.047439634978809105,-0.047772111517511644,-0.06796304938505454,0.06166760864861946,0.02584025330312428
WNT7B,0.13408618386274873,0.07299991697900571,-0.011860000468041457,0.018834201816365973,-2.4309607005688657e-05,-0.0693248399707489,0.0025338417286912044,,-0.013201121474064197,0.06630133671183432,,0.04646602415141027,-0.04291681464984234,-0.01187294918190426,0.05553212741021815,-0.00023227125337185807,0.09068810680735745
PTMA,-0.06952117077410677,-0.02339330558570556,-0.0006231105359825064,-0.02295900733606969,0.04773929987718725,0.0219468260168981,-0.04507851029823724,0.030163252009050606,0.014208925198885999,-0.030563157479161693,-0.07280554635067893,-0.11513749762663088,0.05291085211546678,-0.07974481858330645,0.08817752292004093,-0.022753667180575983,-0.07453671051998642
FASLG,,,,,,,,,,,,,,,-0.015772847981302813,,
