,UKF243,UKF255,UKF260,UKF266,UKF269,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk
IGFL3,,,,,0.058960310920710156,,,-0.015610201026096494
BMP1,0.021432265355003196,0.024536464365317416,0.02115805901062296,0.0589188906451962,0.09348483497619525,-0.006551360976384227,-0.008596731568387748,-0.03219848447182162
NDP,0.04848728869974464,0.04085836477951728,-0.047257006325103795,0.06993725401056985,0.005206596183035078,-0.06574866180989648,-0.022124554774929493,0.021264532652307752
TNFSF18,-0.018372692580233545,,,-0.01346331708968869,0.011570527303027149,,,-0.016098524781984327
RTN4,0.02872554479594561,0.019601100289450515,-0.034268330007448354,-0.05636489098539304,-0.05978805902711593,-0.035163035799217375,0.0035859414477206445,0.005454168344323687
HEBP1,0.019961917548272656,0.0278515746569858,-0.028618481170032184,0.04858937251495512,0.029672330839645922,-0.06334699783764178,-0.02842979551669571,0.024769592208407874
WNT7B,0.0996644027310953,-0.024492690709186204,0.00994616497063968,0.043769637222251134,-0.03952919609103099,-0.038049591825851825,-0.018266009780423365,-0.03366331765589684
PTMA,-0.057804117247367885,0.04284192416292663,-0.031473012205784946,0.05222893319050753,-0.03711210485228438,0.0534915329919238,-0.00904911611754646,0.10452552034650722
CEACAM1,,,0.07361145249869955,,0.0752218482129754,-0.02132106297692713,-0.015399747435923315,-0.02313189940297593
PDAP1,0.07226667972999631,-0.0036611266598478727,0.05720007645163031,0.04381259741305219,0.08649861321938304,0.011999089043464004,0.00423258293921253,-0.0834394666403734
QDPR,0.04877944778067695,0.03194002606679527,-0.023006205563210414,-0.0583144495257032,-0.054718219877558566,-0.01685107893004582,-0.017344449843555904,0.020306801727256886
POMC,0.06987775853853506,,-0.03261427524536208,-0.025154766893876024,0.05877543739936765,-0.014554257050298352,-0.03607611002112797,0.07392534040973348
CCL18,-0.02463929143053055,,,,,0.007831776622902065,-0.037605163472988895,
CCL17,,,,,,-0.015126262213673814,-0.02223050221118142,-0.020581148329347806
VEGFD,-0.02776127975297633,,-0.015506871298010755,,0.05017991768591149,,-0.015399747435923315,-0.021706759130049894
TNFSF13,,,,-0.013056608970619605,,-0.029025025188598754,-0.02416379586686426,-0.02207061996510895
WNT5A,-0.07068932402384824,0.07161596569305721,0.03358406560077155,0.08180378613041919,0.04669527242207787,-0.07730644966570217,0.0247742409851155,-0.07134325593116349
CXCL8,-0.026621126158141925,-0.08809604475272809,0.045648860144635914,-0.018572179420073637,0.0015061546597432641,0.06327336484093911,-0.07381219548421908,-0.029220744253928836
GRN,0.018832435009662907,0.013203161995617465,0.021078738488347536,0.04023487109162222,0.0791664043953424,0.013944532566465648,0.05445303677781675,-0.010054253698004955
MIA,-0.0524531676861875,-0.05097193128007794,0.0647516102508593,-0.00828505712798628,0.05856023113653211,-0.02758474789942583,0.02016597141136459,-0.02323484571015255
COL4A4,-0.027946572996668324,0.01932092068197816,0.0354962756206814,-0.012422786589130562,-0.015306911671507571,-0.03996786309025767,-0.02465740353267776,0.17447929148017802
TAC1,0.12701758288869014,-0.05153369864107991,-0.04001505798293859,-0.021738638063241243,-0.08355676191461232,,,
RARRES2,0.010766151865913148,-0.006592044602303175,0.023725111279283374,0.01077130205030159,0.08427671613141281,0.02684982560050728,-0.02279630178754559,-0.027204615238544182
FGF7,-0.019962743528942253,0.049083969992353975,0.04568726164992965,0.05877195371545038,-0.0349165088133443,-0.03723326806399962,0.010415239045502716,0.059654510073081875
EFNA2,,,,,,,-0.014636429339358943,
HBEGF,-0.007922092881730498,0.0196580668893435,0.002247826591198194,0.03008489389352541,-0.019768048120224698,-0.006125951923202205,-0.008590722896099363,0.01752865695277638
CSF3,-0.027946550871283005,-0.02714930174203181,0.06064295283045157,,-0.0161944179269906,0.0864833945353011,-0.01972729857953444,
PI3,-0.03310685692418107,-0.0013693335334393388,-0.011998137717836201,,0.06490562445764247,-0.006959899918287586,-0.07908978505722161,-0.01748704221523883
PCSK1N,0.11186172822934279,-0.03583179727522224,-0.018716695426063773,-0.03929985491090446,-0.003680981801484497,-0.022752848702618914,0.01705801589357969,-0.024126925042882722
NTS,,,-0.014389278089586082,0.06015348589982661,-0.019904887680905967,0.08047109222674587,-0.01783171169106482,
SFRP1,-0.04314985358703427,,-0.01769065472024784,-0.00576689749431772,0.028594189669168844,-0.004370983022156655,0.06540588812846769,-0.013241866495210293
CXCL13,,-0.01971360544590463,0.02443375285056042,,,0.0348181163161153,-0.015765736494321222,
MICA,0.008800885529950326,0.03310404778238206,-0.06437522829646138,0.11294786003747494,0.057512243766136444,0.007924963362638367,0.005522165378861881,-0.06898078571383205
TG,-0.022277861643193425,,0.011557500646926575,-0.01750486924680867,-0.019545213556093434,-0.020099020699678245,-0.02196170224653942,
ADA,0.003910507056134595,-0.0025011085437582708,-0.00497278293376478,0.05668657033616309,-0.00642361735485869,-0.012454560299952098,-0.006373260608924361,4.650227474026444e-05
LAMC3,-0.04499444287557156,0.013619141544075508,0.05352398578766727,-0.015197679177687445,0.0630533602068259,-0.045625219113064504,0.03894625958579023,-0.06848023024129322
CCL7,,,0.038487290716340126,,,-0.02267078044545036,,
NGF,-0.01610080237953176,,0.06322309813208225,-0.016704340365386004,,0.007254335537491617,-0.014439691104921727,
TNFSF15,-0.019918701978462208,,-0.017209594094260608,-0.0023971435839932357,,0.1816103677273562,,
HMGB1,0.03322026931096979,0.03501945832205571,0.06005687478530221,0.03188052708266926,0.01872911256169502,-0.020770656926137592,-0.041979796750020636,0.0013920044932600971
ITGB3BP,-0.016778383745742892,0.009691040740839225,-0.05676955929864529,0.05477558064505729,0.05192231225403416,-0.025091980943336704,-0.016488681273347825,-0.052823916162155565
AANAT,0.05277042443075785,,0.03183553870539436,,-0.014607803222197062,-0.01988867134977468,-0.019696669677789394,-0.025458220197396485
RELN,0.0359667596130525,-0.030574261973336042,-0.02011666555747082,0.009603201078290864,-0.042863877998940016,,,0.0031662147903515777
IL15,-0.028314091037415962,,0.02320263574552193,-0.014432369147972595,0.02681864753506977,-0.03643686078514423,-0.03570987892517944,-0.03170359130601993
UTS2,,,,,0.14176930879663083,-0.016936659258223734,,
BSG,-0.050325044222466066,0.004256837612771431,0.041012844322734665,0.011776799563684591,0.012703055511209066,-0.028997840688434137,-0.05945582372135121,-0.011413551229631717
ADAMTS3,0.0069923909427397546,,-0.017991300863309433,0.008982102473165863,0.08087211813422465,-0.05275937758211667,0.004479680032705139,-0.03944583676175471
