,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF296,UKF304,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.015031582935051227,,,,,,,,0.08701282473402415,
BMP1,0.10449171885173685,0.06288099701853213,0.06239085199371864,0.04865329949619624,0.016989694565435053,-0.030085453497623687,0.0657241748911781,0.030420620765587058,0.08832849975340296,0.017553823113064485,-0.05417590610289656,-0.022228556510083815,0.14144120848749125,0.02670524142783394,0.00037869929347650777
NDP,0.17650779744564496,0.04789966697303703,0.04144959414511069,-0.037900028247311715,0.0001958005400427554,-0.03601776914328636,0.015926724267737752,-0.0105268779133162,0.09544328609976345,0.016837139575115425,0.035300575406010004,0.03388236074244265,0.001031084759157303,0.15624489467313157,0.08890934667786968
TNFSF18,0.1001158034551026,-0.03445809804152467,-0.005878720753247108,,-0.017240378204121033,-0.004811785185071671,,,,0.02677831212394124,,,,-0.02303806978396907,0.009311622228728233
IL36G,,,,,,,,,0.007864521930732159,,,,,,
RTN4,-0.15740712665297268,0.04502500082886558,0.0042199956424456096,-0.03171136025336713,-0.016791008854919815,0.033862307176379766,-0.11012697498034407,-0.03493498707811646,-0.12414647100573444,0.018236691694337278,-0.004428575874032289,-0.037346849262543814,-0.034741424530956536,-0.018419688672757492,-0.0355733290462615
HEBP1,0.08904837268458843,0.05495844673966867,0.01367292594962677,0.046580061061516555,0.00437596838069774,-0.017877890022263955,0.033980628675698704,-0.04131568348799083,0.04190021391652658,0.025346470981065825,-0.03354060807825277,0.05586514803770344,-0.04485643322508391,0.08747487661857356,0.12853637886757588
WNT7B,-0.05156888188804603,-0.03258156169028752,0.0056068804930260105,-0.028867301240107276,0.02255447937628111,0.15578166438311392,-0.025327737849472634,,0.007471855885110646,0.0628451109787542,-0.03673614309094761,0.006204768891531093,-0.03260715161050472,0.04029631883542603,0.1438816316163051
PTMA,-0.16790357292059577,0.00542344133949226,0.05343332673094851,0.023875287073050082,0.04290858429375552,0.02669915990570117,0.04619501493188019,-0.020887271869412655,0.09336816652494004,-0.0182310487181731,0.06890848595398276,-0.012781956695588466,-0.04313564184514265,-0.1052420989775754,-0.10092540921929691
FASLG,,,,,,,,,,,,,,-0.04581356529825786,
CEACAM1,,-0.0053989419776602245,-0.03788606001823457,0.001278503550194365,,-0.029373756073157557,,,,,-0.02058507286901666,-0.015399746458580402,0.013901494800151362,0.05572324354233775,
PDAP1,-0.003386455353049267,-0.020786382483661353,0.1295124082187931,-0.04687166031873912,0.07552046043782581,-0.003820736234497477,0.026567929329184357,-0.0230350806293753,0.0537225585363601,0.09645287944240517,0.04051288481517255,0.013190859985603402,-0.00869180119845979,0.03607467598563755,-0.005861289040628243
QDPR,-0.024917314283048872,-0.0702715223376053,-0.04528241515162621,-0.011166919991067559,-0.10223717914336605,-0.0575370903282848,0.03726091506632856,-0.010569444984514353,-0.0014386299526955933,-0.050716245901143334,0.049864824242864446,0.05436298080899093,-0.04386493775236651,0.14295371047790598,0.014157583858494222
POMC,0.02078817095504047,0.028776380515730983,-0.04474186436722188,-0.031041467431848865,-0.04548359492145631,0.05444837571817012,0.0331250541128865,-0.025213633750112756,-0.036115199941005725,-0.05503061045935337,0.005882500210461345,0.047127891874815635,-0.03540320847707335,0.1478209041134026,-0.032376327979263195
CCL18,-0.020774527137928205,-0.04390264303909653,,,,,,-0.05588922345409538,,,-0.037670430841566016,-0.016190200746155847,-0.00831727791239592,,
