,MGH258,UKF243,UKF259,UKF269,UKF275,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.014513722549794134,,-0.02261217121878804,0.007849079306506399,
BMP1,-0.0006657081018567704,0.06393549041533023,0.008179092025114904,0.0661175664240299,-0.03135996223405407,0.04200840829601076,0.08746612457492792,0.1842049125177653
NDP,0.011512166389002244,0.05339776240264893,0.011713164380715959,0.029462798391169227,0.022242946724574077,0.06010875200563201,0.12706633991530422,0.04044975180006654
TNFSF18,-0.02037041211693161,0.12948235832288352,,0.05344227488295178,0.031580577496593334,-0.023319533049675267,0.0023681939753795052,0.040821760965520974
RTN4,-0.059851491746455536,-0.11789466756343374,0.037496422280999975,-0.10615665005050243,-0.045996569530164226,-0.03356266653213976,-0.012476164264174723,-0.2103626484092603
HEBP1,0.07837821664681553,0.07809710762824762,0.012374721002765814,0.024109576645622247,0.005979965516941644,-0.00579850296751369,0.05795316259251699,0.05075118411111388
WNT7B,-0.017945695055967256,-0.06689912035060155,0.031618887997874066,-0.04654503295822803,0.03154153097221834,0.003227111361853197,-0.05584121985278493,0.04537392988993141
PTMA,-0.04994859866562419,-0.05903785765238,-0.03249561936500533,-0.08444211373833481,-0.03604682477288224,-0.03221411502784725,-0.035888869420966495,-0.011626748736102142
FASLG,-0.01794570012916928,,,,,,-0.02551235934396139,
CEACAM1,-0.024917761684505796,,-0.030168328236707048,-0.028361786495354646,-0.01985153968813039,0.10136910427393828,0.045248921171226114,
PDAP1,0.07196701178139386,0.06444792867849804,0.0232664099920416,0.05892782259096901,0.0057530684821132565,-0.020162084806537712,0.019538714037787588,0.020827903321833163
QDPR,-0.0697496917929356,0.03906625961345973,-0.03492817956558409,-0.058333215926467244,0.02221324954793242,-0.08890216902912132,0.059511458443625334,-0.0968431453089437
POMC,0.005374639501455931,-0.0025409367255554184,0.016533504176971827,0.01833962622467001,-0.014645674462481979,-0.002240511754693634,0.06587014081394506,-0.03959561761133117
CCL18,,-0.0431494111665673,,,,,,
CCL17,,,-0.01748593618059306,,0.02024434341506417,0.03609167281190532,-0.041165940654168454,
VEGFD,,0.00015135820869384607,-0.019481263872225277,0.1066875080862134,-0.01677198578689285,0.0013459015146194881,,
TNFSF13,,,-0.012061407430565515,,,0.06687353225398852,-0.03187841101526152,0.014777835105362217
WNT5A,0.0010672553620822288,0.04834733027301545,-0.03729127376885653,0.0673749529216321,0.06037290672881009,0.010401572945978653,0.061432948365210314,0.06958493509700951
CXCL8,,-0.12487098828174543,-0.04947981580606942,0.060360250074252414,-0.04181360535880243,-0.01816784837035593,-0.011643793440966265,0.04303206877818323
GRN,-0.07554189284666482,0.03231511319348857,0.006162215393633478,0.06119036895040005,0.0235203537096217,0.10098910359675116,0.05583165131537624,-0.00394331206531747
MIA,0.03619225165203624,-0.04368206468577544,0.03120669939643649,0.005757729827593459,-0.030941508203853517,-0.018890748706849068,0.07922417807267162,0.0987138281548835
COL4A4,-0.020783307421491187,0.09076922026744726,-0.0040923980112297555,0.09434688430601874,-0.016435346959405277,0.10649302819364057,0.03923848369122422,-0.0015545307261210616
TAC1,-0.017945690365652234,-0.017679553856904725,0.06380394823629078,-0.054372109423973206,0.020826173530593985,,0.007581497049399401,-0.1423658774410781
RARRES2,0.07041696783828374,0.005988615724363764,0.04160439781891561,0.11330031394206312,0.06228870966372465,-0.024386280444871896,0.04659466009506659,0.023978844063190067
FGF7,-0.03317450824558614,-0.02805147494845676,-0.03099544427517581,0.0361173328221215,-0.013285314449676145,-0.03260740924825614,0.11551885343493586,0.09172852858844345
HBEGF,0.016525439878331265,0.13901955649204373,-0.009988100674705222,0.013861599824489403,-0.04341548328869138,0.04661057496995691,-0.05444226836388174,0.12108813558650393
CSF3,,-0.035662917696812374,-0.02084171127538037,-0.015131448391027208,,,-0.013693090826077012,0.026330893365378256
PI3,,-0.057978184392271065,-0.035966501352862064,-0.01703821060179829,,0.07464132880656978,-0.0747946127861455,0.025526847190507858
PCSK1N,0.0391461362331511,0.005950379206435154,0.004737723213655212,-0.013984052473649354,0.028339464270535967,0.03670325710463307,0.04783409571207017,-0.13857855853784273
