,MGH258,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.017405938918917115,,,,,,,,,-0.027143777625179635,,,-0.004096243393070597,,
BMP1,-0.053960695288660224,-0.07601910029777005,-0.008790604702075606,-0.02134151258118533,0.03266722932948202,0.051134463696621286,0.08700386372361044,0.04830415926767251,0.023826941335242793,0.02028368115271491,0.006735756232229535,0.0009176292240614267,0.020795092831192227,-0.0012565165547816586,-0.014699537716023415,-0.03270248413691907,0.018154854199398603,0.008205009482367716,0.004431237906293891,0.017120555298302177,0.021399286314138875
NDP,-0.023698727707667937,-0.030922503769421572,-0.0024097067969598156,0.0032857431092554955,-0.0050661897428947245,0.010421338143062748,0.020504286605493673,-0.054830088243552955,0.04636284158593513,0.07484225479153667,-0.004251866498173999,-0.018996521817194974,-0.024093374706065564,-0.02057747411942082,0.03159351104504994,-0.03109446144971201,0.0033405332282207137,0.03210594160944826,0.07004520502683972,-0.07882100434814729,0.01975367136603855
TNFSF18,-0.025387507560902883,0.02349630498276504,0.01616946717320207,0.03343280447003651,,-0.01221318953592428,0.033608566883672426,-0.01787456525458399,,,,,,,,0.04831045359649428,,-0.03314015058660962,0.03000226041274281,-0.030906819010297983,
IL36G,,,,,,,,,,,0.056512153963918586,,,,,,,,,,
RTN4,0.0005139533978167159,-0.10588082461255281,0.03370236163969401,-0.0269016873356106,-0.05601232351310391,-0.07655372075594323,-0.10432837586360437,-0.007137204484680254,-0.014940941176543408,0.07880599187916125,0.03513705618269702,0.0482571245293514,-0.06271389078641834,0.0230518104856694,0.026681541197930425,0.000264170954970945,0.1263584938177789,-0.044657076188652604,-0.025964487478258424,-0.006078189788227049,0.11834881284601773
HEBP1,-0.040329939678109834,0.050836168780693615,0.03703490438478914,0.005703690778038174,0.024503027966541472,0.011811766838111032,0.023451742299839103,0.024673176262836324,0.030364486112243884,-0.0013127500586409622,0.01717112726831695,-0.01405973345165923,0.021111777708348455,0.05291512446117292,0.012776245814025294,0.011044535780428742,-0.00493655650973294,0.07492482978438447,0.046450397581870424,0.04266546661393817,0.00554470953806412
WNT7B,-0.0016135648800315035,-0.05730025869703203,-0.05878399174598668,0.03427512208269551,0.02935284647905207,-0.01642478612315429,-0.045759433845446985,-0.051235777400742505,-0.0174357529156467,,-0.019703600292979146,0.031829800194151645,-0.03447726716091047,0.02679498919111235,0.039603713004337855,-0.03957284655650485,-0.0005855395986048639,-0.033140116222762944,-0.03147927990069618,0.006811301559448669,0.03884456637309507
PTMA,-0.06063990979508495,0.0420719432277606,0.009842041797623286,0.04781832835995377,-0.006068213045161985,0.04466314100692151,-0.029784580937572604,-0.03310540538606103,-0.0185500197998794,-0.03808567384704239,0.015162361497908066,-0.06509540338389584,-0.10787975383586837,-0.032931082694216976,-0.02543706531032591,0.023318909284035183,-0.030353466902968387,-0.037266366227682285,-0.09359151650067908,-0.033339505828378656,-0.04850677689647218
FASLG,-0.022365605325004454,,,,,,,,,,,,,,,,,,0.022288015010195776,,
CEACAM1,-0.031054838730550698,,-0.012065771926991613,0.07267167129986478,0.05496494801067954,,-0.010978437680394781,0.01172301015167761,,,,0.17136702710432786,0.0825419506632255,-0.03113687954251057,0.05006779915148889,-0.040222873004180294,-0.025640812506144736,,-0.02762114316723743,,
