,UKF243,UKF255,UKF260,UKF266,UKF275,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,,0.09635598698326583
BMP1,0.02838411843197818,0.032041407882642925,0.05690766384263,0.055718690009191656,0.010739890862013822,0.058768996954438636,0.07812989888423447,-0.03579949274799206,0.03389660878254335,0.004181891755621058
NDP,0.07004458182580701,0.022309180597983178,-0.02213033677412766,-0.013797702011638874,-0.025588783633663265,-0.011195583218142461,-0.0017100395809475275,0.07187500991180996,0.011828271438891909,0.030083383218356106
TNFSF18,0.041842826815884186,,,-0.012399103332895775,-0.015129094257039812,-0.042222379133744034,,,,-0.002766355567836369
RTN4,-0.051567750264503026,-0.016987687421765412,-0.04644658255230099,-0.04123377989058066,0.013370102013326375,0.10081174273361192,-0.03791733338649573,0.03340864577404455,0.09109934610817956,-0.010782132619740288
HEBP1,0.04629549002020155,-0.015283456089225598,0.0615131369304304,0.017611007692189307,-0.015206256800547532,0.04466275869730107,-0.02404413068053629,0.062186349729180634,-0.010742038856913457,0.02916917650406244
WNT7B,0.023832905945037695,-0.0339458845385033,0.019106564960920006,0.024557557183649326,-0.04336614035576354,,-0.029991950199566537,0.015332497848934168,-0.030031226668490212,-0.006063905422595772
PTMA,-0.07199496926470145,0.10913919301121619,0.035045410060564566,0.08040189372133788,-0.023925978000527197,-0.05046568196977068,-0.018245226621185627,0.016203665387768542,0.1158803361196485,-0.0014979920736503186
FASLG,,,,,,,,,,0.010617201847410086
CEACAM1,,,-0.003380383731241599,,0.00023184808025008606,-0.02968949827558839,0.025468149906729517,-0.016893070482938335,-0.01993216190504168,-0.021945610192485976
PDAP1,0.0014055824296621455,-0.007533745397468613,-0.029708272366910787,0.015415705129185364,-0.021377276486836547,-0.06828277114206173,0.029317254210508945,-0.0020374820515665255,0.01756074894280592,0.03695567365381282
QDPR,-0.00528879224492032,0.10941851325669301,-0.024780693726498774,-0.03242879116495903,8.480367852533034e-05,-0.0411629628904736,-0.03348206828354587,-0.004319333014599095,-0.05550307926273074,0.03847960875595913
POMC,-0.016768143130930988,,-0.024032246946859067,-0.010518085686688425,-0.01755460459527672,-0.01983762244716443,-0.037512746382189266,-0.03957443275436504,-0.02111204175530996,0.005827741528145919
CCL18,-0.044407728506211115,,,,,,-0.01907060051670958,-0.030961824482945863,0.0241886161821931,
CCL17,,,,,0.011044482280242065,,,-0.024386207779523113,,-0.014296320851058086
VEGFD,-0.05003453032450304,,0.05053732602492771,,0.03641237189900343,-0.04036222229510933,,0.03045906306258129,,
TNFSF13,,,,-0.012024543634043589,,,,0.005491952408467889,0.1612677506095416,0.15762878634384692
WNT5A,0.04956951580881383,0.04899618059745512,0.0426784484918723,0.07098936223610254,0.033308512195157396,0.02527399242802904,0.053166588421017534,0.07147599077399562,0.05179452706679833,-0.035826817876843324
CXCL8,-0.06631860934701819,-0.043526624838459475,-0.06884088469657974,-0.017104133417680502,0.008997605885268866,0.13189600376040495,-0.033576794746672085,-0.06977459901501974,-0.026839984852840133,-0.009327535018759249
GRN,0.046010926153409085,0.014683611519212422,-0.03145473649228692,0.009986297239386942,-0.03733082267779632,0.16159879487168152,0.034779033366508144,-0.012738629462395892,-0.0360890801231324,-0.04000552826754564
MIA,-0.010564434337257086,0.0005008794286331543,-0.00682549515947812,-0.004465083650297501,-0.022102468193307766,0.023880751206260337,-0.046623006168500035,0.02718308814678538,-0.04509984266281318,0.021648553389020327
COL4A4,0.04814149593782684,0.0925272590752807,0.07356862099597418,-0.011440822018454245,-0.00597116549551453,0.028941629593156562,0.08895154579028232,-0.02704844722531671,0.046720501828983414,-0.021568790361686827
TAC1,-0.02243336086633474,0.0464292124807704,-0.024045204982972912,-0.007141934262744033,-0.012648527483906009,,,,-0.03438865761015881,-0.018793967469806813
RARRES2,0.018641011244838596,-0.09028365368877932,-0.00193806424983747,0.026647852852167087,0.06343498444259496,0.0034366017151145484,-0.002721221720467783,-0.017861872226341734,0.02121617467012924,-0.037237539275138086
FGF7,0.042206953778898146,-0.04093600068103172,-0.018118794254549132,0.06058369802742541,0.016403149235398033,-0.06582523079147069,-0.04810082619410646,0.003782921433475154,0.06408013102442524,0.007342858755483801
EFNA2,,,,,,,,-0.01605573295777319,,
HBEGF,0.06518705558772388,-0.0010578205165680966,-0.05601119000806119,0.01701023149743365,0.04806820623592025,0.004106151220072797,0.0219146086972088,0.010441507293587528,0.02017505051714136,-0.038432701855342435
CSF3,-0.02631799444953926,0.018875533443680047,-0.0675229429005828,,,,,-0.017904787464133202,-0.028575476797601716,0.012447059182665109
PI3,-0.048908394445187124,-0.011215347373375106,-0.05005010422989555,,,,,-0.06865446024272406,-0.000557722714135478,-0.03270260522680893
PCSK1N,-0.00542809567457046,0.0031379249819190698,0.010972047860646218,-0.01280689708614921,0.028247755228168487,-0.037382327794019225,0.039327384933521295,0.002444943157553901,-0.025234474292245294,0.05387460007558724
NTS,,,-0.0228623000432714,-0.013966644236209755,0.041404039884038506,,,0.12989930240193706,0.011504834939450337,0.05395126130431222
SFRP1,-0.006372549295379344,,-0.023120671379937736,0.07235043571334457,0.054045653346755936,-0.02948858197536378,-0.032187346376394865,0.02101631180466281,0.004645919244607726,0.05363061235645055
CXCL13,,-0.01749610206432554,0.009519911248236037,,,,,-0.021343006116737593,-0.04661254909557577,
MICA,0.09809065520752629,-0.056400829527769654,-0.021001175734608586,-0.004242098900268801,0.05826021200864208,0.12153895649425489,-0.037746386413100526,-0.041101520373651,-0.03785988933044282,-0.010993516280088276
TG,0.01998315675696387,,-0.031501544423613734,0.07508205254661053,-0.019009728962246807,-0.03205085035759006,-0.03105139630672125,-0.00666440358800453,-0.023518056511799862,-0.0293539207773468
ADA,0.03852815063664091,-0.02220177237390368,0.010521751517496434,-0.006122938653379248,-0.012022445864254992,-0.01911872740557782,-0.028841275327320833,0.006243093417884666,0.00556446535580181,-0.0093532569244804
LAMC3,-0.0007425828532131617,0.09312486268606862,0.010779066554865043,0.005051064650091395,0.009722854201920613,0.0004281615119639374,-0.07049088384693847,0.0483080490255846,-0.02477474991190252,-0.0010370819706189422
CCL7,,,-0.030378249339363447,,,,,,,-0.01577284872345832
