,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1
IGFL3,,,,,,,0.17116685232758655,,,,,,,,-0.01908563103380006,-0.01732583186791899
BMP1,0.046070922189511226,-0.0023151344682431725,0.023964226395615146,0.024318895668012874,-0.03570853879096379,0.008581404483458534,0.10371053603111222,-0.012032561877637717,0.018847808936023076,0.04019213852755208,0.0009936051925602122,-0.07250465088201345,0.024502112672966342,-0.0014286552906439454,0.0013375643549651316,0.03168227811561379
NDP,0.012940462612001661,-0.043360349404089484,-0.03515241701395119,-0.005930210768895447,-0.028010778403192715,-0.049855823705574176,-0.0027289668667196763,0.003908759531236435,-0.003114915711004474,0.0976417256681413,0.0642194425809407,-0.05765597126086341,-0.027223183177202393,0.006724971319295904,0.03892106266932664,-0.0230243016120658
TNFSF18,0.07883827371940923,0.05395157358761981,-0.03343031332008944,-0.0277342187591086,,,-0.030150764708287384,0.08277112867185986,,,-0.024507759435977026,,,,-0.019682674403986893,-0.029225580820396755
RTN4,0.010668596688114557,0.002775570070335636,-0.028980318543691968,-0.023146476307062815,-0.11535542354504143,-0.03559460926076668,-0.06674530913312579,-0.054717554709288366,-0.09019533864101972,-0.05520836272117535,-0.027758365542408396,-0.08348588473907315,-0.006635648514595404,-0.06873561586054684,-0.09027687533247683,0.0036688177247892265
HEBP1,0.03398617078588444,0.05366716879584701,-0.0471488396194648,-0.016855010219340806,0.022625290436224084,0.003163529708020173,0.06389384627053526,0.04192312784257986,-0.0576176634534685,-0.0009134819315902734,0.028958353779760172,0.14194945932286612,0.04289180399930721,-0.011833647237204915,-0.03540791743211285,0.014457391450554946
WNT7B,-0.016485137346978714,-0.029896517025382402,0.018154784134907887,-0.01722763696686439,0.012162194264931871,-0.02223320239571028,-0.015106807138507428,0.0004323209592541485,,0.009543567628603316,0.05556145326432806,0.13776393041261428,0.01962014665265616,0.053761111046739,0.01232150333251795,0.05145996075708874
PTMA,0.03439894509682996,0.11451980428334502,-0.0625894453251733,0.033668145162291094,0.1192252582379393,0.03773937693078596,-0.008979489312373528,-0.02296334454688733,-0.020879945412263876,0.06497700607969835,-0.09251526787247744,0.03190165973573853,-0.0331744676641945,-0.0028104640192654086,-0.04862921277929289,0.032931993218277486
FASLG,0.12519803955471334,,,,,,,,,,,,,,,-0.015026688068253182
CEACAM1,-0.022889763949921385,,-0.023408013818262085,-0.013221175199477332,-0.022173499647676835,-0.016785829439704192,-0.039676689096952523,-0.018361622339191235,,,,0.03661148822432427,0.1036478356253973,-0.02256677423776774,0.04332601457565285,-0.020907429428223247
PDAP1,0.019964821892721602,-0.03476428118613992,-0.0619362372003239,0.056227874904606116,-0.03712913152213456,-0.014819216684227341,0.012218731004834782,0.028309683586061295,-0.010608319071145067,0.05323463686189026,0.030427243053410637,-0.032755824401423245,0.0030246141078242492,-0.03477287281200489,0.06013014237410172,0.03407810203233808
QDPR,0.08160371301125638,-0.07552300742312627,-0.0332921603656912,-0.033174163719302895,-0.0011721844826359234,0.008098498633498761,-0.009985337334511258,-0.024206590071682306,0.0013512607267815611,0.03680879967318312,-0.028976896346655814,0.015532164248507946,0.024977136957312053,0.016697186846568183,-0.005152426394331452,0.05810074425336491
POMC,0.044987477491178776,-0.004948931625094253,-0.06002672827102339,0.046823022521126544,-0.021287634880049453,-0.03377705821360508,-0.016212495588504613,-0.013546472848331409,0.03736695735136296,0.11670576579421707,0.0658778684719369,0.010362278685758874,-0.01751264482044697,0.027430907488589208,-0.01980675678362149,-0.0001031504166380029
CCL18,,-0.02146768082433212,-0.03383367473426786,,,,,,0.024420246285980978,0.07937364201292363,,-0.042466836436983485,0.009688557941499235,0.02800677465984047,,
CCL17,,,,,-0.036071168392010855,,,-0.014560703630163823,,,,,-0.026600474538392132,-0.032576555341529166,-0.02516330203622418,-0.013620004941994026
VEGFD,,-0.04256591441395358,-0.01549094016691125,0.03271228829972526,0.07216478367935418,-0.01605973122515653,0.07397303743607969,-0.015513198156682288,0.09155252520438271,0.1594535478322079,,0.2149028778016678,,0.050133850143011145,-0.02653951701218419,
TNFSF13,,,0.045268472066207585,,0.022837139634107783,,,,,,,,-0.05104231518660097,-0.011475574387879066,-0.00864302179359728,0.05543198160137355
WNT5A,-0.05808903897308887,-0.0024207207548320045,0.0318505804793723,-0.010272869084225332,-0.053489570557933255,-0.005046819609381192,0.05952646790926125,-0.03375870596625972,0.01643498153910787,0.058931100997336804,0.030692210683685876,0.08926641521054952,0.0002561885403859099,-0.010061593994372363,-0.04622268411334628,0.014360186875770726
CXCL8,,0.16942347401196756,0.052746227675858064,0.1080607835237328,0.1903719970815472,0.03508139484288734,0.016482342880990604,-0.013754425540552357,-0.04375841415171936,0.018621448309718257,,0.1806210329440032,0.0053951051685015875,0.0190031397917387,-0.03572640367867044,0.036014584328383524
GRN,0.01105306947293952,-0.06101209833234897,0.05110349431234028,0.026416808762449968,-0.09777412066507546,0.012405774393413291,0.10173196618274954,-0.020220510257572002,0.018983032588021233,-0.018917718688235465,0.025943022856568326,0.0011193408852892095,-0.038880140314751864,-0.003059118830688731,0.0024051948703953468,0.01714758977922321
MIA,0.06301423188662549,-0.04114085546216681,0.021000257876173538,0.05884229367107076,0.03494143463925933,-0.023264179132924816,-0.0015448775877402946,-0.02861925559274604,,0.023714368239661426,0.08679208259493579,0.1550918493579703,0.07000628171803233,0.09450430542584083,0.07039714321473535,-0.02769173912499827
COL4A4,-0.019091803148289795,0.05796672741922626,0.0925691845464924,0.0675542132838992,0.022418374499567094,-0.04534837623203578,-0.020008041301230517,-0.015201825078717418,,,,,0.06103199816308906,-0.0019683775351456395,-0.03876203271063142,0.02593205836018564
