,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.108385365008869,,,,,,,,-0.029111581979581174,,,,
BMP1,-0.001201787119874334,-0.003261521096542764,-0.09333729974898723,-0.025791864927273592,0.1078203181181349,-0.0040382114367916964,-0.11065776450911849,-0.22011247592987487,-0.5545014067414222,-0.20134591475922775,0.0007915580501847136,-0.2169995243778369,-0.34159853840132615,-0.06762005345212088,-0.10880676829427381,-0.06980351286611552,0.03520926330910999,-0.14980570229818774,-0.0640750317613311,-0.24127177088666146,0.02065261403726267
NDP,0.100959904776067,-0.09731730902696452,0.05471271562473678,0.0744667125026345,0.11696141107450846,-0.03342074204850508,0.21397105218645301,0.0660434068516713,-0.11139885545395896,0.12246382728936832,0.04331021587150899,-0.13473827377794192,-0.022685813345392308,-0.005822313747988578,0.025395492976970434,0.00030445726232934564,0.013324628743608161,0.202794245850073,-0.02596479376390697,0.060776410402401115,-0.08790246678048876
TNFSF18,-0.017000192194660712,-0.028666022796811595,-0.012940599375997699,-0.06149728928725178,,,,-0.039401560317173255,-0.11540090398764621,-0.07547866630501701,,,,-0.04082645802817609,,,-0.030022260645944286,,0.09102483876875937,-0.16154797327848863,
IL36G,,,,,,,,,,,,,-0.02854210801886274,,,,,,,,
RTN4,-0.047987770408787975,0.34232535002509196,0.10260903372638604,0.13128394611660213,-0.002777410371348851,0.12867032332234793,0.2631963282119985,0.4556385225220501,0.6865206423020516,0.3132341976893272,0.20569365548061613,0.6117092376966932,0.5565256217371889,0.02497178491120953,0.08868501538527843,0.07731988592019913,0.024246637618325823,0.02620582258449207,0.1161415407526682,0.6534295364207118,0.0790373284257876
HEBP1,-0.042592837652830895,-0.08357119326212935,0.01894877939114144,0.03325561235149249,0.0903615568459159,-0.029257941509591896,-0.03608104796075883,-0.13271077085980815,-0.28640242924404213,-0.008485574555143356,-0.06230507737517103,-0.24778702756783955,-0.08231965865782755,-0.028383725041860187,0.09469511790817228,0.06957049283092596,0.021162773300805484,-0.009407896823454075,0.05923064956558113,-0.09013372887554788,-0.0938235066917929
WNT7B,0.05383325395829291,0.3602792647858124,0.008902328969171812,0.03502343327423571,0.008439203698608186,0.01687482496127138,0.16022948114697744,0.04509004021941897,0.34200121398306566,-0.05224995656838078,0.017329683449613074,,0.13268404504504777,-0.04494594540585275,0.04479690995665031,0.021518828854766126,-0.026894797321033385,0.04374168256932979,-0.048952385347181514,0.012224088197044515,0.14147357185184048
PTMA,-0.06282274158876038,-0.007850941436373925,0.04540791346883968,-0.16588116171716016,0.09729044378206148,-0.059331876631098304,-0.24139181081292402,-0.5179107071267024,0.12688894271464624,0.25287126992260417,-0.17232197068172145,-0.7718940558887886,-0.571976355344116,0.030240332811660074,-0.06303285464621654,0.04197699687249011,-0.05686789064047026,-0.18437331803145962,-0.10836173398246997,-0.27506357147400506,-0.3668058373791581
FASLG,-0.03724623653650349,,,,,,,,,,,,,,,,,,,,
CEACAM1,-0.0220088729308107,,-0.013982450820508401,0.04833881453012858,,0.04500935442092054,-0.010399855828854217,,-0.13662305957478513,-0.01572142285573927,,,,,0.05333553687400477,-0.03884885549862775,-0.017379400057809524,-0.0195395569892643,,,
PDAP1,0.05742438591535531,-0.09116197174549716,0.07143078532292128,-0.04088708999183591,0.005401039319500364,-0.01864888190851366,-0.0964761769675891,-0.1910382680888754,-0.4091672247124392,-0.009519357634477442,0.012289418953673484,-0.008331966304375245,-0.26347619191279154,-0.03118940656004575,-0.05589685870574717,-0.025359390877212635,0.040675031478126226,0.012580487236728428,-0.07532372519205006,-0.09118179371054656,0.06614083526188534
QDPR,-0.14515096728424245,0.23132814974595184,0.18848916027606655,0.057555929980037,0.07677326261336334,0.05299810546381562,0.35071592331343876,0.3241291737428962,0.27742076081939415,0.29546462893268066,0.12956262478939173,-0.4885539079647467,0.16290595948301564,0.09445330093352289,0.11550383152441634,0.08327742104872544,-0.04110101674748197,0.08466288920547431,-0.10625684326538604,0.5471913631651613,-0.08744874257288736
POMC,-0.0003838113354305396,0.2163914166337988,0.006379218480401012,-0.002292774314795165,,0.025632339125367207,0.1411562187883289,0.07173977896429794,0.006774846756210573,-0.0347584293713052,0.036662489594242384,-0.11947432588513086,0.15087057099176202,0.017568553235675084,0.07821695507391807,0.05640377121955961,0.09800327426728461,-0.0482744047667034,,0.017372898946940257,0.061709477533664576
CCL18,,0.01744507705906782,-0.0806378256635944,,,,,,,,,-0.2708236515752815,,,-0.011564929495998822,-0.08269219719214164,,-0.022356710349396822,,,
CCL17,,,,,,-0.013082837300503582,,,,0.01136368348865036,-0.057242738558745315,,0.06900899271397268,,-0.0873165464743417,-0.04161774959760591,-0.009704006160227315,,,,
VEGFD,,-0.06741879841741809,-0.0012734821498148492,-0.05659465538133986,,-0.004188278353104072,0.01226858932906419,,-0.14256421979266753,0.06370198376157159,-0.02658367136469553,0.09872710172290705,-0.034563316097102496,,,-0.017338643989570038,-0.013911264800524558,,,,
TNFSF13,,,-0.009402028410362964,,,0.008129389887923914,,0.013491858084593637,,,,,,,0.06620489059982493,0.11180064039064536,-0.04115966612988053,-0.02899683941904814,,0.04200333331179583,
WNT5A,0.08005679365634863,-0.019816799412283623,-0.06473673082333962,-0.04589492577228943,0.10910123022632157,0.09202921570587498,-0.009742423302853043,-0.3481904579101757,-0.4273046688820364,-0.02654049535478938,-0.09847717731771473,0.0683322709222794,-0.15542534919892798,0.011272731525781442,0.04989873088811344,0.014269943842453768,-0.033371439904283026,-0.060525182628601445,-0.14381137637512956,-0.3203001734197884,0.03414433598214335
CXCL8,,-0.18123348457814015,-0.14687221165583741,-0.034167174071622564,-0.11509085287169132,-0.07312072921174367,-0.26824869145570923,-0.05442341827879006,-0.18059956567702268,-0.18718248453624203,0.02529316069996826,-0.24571923252770378,-0.14629514308749772,,-0.19728935263591454,-0.2282596015767205,-0.03642199895714983,-0.007811480114164551,0.0059071147699677395,-0.3401732545540425,0.005294797023088332
GRN,-0.1127561335381856,-0.07697185427013707,-0.21567761424119988,-0.03410733004848666,0.10216138656329761,0.015190942077252863,-0.13876348020490875,-0.26513685268740433,-0.5564717664170782,-0.013968413145766136,-0.02962544363442763,-0.4283759054314373,0.14733213178840193,0.007846817296572045,-0.009165821486140684,0.017368262706707275,0.02772859132963418,-0.12256204471057736,0.0059133652451033,0.13494939387557572,-0.0567163839741326
MIA,0.02023228755496925,0.01759515600260688,0.010806238830334651,0.08233121347378458,-0.004121255411780923,-0.04286191010736727,-0.1516694010717413,-0.03899818627373414,-0.17713396248522728,-0.14125672797954344,-0.0120428660455079,,-0.034034623459864556,0.058662744272257095,0.16099556634857065,0.044867519460917514,-0.00896171540948111,-0.14825487441166885,,-0.19047293892903466,
COL4A4,-0.04313568033901851,-0.020146282070099115,0.016898258230407394,1.9004417818923322e-05,-0.03998086913138536,0.05049048111134012,-0.047668489833844224,-0.06479929398830689,-0.07287552728040388,-0.002791602282072237,0.027543632228742735,,-0.07062808953337976,,0.12196745657263008,0.01714721871742228,-0.006285577164670026,0.02548872454176096,,-0.16520165572549886,
TAC1,-0.03724621627235872,0.3535397032449878,0.31031424872777547,0.13861915645125225,0.30587224662767903,0.3697015201843109,0.42619231993265194,0.5470968777265399,0.6029350467492824,0.5357696865271445,0.12219455632888537,0.47781414115024906,0.44871433038667136,,,,,0.19322435465932122,0.11736486424200633,0.44020402619641635,0.16307801615528705
