,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
BMP1,0.02099280349311744,0.023842681532452868,0.020304666675988486,0.05323972208267803
NDP,0.04185637924884845,0.07151059451497165,0.011121976710293852,0.00841341076942261
TNFSF18,,,,-0.02500582509038743
RTN4,0.019026976007199586,0.004367739547083309,0.007838565934660806,-0.07638927555260715
HEBP1,0.035606298169217725,0.052244859449926295,0.02053152808977291,0.06275190829308676
WNT7B,-0.0769047624882544,0.047194545576878855,0.02508979399755724,-0.05437042721217815
PTMA,-0.07635958507746679,-0.04576938353194495,-0.003153436446065042,-0.11528314960180507
CEACAM1,-0.0010135166052512988,-0.02771275391593586,-0.024293739344598744,
PDAP1,-0.025370292551622983,-0.02604011415192437,-0.020782974645368855,0.04433180959568374
QDPR,0.06746051413559029,0.044576646071697465,0.05914955108298574,-0.03470516536989395
POMC,0.0668113486352729,0.04934375253694724,0.1184680633479926,0.001883585506123306
CCL18,0.02259426690730524,-0.015871234762128067,-0.020861976938905156,
CCL17,-0.03057277481981501,0.012799847800609235,,
VEGFD,,-0.012965702406907692,,
TNFSF13,7.041864110694022e-05,0.06862861323880695,-0.027280241055982767,-0.027202770875297624
WNT5A,-0.008442152952604752,0.09164193475386967,-0.017412704296003136,-0.050412945164377894
CXCL8,-0.04410657543582374,-0.11853739616440022,-0.037424181065346514,3.853565689877568e-05
GRN,0.0331210519545917,-0.023634411384297796,0.018158570335467434,-0.0028959111332809667
MIA,0.14933459117400452,0.14073179271991595,0.045018901332308896,0.16809761065025602
COL4A4,0.048237723693341145,0.07864318696048087,-0.041271880634953094,-0.030403215438151367
TAC1,,,0.004583987569118672,-0.0024902665221481182
RARRES2,-0.018302464512197327,-0.027336895191341314,-0.0952008843493241,-0.08549077672794553
FGF7,0.08956646627446238,0.08578113367381765,0.04842855189262452,0.055650673268334484
EFNA2,,0.0062121647645772375,,
HBEGF,0.07466720382844048,0.039518155197720714,-0.030064821070360542,0.01127304747189748
CSF3,-0.027993440325616875,-0.03457251399478246,-0.034828393842866165,-0.01639132869564733
PI3,-0.07431340377317669,-0.11582182861016113,-0.05911590351684,-0.04497008369441961
PCSK1N,0.03183587353184103,0.020100002635192685,0.07290085130713908,-0.0014357634326769538
NTS,-0.013403837823171111,-0.019153523431011052,0.1495739996663022,
SFRP1,0.08357201350429692,0.005905400039485779,0.053376898873705655,0.011643032771926845
CXCL13,-0.03475862202859684,-0.023063568175163394,0.07203110382479454,-0.025940695192806434
MICA,0.06367620841174049,0.01732595833374958,-0.06778597462924969,0.02349065754732496
TG,0.0042768179340833155,0.0017343323789083774,-0.015236201400328839,-0.028586780343988708
ADA,0.010255971097902536,0.022280733174117343,-0.03200340065354148,-0.046995887497598234
LAMC3,-0.030466740223598437,0.05472122449333744,0.018057936905777987,0.03605508497207837
CCL7,0.02645259240285688,,,-0.05415375186829985
NGF,0.05282294457079731,0.005470469456549405,0.1298588426476861,-0.022547981196815968
TNFSF15,0.04455576440027422,,-0.021627834646673484,-0.02090625539886996
HMGB1,-0.051671768926429266,-0.055294222903173075,0.03339060578233546,0.025791575447494414
ITGB3BP,0.0013878956293249393,-0.026189797868149896,0.0682300451147405,-0.030542722701897035
AANAT,0.04804691977560078,0.011782684107738226,,0.08325742187889251
RELN,,,-0.026124080394392065,-0.004665873372786883
IL15,0.018226142922363856,0.02845016431543334,-0.0014799172748407008,-0.021797863998545726
UTS2,-0.034231898296297456,,,
BSG,0.0702504319037895,0.006615125933389382,-0.024697068725290053,0.11981256679874112
ADAMTS3,0.022489625872030624,0.05179923542340574,0.021568915616010556,0.07454456329722109
CD34,0.05148217195915128,0.12797815668182316,-0.050239112377594874,-0.07389453126747618
PLAT,0.11506749305418357,0.06763247512783904,-0.02811150216942928,0.06047328985617841
NTF3,0.04378852041654945,0.15750410349288693,0.01082398770762226,
CKLF,0.0495696874118287,0.05380713994842466,0.02068120283788394,0.07612480477537831
