,UKF248,UKF259,UKF269,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1
IGFL3,,,-0.01633761188939729,,,,,
BMP1,0.05250627671694004,-0.020451209250803664,0.09088308121348315,-0.025847823423250368,0.07834760950499947,0.03696730652335379,-0.05282632576773303,0.021458150438821304
NDP,-0.0008391334006066356,0.05149575385380087,0.04637165679454481,0.03023095678717528,-0.047279731671455064,-0.059481548092379315,0.06748545452090092,-0.004090229285791469
TNFSF18,0.038433235752384214,,-0.024260863187205734,,,,,
IL36G,,,,-0.01777128227328823,,,,
RTN4,-0.0016660160538126342,-0.06885920762679544,-0.08470121527304834,-0.06810428699441153,-0.02772834510227711,0.018142005272451623,0.002016821546967779,-0.041616888704677286
HEBP1,0.07401176242451663,0.04107151608121712,0.005896749860585611,-0.04350074965141513,0.05475398262196594,0.08400528269681919,0.0029737751779395955,0.05808292571380484
WNT7B,-0.01730915218939303,-0.03801098777118066,0.0044220140220678945,-0.019532687205783585,-0.0369332094138809,-0.012732356206029648,0.015219965156080548,-0.020366673885378588
PTMA,-0.08676536399089958,-0.011602678631406162,0.023488200190728566,-0.0032539428441770053,0.012544252751681707,-0.0335250320578814,-0.04687079341886158,0.0808377328535264
CEACAM1,-0.01282927785850598,0.017073301644921914,0.029383613941834738,,0.14094981704028406,-0.02058507278116843,0.009188391443452081,-0.01351765766452986
PDAP1,0.03221529421759074,-0.02839230817632091,0.09213672908975322,0.010297207189755488,-0.08123269945638863,-0.01561394479183871,-0.043507688447413165,0.046641071507978644
QDPR,-0.026053651698340445,0.03349519310436546,-0.10474648602948224,-0.03390749737768909,-0.08433967978418365,0.01161580681983393,0.008620021086263576,-0.022169535142768215
POMC,-0.009143078673637466,0.07464386887580714,0.0056556257652016296,0.01857139819986364,-0.020435716560050908,0.012928421814788742,-0.004233340413896685,0.043837696925629034
CCL18,0.012262694253261179,,,,-0.02348425086883079,0.10503482748283985,0.03549883655171753,-0.038254439526126664
CCL17,,0.020677949598347352,,-0.016234570883181473,,-0.014604112792709826,-0.02348511710399895,
VEGFD,-0.032280043301414034,0.03459215474471042,-0.027369882377259184,-0.017399092454336712,,,0.0830153082785618,
TNFSF13,-0.0243595565357604,0.1647587025228146,,,,0.03493115141863917,0.023773038704656715,0.08091679062961273
WNT5A,0.021420546136859106,-0.008321843745215812,0.059096473816151976,0.08280638319282534,0.05749927107189468,-0.019196337820320982,0.046316228959563326,0.019524378815239125
CXCL8,0.042450462543158506,-0.002290828136104754,0.0666694349004455,-0.04599928948529965,0.06782484369183893,-0.09157165024963726,-0.05093275493873818,-0.02283829827295732
GRN,-0.01600011547695837,0.012714567077478959,0.06244465643356009,-0.056154918165458687,0.027942196218995415,0.05002189162583403,-0.019968520466289413,0.06483816179049036
MIA,0.01939225871601954,3.5566518996489156e-06,0.065644203616382,-0.023828854474171896,-0.0744962063929838,0.10878664459755732,0.03293417761382235,0.04797496605265545
COL4A4,-0.03876805742652576,-0.008250707223005449,-0.016099503855028015,-0.007994524705952258,-0.029691430829214358,0.046303169554464625,-0.026048984586332466,0.026511617818206993
TAC1,0.02320633121080711,0.03996728281634051,-0.07866948970228227,-0.040964392256510836,,,,-0.02332181041532054
RARRES2,-0.010387464964221405,0.06285171685219379,0.058956576433716365,0.06974883038435221,-0.1179265854051319,-0.05672005748269297,0.0007424126087903637,0.0694824791324837
FGF7,,0.037278768028752296,-0.008751547913699148,0.09796258203913097,0.036950344121552556,0.08643334583535243,-0.0026367698308200653,0.04515920464607216
EFNA2,,,,,,,-0.015462460260855399,
HBEGF,0.029691485574438462,-0.020079291393266207,0.0790730294927894,0.05389083846611585,0.04146238229338118,0.017258248139169402,0.041416384729436435,0.022967345769124018
CSF3,,-0.030322531497003317,-0.017032965201650086,,,-0.04995278748808098,0.0012026175721161231,-0.019379408756106446
PI3,0.04015363744142634,0.023210759312445615,-0.019179343627865008,,,-0.0901418502653198,-0.02630805717931203,-0.006619159718242924
PCSK1N,-0.008042079864940219,0.021120493025640848,0.03865231646556614,-0.003858990057283433,0.03174217316266277,0.02674598872186727,-0.005174024715528172,-0.026350630092191595
NTS,,,-0.020935563151458583,,,-0.034069874913277204,0.0022058807609472916,0.005775858984946256
SFRP1,0.033626224567086395,0.031989575578094086,-0.007945640936138225,-0.01563980951576834,-0.007991617321228066,-0.04374667306551273,-0.024369620857692863,0.028009225095664614
CXCL13,,,,,,-0.006551181263857668,-0.03972746829449671,0.0031184932486297084
MICA,0.02758182260759184,-0.009267257972956588,0.03245313168120889,0.0075750484576156156,0.0013615556687913508,0.06762186732288125,0.11948072996214003,-0.024286119115175295
TG,-0.03690433514516549,-0.023954706510011265,0.01677847757913886,0.004240462769828207,-0.03823785098196511,-0.019405214664054107,-0.02320114697200648,-0.01594955120152648
ADA,-0.009533358595471095,0.038750438131644076,0.06412124865040658,-0.0005166095803922734,-0.02467780140929581,-0.057364262310514086,0.004493077244833983,0.029645052140315598
LAMC3,0.00130398959068774,0.020809870988756536,0.12964973910437752,0.0030875028125740053,-0.022100841054261668,0.027570365343095496,-0.06513854436967983,0.035075641071465866
CCL7,0.04719841198426125,0.08149786584046696,,,,-0.02188819881919158,,
NGF,-0.03525384597526177,-0.02350995765898561,,,-0.013445305555634808,-0.025279117353361746,-0.015254618781130838,0.0022669416766256446
TNFSF15,,-0.0192857924550973,,,0.08474638411262449,-0.02133853601596555,,-0.012034280134144542
HMGB1,-0.018123740073919897,-0.013999427548767812,0.04957268215797543,0.030504225870694283,0.08473278853086016,-0.0009238951381942637,-0.050405250508676724,0.08517514617659852
ITGB3BP,-0.01060073104517017,-0.011247854688043993,0.09631555514585592,0.05070998192878647,0.005189975821622509,-0.03604770380909202,-0.0516078035063075,0.04997971736456961
AANAT,0.03855896373865965,-0.0009701679202487953,-0.015364195556639653,-0.02177712398631022,-0.02445983169601076,0.003134100043168116,-0.0015422309734077974,
RELN,-0.033205405038711285,-0.011743007086568108,-0.016790938363180914,-0.024109155913506986,,,,-0.014536106219093087
IL15,-0.006995183484435657,0.00950669394171392,-0.0400760828569886,-0.020197275975005296,-0.04134782915690206,0.0014366751868282288,-0.037725224574802534,-0.003900544885040401
UTS2,,,0.021384235498111154,,,-0.016352016026483934,,
BSG,0.007951276691258889,-0.024443242721900293,0.003406838560777462,0.007740894398557475,0.06597595296763338,-0.027961418062732148,-0.015145837717120842,0.06361269898456953
ADAMTS3,0.017215663706104493,-0.02661511719423617,0.0777247449542355,-0.03356135415429544,0.06876713610902171,-0.018440197481229506,-0.008619857271668963,0.02830660135613098
CD34,0.03415515900885645,0.04317503862265294,0.06540333699246889,-0.018736655155532828,0.005694332226499175,0.041149787590616146,0.04882696960132754,0.03638525382302302
CCL23,,,-0.017482015637937987,,,,,
PLAT,0.014540619901229429,0.0020412286406260517,0.08917433438578679,0.0539282104274765,0.03057569512832789,0.03286075411207121,0.06300488559137114,-0.009061596899566987
NTF3,,,,,,-0.021052763144968994,-0.0006082176074391043,0.027586905690061485
LTA,,-0.022197579733659496,,-0.02019727846816647,,,,
CKLF,-0.008354267259217917,-0.0227840055786103,0.08290416759464896,0.03975913481719813,0.059237672261730996,0.06073864217187506,0.07009660201533878,0.038388948660395314
CD24,0.016754804301712833,0.006510822059228888,-0.0007489173212911831,-0.002820147368164735,0.09222635967046709,0.019070285267299994,-0.016590397195269477,0.05668000453967226
HSP90AA1,-0.011224195394309133,0.03555220574925147,-0.06665617361309911,-0.11669334923781471,0.03852313088077291,-0.09409065677031671,-0.060683891313469865,-0.034496955387665056
BMP4,-0.016742345158608313,-0.0031330870198693246,-0.04706105509449548,-0.01721016731918048,-0.012232112826745124,-0.03364605989396924,-0.014851244319193912,0.015127127741268563
SCGB3A1,-0.020532825912228825,,,-0.014093393817249573,,-0.0060985233373639005,0.01357912903825149,-0.02499140249341454
IGFBP4,0.009006391143823574,-0.017676350644848533,0.07982793523990765,0.018441661064139317,0.0818532122193473,0.029086246594779187,0.017875150076777042,-0.002432881031458919
RSPO4,,0.05490969715619827,,-0.003150252270417165,,,,-0.016830646003687517
LEFTY2,0.0193443489269982,0.0415185518873832,0.09302049980408209,0.03138397948400618,0.22107862646283075,0.0050732613716070124,0.027104238577203937,-0.005810724919781816
PF4,0.04268150194346676,-0.01511067347169552,,,,,-0.01417241534506833,
ANGPTL2,-0.015366346742294658,0.009808645850554293,0.07065205920714758,0.04119918643547348,-0.011596310180479704,0.05468467852866644,0.043187925078831166,-0.004087287612835994
LRIG2,0.03580976631597107,0.04760213137058813,0.007231602912836641,-0.03348704029117146,0.09080829069417135,-0.0035549133913100545,0.02484207914539651,-0.04590796835511275
ICOSLG,0.049102477502230714,-0.02283043364936757,0.04619631384603214,-0.03359875424148563,0.03800348351461583,0.010299323335395868,0.014462197828580915,0.0010754529773653342
WIF1,0.03709336421323473,,-0.07040706456995038,-0.007845568970051129,,,,-0.015645715708879966
NPPC,0.014625323088923496,-0.023440380943771346,-0.00241298977719743,0.07191362723324844,-0.029288102092224436,-0.006410897747547277,0.020275173640051155,-0.002781966383719246
LYZ,-0.028850437121865326,0.034349836397828376,0.03251676728781158,-0.03146096308883224,0.11371031752694181,0.001164227318181323,-0.0006070089681160546,0.006603641286507996
EREG,,,,,,-0.014921871133077686,-0.04503345782453547,-0.02096285336347065
SPTAN1,-0.04214122580909766,-0.009954204270705808,-0.006081525434144983,-0.021546350941832316,0.05621219339544518,0.01593648838623614,-0.0006369799078473843,-0.008509168068859955
PTH2,,,,,,,,0.043936251084175176
LIPC,0.026457789691043187,0.01481874955955636,0.0687951642805376,0.057530699405185494,0.07443558988190425,,,
