,UKF248,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,0.11619123370899789,
BMP1,0.039354528041669196,-0.02848489872921438,-0.040807002993309326,-0.03868602936937702,0.04394708545173733,0.017738345816176105,-0.007807933732469632,0.04208478247047079,-0.12932917284883858,-0.016411989848951026,-0.05515571639327729,-0.0314405901273411,0.03465986154533222,0.02356010098972021
NDP,0.04105544541616545,-0.005802009540058036,0.07083031469668971,-0.04854958393346834,0.01998996287842867,-0.035571774315898315,0.009485355672506671,0.016445694640311804,-0.04430496172757015,-0.004860670359213132,0.08399550873600065,-0.05001269864490432,0.018919560334559656,0.023219824179256096
TNFSF18,0.05137121726428599,,,-0.016407526333156966,-0.01556375511435287,,,,,,,,-0.008765478750951862,-0.0006324762708597308
IL36G,,,,,,,,,-0.024451468085885723,,,,,
RTN4,0.03826920438239243,0.057735073688248956,0.1450939445893124,0.026194207031912043,0.07074649193881605,-0.014190928504270712,0.10039737911526092,-0.058536539737387955,0.1735221630761711,0.04398091745567553,-0.03106915307395686,0.17182342956738225,0.021986313900232833,0.03404503587935116
HEBP1,0.019239538936405298,0.03055805460044729,0.01978397018060349,-0.0020945004650985287,-0.02246893380160006,-0.010127494792351227,-0.04824067914034128,-0.011711473012142141,0.02547950067451604,0.056426684879503745,0.07354504346870222,0.04488180713566963,0.036903819306025994,-0.029176678391380037
WNT7B,-0.02338154446133703,0.0046797459298263885,0.04033530061764815,0.010881929235153928,0.03985547343015881,-0.014006904281507757,,-0.011655850054861935,0.1156492638183092,0.005134053395595054,0.029389516918820118,0.014340200405667618,0.05875467399788389,0.010956323551713297
PTMA,0.011351626688914599,0.03744966107335469,-0.09779452487713172,-0.024197075877629155,0.0034894390193981107,0.0020885965625536975,-0.08647120203305918,0.0642898384049929,-0.21300354521750628,-0.11790710078819942,-0.021040678996772758,-0.022976124080789445,-0.05569331599085466,0.009720587598685026
FASLG,,,,,,,,,,,,,-0.021285005010258776,
CEACAM1,-0.01606452072993055,0.023448230014689198,0.06152997216062873,,0.05623939843559926,,,,,0.015432231636517258,0.02852824403017512,0.04786182788690526,-0.029614958273576214,
PDAP1,0.10044168575894727,0.008956777436056485,-0.044238345274639566,0.019818384965274015,0.043514462431769325,-0.01895268993344249,-0.07887823047299891,0.05091179778649092,-0.07326346373079154,-0.06511457888490815,0.015294659432705334,-0.00016050294519348037,0.052871236191775695,0.02326012504673741
QDPR,-0.0655175353950439,-0.02817608284764313,0.13354263918250783,-0.023023053739847203,-0.03246621875803207,-0.04899816831916197,-0.10241230370965275,-0.0016737492729777196,0.02969337089429379,0.09091232147764645,0.11793713832442891,-0.007692076797961562,0.0364726257938526,-0.06572394939715528
POMC,0.030558294248902308,-0.012133525813432688,0.0014955719186610873,0.03996793491498781,-0.018058950681931852,-0.00594377343277208,0.019381624718050813,-0.0015547978090762425,0.009651173702737931,0.01937764758103148,0.018756351330202616,-0.029585901315924448,-0.02610828442938188,-0.01967438664389171
