,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.018276109671776265,,,,,,,,,0.020296133048606932,0.03868925576319911,
BMP1,-0.01410818209781112,0.04518668050704074,0.02182707147504768,0.031405648100051524,-0.0126504681351055,0.09140691307221309,0.043380769333006615,0.037231533572059924,-0.04226200805879598,0.07791322408791089,0.03658896890175377,-0.028922741542981665,0.0541686573191805,0.1054819665323899,0.028619817668055936,0.2272148638910605,0.008071124013221298
NDP,0.012235381359929654,-0.014805650400894292,0.025924667237277776,0.010663097087938226,0.05260684265775932,0.013996716920664109,0.01650977646442478,-0.011658648915284505,0.007062608322845848,0.07086337677344022,0.046951088056421945,-9.808376481039384e-05,-0.023361741518805833,0.040703847056815325,-0.03625808170887003,-0.02151344201024021,0.003942786044206001
TNFSF18,-0.012427414793353589,0.01861643786794522,0.005072669805597613,,,0.029161753538562898,-0.011634197129555482,,,,0.028161123508595228,0.027792828886701867,,,-0.023692784181439965,0.06855684462749524,0.017720757423000482
RTN4,-0.02094374145596357,0.02150839486188056,0.03739395588036244,0.03986757625686756,-0.014078590314720193,-0.1330014373495964,-0.06410112168158634,-0.03492602758724018,-0.015046280995420757,-0.05998355507624316,0.04737470653308716,0.15872727143310406,0.010501924212770868,-0.0712046797249625,0.020216973332051406,-0.10254848752700389,0.043244168062652154
HEBP1,0.04197340296649772,-0.018235183713154888,0.03491111911009391,-0.03104848975811275,0.04703517418739022,0.029653127174670356,-0.018521153580846005,-0.021823274696622562,0.02836258958971252,0.027223004904387036,0.10707649429667605,0.10804119445155728,-0.0017544983969311812,0.06967774970535065,0.05035401345168132,0.07278046077130686,-0.04190778844361802
WNT7B,-0.0003140495438434026,-0.03216844104000399,0.015443881504396649,-0.013275048874017347,-0.04446709262617738,-0.06483657455676226,-0.02541369605609185,-0.006555151037460157,,0.006463495293176508,-0.015312210263552492,,-0.001905525071633529,0.037183881327288254,0.005800024346910538,-0.03657717361580453,0.003350087902079507
PTMA,0.05543425104103889,0.06419804726605416,0.015446407279631697,0.031397401668139535,0.01426978315683858,-0.041533342765555994,-0.010028843464226509,0.005286341149974571,0.030493462641058077,0.158266909089552,0.03672378330664964,-0.05466681630052336,-0.06431101947093851,-0.013725374295125652,0.07738647032663634,0.1571363055644006,0.03891065623985709
FASLG,0.024775988491673645,,,,,,,,,,,,,,,0.024736809869955075,
CEACAM1,-0.036280140646586086,0.06303356789655253,0.05082025904836293,0.05483016346186149,0.06762730470153176,0.007305669001708042,0.013824950032609279,,,,,-0.03404553095414066,0.02414791653137584,-0.02272678517312028,-0.03404405730858117,0.015977916671130417,
PDAP1,-0.019197282157494635,0.028171455420534317,-0.03291518197571778,-0.03986788674706539,-0.006395185769601019,0.09086239398340135,0.04591669708507823,-0.017264424110172927,-0.009801801874118226,0.14030051247820782,0.05718352457569961,-0.011062611666960053,0.0023016225678557964,-0.024679741664804408,0.002568449077675069,-0.023983947621182715,-0.0685599049688644
QDPR,0.16204957063311842,0.017834887170742518,0.00011498537659237714,-0.02827974675406911,-0.007098499954736707,-0.1298978520428833,0.011052072476743509,-0.018534410084985038,0.12225950222947737,0.07207990284144812,0.011281040153564697,0.0924856245211552,-0.04562869101429156,-0.02358827685758436,0.039906405711566464,0.00860951930877448,0.07526154498433514
POMC,0.045432504858352665,0.04477980870877285,-0.0013990083202557024,0.004770018365869393,0.03150311039259225,-0.020375858629482983,-0.018842383872585862,0.03813352503919417,-0.0038293721228784524,0.14270945577485603,0.07037913546961788,0.016277991097511612,-0.03508715415559598,-0.0032795876839404182,-0.04096896115400462,0.17082803490312018,0.06898825483458881
CCL18,,-0.04607368075148264,,,,,,,0.00957191629117075,0.18496150024599528,,,0.2056161161773253,-0.029976970745580804,,,
CCL17,,,,0.16035541759137115,,,-0.006730654263392745,-0.02551622111862688,,,,,,0.11926792979101238,-0.030290024221296126,0.027577281012375374,
VEGFD,,-0.04650671493402174,0.0035019454712542255,-0.03934945625651094,0.0708400078560963,0.06114958877852346,-0.018965709386525073,-0.018716456769033055,-0.02737773668396133,0.11112229827475693,,-0.04628415326425107,,,-0.031946626558124976,,
TNFSF13,,-0.02194691170346905,,-0.03170914337596978,,,,,,,,,,0.041577640063859125,-0.017081155794036688,0.0779718474602617,0.001050144083337829
WNT5A,-0.0004579423268316732,0.06013168965809974,-0.02487001816169882,-0.0007727076735196945,0.009465789139834284,0.07286905654546902,0.0039962935388231716,-0.03204123144193462,-0.03479499289583169,0.035676713153710946,0.10121274822520623,0.06436166797226672,0.005071326202832568,0.07915334389551615,0.012280246896672299,0.1966878460812114,0.01729570096265846
CXCL8,,0.03403200693707994,-0.038318642505495805,0.0036674431567212604,-0.08883780173014869,0.09132394045022199,0.03791422556846814,-0.017429578361919523,-0.032576142055553946,0.005533896764250207,,-0.013797575624271073,-0.04478285589612096,0.028401578639557303,-0.04300523163489838,-0.025616535521852283,-0.05830072966253632
GRN,0.16374219795357128,0.12353519124659443,0.019838416318526647,0.04779910505252836,-0.0018259653371028733,0.10445841134237992,0.053040051867540315,0.07264007125180279,-0.04017506261553081,0.04539986416900102,0.04533619934417153,0.03116546372849895,0.17737522746211126,0.08690676443867897,-0.018343109235953555,0.21690338492958505,0.13843166801341367
