,MGH258,UKF269,UKF304,UKF334,ZH1019inf,ZH8812bulk,ZH916inf
IGFL3,,0.016514279516731154,,,,-0.028517949565476722,
BMP1,0.026945537466748094,0.0470210401763008,0.04180112473372225,-0.023671788336073304,0.027217213195773086,0.03196909414457698,0.13574486737848834
NDP,-0.011661798635395617,0.024044982690929414,0.028483139343209535,0.03999762657584936,0.04814010727149963,-0.09035979008507261,-0.022965962323947972
TNFSF18,0.067615174676313,-0.01907199706202238,,,,0.021903920221762813,
IL36G,,,,0.01203741133649823,,,
RTN4,0.0320931711233426,-0.05355338375875802,-0.035458561806501955,-0.006945536149811632,0.03641820897296519,0.1022486307108698,-0.04224951703534073
HEBP1,-0.06397881323778717,0.050542638698499925,0.12925923119312158,0.05446046571058745,0.010409227027171602,-0.06787504272682478,0.03600640838669
WNT7B,0.08286762580032392,-0.03451544827673025,,0.07747769314004048,-0.03139831897945828,-0.04284172124650371,-0.05131416297846046
PTMA,0.03179715501638164,0.023848369120602213,0.0806858451548191,0.04926009136400662,0.00490598751737034,0.07973467824574713,0.10093265365398402
FASLG,-0.02178438237829191,,,,,,
CEACAM1,0.03294414861198597,-0.025097661873891373,,,-0.028158515378587132,0.019322155853982007,
PDAP1,-0.01074086838370171,0.009630167684702661,-0.01786590020202958,0.03853795561588593,-0.028112991892068263,0.014394319625689328,-0.027177614828211884
QDPR,0.10615128386225878,-0.04989142918517858,0.14086780216946637,0.030549756131030326,0.013890601854723931,-0.02455786293612597,0.14592258844727768
POMC,0.02007838633520918,-0.032352277563405495,-0.03866085455823756,-0.02860208369342468,0.028540970870338554,0.04080424691292896,0.023428751861481557
CCL18,,,0.05895136323002904,,-0.01996485037382208,,
CCL17,,,,0.041765290203716526,,0.06593311352337676,
VEGFD,,0.04996415235743282,-0.01587549338789202,-0.01307020804861722,,0.010142516990943668,
TNFSF13,,,,,,0.04843458791282122,
WNT5A,-0.0379248595199649,0.03703073138308396,-0.01626720245640294,0.034467037457709904,-0.01797906415903496,0.04804780815660221,0.01774937104631785
CXCL8,,0.07385244652968097,0.018525507132930778,-0.021904540901709506,-0.03515126241370746,-0.009892032193589069,-0.11017124458615589
GRN,0.07710498421833267,0.06229811683420696,0.06030241132427345,-0.015766855361475145,-0.01953351155903561,-0.02477789862615179,-0.10165074966684279
MIA,0.05151632572261827,0.05415646752228751,,0.0005630968447176641,-0.003984799554599823,-0.049919359020047564,
COL4A4,-0.006307242301728943,-0.012656173354336326,,-0.01736390551447368,-0.02524180895532504,0.00786352241898564,
TAC1,-0.0217843705263058,-0.021551762758844302,-0.08746035798618884,-0.030772474528940694,,,0.027579818272936048
RARRES2,-0.044100666879230206,0.018862507158216257,-0.026707915868131735,0.0572886406034208,0.020138794328376577,-0.07217147501427719,0.10814671418137103
FGF7,0.07871869627056836,-0.025140237017712876,0.023612413954465672,-0.0169304989317869,-0.033075542397636985,-0.009370033433106427,0.013063705545749494
HBEGF,0.025074471861236083,-0.017519739066111536,0.010813945008184585,0.01527178357451359,-0.008688567846371875,-0.03732121131217123,0.05772187614745458
CSF3,,-0.013389987807800463,,,,,
PI3,,-0.015077303000293167,,,,-0.031946711455531296,
