,MGH258,UKF243,UKF251,UKF259,UKF269,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,-0.014337208456344303,,,,,,,,-0.009832540028527416,,0.05278121927763468
BMP1,-0.04842791313608145,0.11620099131295006,0.021255704055590914,0.03336743083198608,0.06692220194398973,0.006840157481145283,0.04738231099115875,0.009083427391775515,0.05448487794950946,-0.03093211275278384,0.07294081702543374,0.007369580500809287,0.04135831053266627,0.0609747464165191,0.0007284017626777197
NDP,-0.0667394452784774,0.023258054204152414,-0.008950091387980193,-0.010347628653162473,0.045352908743803697,-0.04214894608221406,0.021951916436521144,0.0581498986778508,0.06606708774714719,0.046657113159212046,0.026813458864546915,0.05207716841273987,-0.07248129348783322,-0.020429585913221044,0.10805612238588747
TNFSF18,-0.01871251288730824,-0.02385246804137673,0.0275948135453471,,0.08530281259288319,0.016425719144692662,,-0.020681795178380993,,,,,-0.028787292730202727,,-0.019400401059915477
RTN4,0.05962278322509538,0.060873113979609934,0.014948065746537996,0.04345862342625771,-0.09089983109771264,0.0033614402934528656,-0.02175890140330029,-0.004759410329908126,-0.06321177957769085,-0.023174618569618884,-0.0030413325176799656,-0.001389268959604363,0.00697655990225829,-0.020214781491309366,-0.025054868396284975
HEBP1,-0.003602063992941878,-0.0010046002826499857,0.017536637281750412,-0.0589048202452512,0.00741028745402801,0.01682790064030104,0.00976600759967344,0.014123596104129933,-0.06186636715673414,0.07225325037728364,-0.004757424228902076,0.02023247477452363,0.046285233485737286,0.04986275869689973,0.1066837986368395
WNT7B,0.09931976377420243,0.013353762796074814,-0.023455856622931637,-0.018346801531086976,-0.033388496390408556,-0.021923325886055722,-0.009901823031770248,0.05933033981776361,0.0529822627856897,-0.0327497496607693,0.07838310365123088,-0.03401645836666718,0.12257306348185706,0.004965942186849063,-0.05627582130463138
PTMA,-0.006907968473399719,-0.023738831574430297,-0.004278699740073681,0.05221948375523205,-0.06281613905445567,-0.0020368103211131786,0.09238088233084221,-0.023581027275699,-0.05987634969341219,-0.01573432267232422,-0.08516200261079201,-0.005119532915945611,0.08802898387115618,-0.01879874898677474,-0.06942997234393376
FASLG,-0.016485142421823133,,,,,,,,,,,,,,0.02609860143154176
CEACAM1,-0.0027932636480763385,,-0.018000959183321116,-0.023840077576320163,0.02549640208189787,0.038664539269082414,,,0.06230031527393121,-0.02937050005992269,0.06432083159696501,0.007791162779004461,0.05979472156495974,0.028702972266634146,0.050821641299565255
PDAP1,-0.026784100278137525,-0.049603994905865645,-0.010373206297773434,0.0007078873706391376,0.06689458662886133,0.007027311327930588,0.02245637095092262,0.06207419299828892,-0.053010452989261235,0.0344187145438231,0.041359148597186285,0.005534288730991251,0.02763791520474777,-0.06921108184098823,0.026010827929504165
QDPR,0.1044992298956953,-0.0008935971550421503,0.036317065059166494,0.025575435643879284,-0.08979406260778687,0.10803385045998244,0.07127105254373002,0.05740456867994514,0.025712147987464073,0.04779954838978794,-0.06982975767830354,0.006611352921123089,0.03876539303460273,-0.021680511810811362,0.08649318550628082
