,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.02071949679446657,,0.07505808830394982,
BMP1,0.08245341984010335,-0.09587673821804765,0.015720281682389932,0.11290377828534504,0.01638484979741812,-0.00048742357623809816,-0.01761769492618591,-0.022818973636080868,0.06003149514636121,0.0780566088906392
NDP,0.048326056181151184,-0.026613898275995154,-0.07098248472834735,0.017649312527886405,0.057970200667134916,0.09885122260670831,-0.03633901076715328,-0.028047444719637552,0.03643154993624902,0.07640962633924174
TNFSF18,-0.043241346604724694,,0.0016011550629831685,,,,-0.021367651323537993,,-0.04299306144144535,0.016370179604863266
RTN4,-0.008812782449548414,0.13896203023952783,0.04056864106729626,-0.030060006342308328,-0.05085591635677831,-0.016410671541546542,-0.020429927649914754,0.02011257308929409,-0.005935180025286858,-0.1279966084503345
HEBP1,0.026825430145379688,0.011199771276682001,0.028897531985966993,-0.07377854334422411,0.010044089035765185,0.04551829863039621,0.0016120370023438757,-0.05682208259935982,0.015303688721944247,0.01876052658260501
WNT7B,0.07035837414588444,-0.06496706196808219,,-0.03810891570562214,-0.031998355567797045,-0.010396228149443085,0.03598997367638039,-0.020366670429130585,0.02830252458690814,0.07177528252004634
PTMA,-0.04381529224948408,0.01837558772241236,-0.029344601241213252,-0.09270651831675211,-0.058055413209711526,-0.015492995856415939,-0.023602974470013135,-0.04550384131962116,-0.04152059693927444,-0.0035996220553013935
FASLG,,,,,,,,,0.0334771743555503,
CEACAM1,,0.04485667056051029,-0.03721341221798708,-0.013145976011642297,-0.017930256843269942,-0.016893073170700663,-0.013713096280834598,-0.013517655370567795,0.037584709359560584,
PDAP1,0.037783068903584245,-0.05406920097551744,-0.03731208170231224,-0.11315048778284138,-0.004506576600049368,-0.0442946514839038,0.03375789118649909,0.008664960193994592,0.017611213214499585,-0.020557031131922858
QDPR,0.02637908776427453,0.03399836729062005,0.031841160655601185,0.0395206547309685,0.017613271522487994,0.016417237395402934,0.019236736023395404,0.018703522009137535,0.027530239425613123,-0.07725064277112906
POMC,-0.0004976580603368068,-0.05171201427222768,0.039643376705612965,0.005339144942871832,-0.032328257972458335,0.04643431776129752,-0.025135902712409796,0.06212774739783052,0.08231206464213511,-0.012105264416099952
CCL18,,-0.04194790888058134,,-0.024231832298700698,-0.0195749771327557,0.0280397516108268,,-0.005892647874341508,,
CCL17,,,,,0.05515608961950557,-0.02438621165947677,0.010430320735479682,,0.060810802082569615,
VEGFD,,0.095405176111808,-0.03006889040683746,,,0.030723499490369535,0.007145596230141057,,,
TNFSF13,,,,,0.1767393350142338,0.004724777253963698,0.06166448129064021,-0.01517942099361404,0.020641506544004727,0.015623445102072066
WNT5A,0.04141654360083741,0.013725237442358174,0.14857452811502692,0.028749657329638835,0.03637168927470841,-0.004848492941634285,-0.0245407011829715,-0.04537673703202301,0.014067050071384824,0.06835156745493211
CXCL8,,0.051510484213809056,0.028960231340213857,-0.04266395589988663,0.00534246131128726,-0.08894241032639043,0.17835049287508228,0.045081925737514635,-0.04325110076723391,-0.022250575910879856
