,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,-0.021561440560411035,,,,,,,,,,
BMP1,0.013644337700092303,0.0235884161580093,-0.029576014698544425,0.02355881466700656,0.010966771424259449,-0.055306928577590744,-0.010763625329762175,-0.03772117223670218,0.043724600402527396,0.0015952354112416748,-0.05336504029960415,-0.020685877129218058,-0.06255749133823853,-0.025099093918574917,0.010448179424047245,-0.017197316514525125,0.03964719418081291
NDP,-0.044948435166879054,0.004449859928879618,0.054365960771233554,0.010504870259694866,0.10358190875447734,0.029054893466436978,-0.011521775818211347,0.016997070903480918,-0.03599094694169872,-0.009260724693676175,-0.046402698231386694,-0.008876109000626315,-0.0051621846026950685,-0.008455847901201798,0.07275585077745643,0.03905784230081833,0.046307816888017134
TNFSF18,-0.02457831696557091,0.0038428301001994787,-0.03462798782367746,,,-0.04318243609153117,-0.032018091940027,0.02314445235427957,,,,,-0.059144596806234365,,,,0.013852386373229572
IL36G,,,,,,,,,,,-0.013752906234129775,,,,,,
RTN4,0.1481674180206955,-0.044156008459759484,0.024149666829933584,0.03848813064728226,0.09799075979130988,0.1009653707714722,0.04724243001023408,0.04750805566187871,-0.012056321711421548,0.11236306635092255,0.08344018876549382,0.01925552913405715,0.057508482029352326,0.016699679242971034,-0.01446195373799873,0.13025959007546614,-0.0010550722731388468
HEBP1,-0.04260762076790274,-0.03362928241576653,-0.06306593425189047,0.009125928294087246,0.01792999924940596,-0.08962074809270047,-0.03786913959170176,-0.0030385772322668743,-0.014734427064410261,-0.02172171863964449,0.013756793907709522,0.06878164202951062,-0.013856944064138534,0.009158383946931331,0.04967144363567558,-0.0389017845221536,-0.012102116975271875
WNT7B,0.21800207163592372,-0.015296074303374962,0.040999158929710344,0.022566480499297364,0.0049195896504850576,0.012637732008278084,0.014083546907121321,-0.015492595939680257,-0.022741229098714583,,-0.015116028855470032,0.019392734950933074,,0.05145656366619684,-0.008775535428004128,-0.04670393203060202,-0.03182495809056247
PTMA,0.001188724295916516,-0.004564895110733584,0.020687088510932445,-0.02280213657849103,-0.08650003030581209,-0.13226285988892386,-0.04887774859014111,0.002688010485390989,-0.039585734653791,-0.14128031752423562,-0.054645655655505984,-0.05139849733991305,0.12523952449430742,-0.07085876498180062,-0.022827815440877103,-0.02878547748338214,0.028469220348364226
CEACAM1,,0.02833376789820337,-0.016507502800014773,0.01300851745264792,-0.018242959902937703,,-0.04213398537891518,-0.021468372607582345,,,,-0.04514820612728414,0.0554474956784907,0.05137723157339475,-0.03342268986021092,0.032081971398906256,
PDAP1,-0.016896102201666704,0.04579881205581409,0.06162243082351538,0.013581371972350287,-0.029588892287920866,-0.08292082223730088,0.014487836124646882,-0.04466289599148722,0.08947958579348193,0.009688785447379127,0.020363978478912425,-0.015245273137755833,-0.048250565180271925,-0.016599736444348444,-0.07982962114684405,0.08141609388067844,0.0031945692300911553
QDPR,0.1123221007265905,0.0428890131277654,-0.01021026822011866,-0.008503602595416312,0.026396129620149637,0.10064627509765871,-0.005748059348424983,0.07586089138278104,-0.007862209898861865,-0.09687689062091386,-0.00938907108253806,-0.11840570677099618,-0.0012767601235035154,0.02079193001512546,0.10616439248942545,-0.01649406088692573,-0.01023917045866539
POMC,0.04289276754121198,-0.0015930014835534643,-0.029331198825750065,0.026633908894064005,0.10671138754930937,0.0025251856322976683,-0.04628901596993598,-0.02695346658511562,-0.004777205124418279,-0.021068062439637773,-0.016774151208806484,0.09433732528131238,0.061382209797343865,-0.06011514749984943,0.03799013299139048,-0.04549222702140582,0.0033402634534166887
CCL18,-0.03296154398393341,-0.0205611241851702,,,,,,,,-0.02213832928185971,,0.07239778873073223,,-0.004821181043184033,-0.04932901196380833,-0.03350945949829336,
CCL17,,,,0.02500734733571235,,,,-0.01896813501754188,-0.01798579247200339,,-0.012563670289753155,,,-0.023050105949191938,0.026857470201318862,,
VEGFD,0.025851916840374398,-0.009426444720861573,0.032521256586822374,0.01847833597785249,-0.017453831152334766,,0.029208933651388512,0.035276191001444086,-0.020646360464031517,-0.01678427340395082,-0.013464874588319286,-0.0436136503583772,-0.01822244051148999,,0.05359711894120548,,
TNFSF13,,-0.023808189400606757,,-0.01658545815057566,,0.0027865001189490866,,,,,,,,0.06973721928614311,0.047968644873557106,0.018448507626309084,0.015232457344264216
WNT5A,-0.04065040923715519,0.050247021111894385,-0.01485574149668957,0.037918066174833884,-0.008067892456124898,-0.11228983121405045,-0.039888629385612336,0.022994063751240867,-0.07260159825130882,0.06980511078334839,0.0351678403010759,0.08666507477694985,0.08611036505821687,-0.005118346301974046,0.01845678308933051,0.0016893272900669293,-0.06230516779683532
CXCL8,-0.03165529037342952,-0.03564990471848798,-0.022138546043835063,-0.02038883985019356,-0.042699845457800284,-0.05318903671409318,-0.0015267178341410912,-0.0227222223414959,-0.004120349923507053,-0.04458687197222643,-0.040483725740839686,-0.08463879777222656,0.073419921723731,-0.01415112007905226,-0.14100158244482758,-0.06774556380487266,0.002689641024195064
GRN,0.014739013549777339,-0.023816386359177693,-0.00822737427898443,-0.011075295528725219,0.009175363052067079,-0.08988115221206448,-0.01236250718478057,0.018346130686565394,0.03394191905186303,-0.02823040283109756,-0.021268081893821972,0.08105432065189762,-0.06367505434833276,-0.007486877248131432,-0.035757687651879685,-0.05220856105989788,0.01962044548402772
MIA,0.029840568898109102,0.004937574640062111,-0.021027040744133325,0.020480694486744513,-0.052960954529426174,0.04572878718874187,-0.0013778801657272361,0.020139010583523326,0.0008601384813762091,,-0.018440762811054737,0.005449010875492122,0.04897806645152184,0.08663205698887173,0.1706043525641906,-0.06265194068635066,-0.014151455768637775
COL4A4,-0.003006502357654883,-0.028617137141477112,0.011376226916961192,-0.008355234786792001,-0.012924048421734904,-0.03984502365874717,-0.021247199270755888,-0.010764663896202937,0.02093010271379033,,-0.01788822406239733,,0.000771873724170223,-0.006460010236192044,-0.03794759383797864,0.059793467094728485,-0.04775912982078606
TAC1,0.28292675657541055,0.026910083489843393,-0.038826918380092,0.09827296930382665,0.10480212676183444,0.18501575142137616,0.0754801009613057,0.09580513951009931,-0.03403236430514964,0.10727784690606788,0.06010354418010297,,,,,0.03880505760593425,0.021444413992452296
RARRES2,0.002945645433991397,-0.011114637082427102,0.02523125252705982,0.05376069426888697,-0.08994589755286016,-0.10749455090236876,-0.061099634860063354,0.10260403270283726,0.048309641667591594,0.006947465427681288,0.02341172619506867,0.13021956409546212,-0.03777228713020827,-0.030828329294087065,-0.0741538010701859,-0.04128502590465115,-0.016434033002710322
FGF7,-0.009377727457085117,,-0.026686271410709648,0.06329243572682272,0.06387520074253755,0.028971378972586746,-0.02809124865512094,0.005206806315080963,-0.01700430474846694,0.011597623290577197,-0.048124300857074996,-0.03420578846418297,0.07613387449076205,3.5867828017594066e-05,-0.018207555890368553,0.018794792856688895,0.04362766795133536
EFNA2,,,,,,,,,,,,,,,-0.0317660299628775,,
HBEGF,-0.03738146362598013,0.02631131077522929,0.04643400400751231,-0.020407379107629093,-0.06668091531674297,-0.06533644768493804,-0.003485292874326676,-0.10748709689146842,-0.04139639482963002,-0.062312752177441054,-0.0024423400451162674,-0.08336651023976281,-0.002198610695554159,-0.01914209857855143,0.01037196476358745,-0.02346873540240571,0.0064816665873076535
CSF3,-0.037385874847099536,,,-0.02865912059883005,-0.016839638320179588,,-0.022479127870657006,,,,,,,-0.016967063174718137,-0.06710130610753855,0.03246578314733055,-0.008844349075861194
PI3,-0.04428914377480891,0.058383882071511725,,-0.019409779356369457,-0.015969660153857788,,-0.009967790555032835,,,,,-0.00962976930800608,,-0.10544918855503156,-0.1752652361886174,-0.06686393968377233,-0.03824408389617397
PCSK1N,0.18093591452458066,-0.032968494650969384,0.09467398140236213,-0.00021822014985701626,0.07427694494746344,0.10096948854612327,0.03101727319410351,-0.06281960598214988,0.03475590142993664,0.1440507711759767,0.021860735882801272,0.011029915381071478,0.01567885200553276,0.1133715261829576,0.0496990557642742,0.06997696125985634,-0.005400500269076141
NTS,,,,,-0.017289886982994426,-0.024371956760208695,-0.027629552198008445,-0.03455382656441944,-0.046981992232284144,-0.02956590770625258,,,,0.041913568078072304,0.03714285841687101,-0.014664779263036729,
SFRP1,0.06977156341766572,-0.028753502118291138,-0.040311994119935614,-0.020979882382599728,0.03459617242620737,-0.003862259076679132,-0.046042845582108576,0.015189375770917224,-0.02814726690535892,0.017964899255124643,0.02526597735339843,0.1023248518809687,0.026580910957776965,0.03208214151571588,0.07360254172945664,0.005694019048975571,0.0018992428518584798
CXCL13,,,-0.03991655800217539,,-0.019732846842274474,,,,,,,,,0.01783962997221583,-0.027671353697614195,-0.04668547478803271,0.024899017593071025
MICA,-0.06724760497417313,0.007944274141295986,0.02140489956196484,-0.018804112872704677,-0.02055321457052242,0.0385300659039053,-0.012249514214845469,-0.06771105907002989,0.0163235821561476,-0.016801159866007803,0.0024119269905900956,0.06860455599942289,0.028610947926002703,-0.04537921089604797,0.005066278730830683,-0.0680414510637782,0.013966314623659359
TG,0.028449919371999047,-0.004811716948612511,0.006233022676243717,-0.022640617022620255,0.05080084744653773,-0.01812709170384044,0.0019879504361423436,-0.010566103378539957,0.06334509580732522,,-0.018872405546009118,0.031544117109924004,0.0053121033483765874,0.02583631027248936,0.12631594430380508,-0.00831550916782072,-0.020298132521682454
ADA,0.05651267283189462,-0.024811257499671183,0.017236287652461945,0.06361192781255673,-0.005485639810482016,-0.01438138425164442,-0.07045092953409364,-0.0239570352229999,-0.033082606865953906,-0.0886001966657301,0.00346642120564229,0.09305096992526632,-0.1031558606071577,0.056148858256179504,0.05389425324625159,-0.02695356558000089,-0.03066205998233889
LAMC3,-0.01168991113203247,-0.011978245038397393,-0.03991655815232048,-0.05421789174020916,0.058873855026696044,-0.057139359789172166,0.01875564216630302,-0.05634070652725055,0.027322250622146386,0.0059983071763978525,-0.000732294271372057,0.09946078017369767,-0.09111752476700549,0.05348242569324573,0.053285346508185366,-0.03327085410728723,0.061936515951076736
CCL7,,0.01432023347501059,,-0.016369129933777125,-0.02616211169442796,,,,,,,,,-0.03454679575408346,,,-0.012992797030495041
NGF,-0.021539065248928232,-0.014304958301657116,,-0.02911191639973981,0.011704543104244082,-0.05357774057270939,,,,0.07796214780315387,,,0.05875703985355419,0.08013485081428647,0.007267261672179722,-0.028797326282567374,0.0008674061235314024
TNFSF15,-0.026646511861636198,,,-0.0022459055184904713,0.05431504498238287,-0.06505512306715365,,,,,,,0.011035001779869881,-0.03367924658964436,,0.0022332369091427537,0.03195808125210302
HMGB1,0.047117933410052416,-0.028385506604653284,-0.012622412228752265,0.03169070469603845,0.001019620034225371,-0.09223512975539863,-0.07945582021639326,0.0576575231175048,-0.029432545544044723,-0.02925026687265416,0.04088158050895949,0.045685820629357936,0.1245029408893846,-0.0421509235819994,-0.06992087115618548,0.012953326335009688,0.05731087634853879
ITGB3BP,-0.10937012494472577,0.06406622005492725,-0.0011448484010807688,0.006255147646918473,-4.67545991193464e-05,-0.059089209787182795,-0.04431879641394659,0.00984392853010451,0.042462614502389036,-0.0162602618856634,-0.053638888659732084,0.024066619358904556,0.07371747275765336,0.04458964588766116,-0.00759372288941498,0.035997338603713916,0.05174842882060853
AANAT,-0.02241330739810638,-0.029115726635067687,,-0.01658545992071004,-0.017453833643967524,,-0.020276781667705426,0.017696355152183672,-0.010931765765061142,-0.027796319691491413,0.024347239626133325,0.12278051003067031,,0.04088409834972767,0.029978725827349707,,0.10605969445085024
