,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.016649265365015934,,,,,,0.050911896458265965,,,,
BMP1,0.038682037012371766,-0.06517185753601538,-0.007349818438447375,0.02334470090777962,0.06828304712322526,-0.046881340353328194,-0.05207082212803308,0.045355913951430835,-0.03268871029549453,0.031977382552344655,0.038428313165972845,-0.08366393928273297,-0.03202853248252455,-0.07854133225049041,-0.0041431949552583535,0.07593224240337318
NDP,0.04914643139917859,0.03453954969400957,0.02340971679493342,0.02371156228559821,0.0486741577243515,0.01035150859459225,0.034845897609790684,0.01680324847849703,0.04817894412948096,0.10284115645096135,0.0574244525883538,-0.04871264445899314,0.028634547951898518,-0.05886749458116859,0.04679592165663087,0.13226776038970214
TNFSF18,-0.02597605911195345,0.05392301636791866,0.015917815739752594,,0.044719027197843965,-0.008608831822364127,-0.01777978123110956,,,,,-0.051176044549052474,,-0.04072959663514941,-0.023226562928419018,
IL36G,,,,,,,,,,0.020768492244816292,,,,,,
RTN4,-0.0546858366597462,-0.06402526394075347,0.017000629689516985,0.030986263166910645,-0.0663317011911079,0.06648597488858796,0.03498814457425743,0.0007543525418128925,-0.02044606959363458,-0.08581710700873611,-0.007741079631252756,-0.02913965867984683,0.04490909244169951,-0.03191576358612795,0.05201750187259501,0.04208357142979856
HEBP1,-0.06972357525799845,-0.022984471564867923,-2.8642238118532665e-05,-0.04224687199454185,-0.03428457195061961,0.021620349035903246,0.00561349701970703,0.023895472488734963,0.06641610881062195,-0.02522293445644042,0.0226842945690774,0.10248295095757409,0.04200170306232058,0.010473057242815852,-0.042471249378541,-0.13973608636379106
WNT7B,0.03383997513287681,0.01827065070505173,0.017003943633268025,0.00608323417512685,-0.02584706208828619,0.025326178061243057,0.04418611213721625,-0.011246853253150824,,0.0641038716386478,0.02703026627579309,-0.004635085189859231,-0.022338910833978803,-0.015348304315588434,0.016089940733840753,-0.05345091513285147
PTMA,-0.09311011008169716,0.07323809969707691,0.0738224815967701,0.03599100388522893,0.04589514395318847,0.005006820234992998,0.013952947399432172,-0.0003217170453936295,0.05870522833960088,0.07527718754859451,-0.058020172499161596,0.03532237073078341,-0.026985878945658313,-0.009180964554664325,-0.031172157612189198,-0.005286638665687536
CEACAM1,,0.013012178512656881,-0.022527926474219882,-0.01161930563507139,,-0.03253492740866695,0.044449983772664126,,,,-0.014716196321172966,-0.03584953669269466,0.035103571564070284,,,
PDAP1,-0.019429655235689517,0.04653878822047283,0.06576689705111115,-0.010912041202953283,0.055992845834319155,-0.0010042303507710015,-0.01698302808244193,-0.02488801862833207,0.0003279311896511444,-0.01130535503965748,0.01708541633317295,-0.054652084158769466,-0.05112001670394309,0.04362459302817534,0.002820000334227304,0.02257191923175746
QDPR,0.07099514603999511,0.029840424819986718,-0.03211179352348566,0.027288078232125326,0.02538482672378559,0.008054272490496553,0.031050320514087196,-0.0025428922373392938,0.08206342052531822,0.013320229539264821,-0.040210289341480035,0.027145380938260022,-0.005905630542695304,0.08166792387844164,0.06389681988436645,0.06366028800009638
POMC,0.08665275425423054,-0.03355770295272843,-0.013744828875271852,-0.025119256245582713,0.03627339446530282,0.008084315431822229,0.033274430668285476,0.00811847865903842,0.04697161200475491,0.03435824514650804,0.04516347363777318,0.005722573091977163,-0.02425446806434076,,0.034900053884621744,-0.06328810981283342
CCL18,0.018531694407232933,0.025552745638663138,,,,,,,0.06947992552952388,,0.008838774975339303,,-0.036173897306288706,,,
CCL17,,,,-0.02116592847384099,,,-0.009872345409302019,-0.01392045151999425,,-0.025279345259029237,-0.021243753264087274,0.005544869331110394,,,,
VEGFD,-0.039250025043287534,-0.026149134072238175,0.07944971158507202,-0.023581181667423755,,-0.01437735034109949,0.07318288482147593,-0.010210819535859766,-0.04664102354344715,-0.0019356171417923155,-0.014716196321172966,-0.02475247070683624,,,,
TNFSF13,,-0.019732975691701172,,0.005380783054571393,-0.017238852486216184,,,,,,0.03183074328009675,-0.04557905255852911,-0.016649345471941492,,0.054332606045586304,
WNT5A,-0.005892286118373034,0.004774657399804675,0.04457354844184601,0.03963847997243147,0.005738534991984176,-0.0044022279349712765,0.011478476454878941,0.019823554070783546,-0.014894980620779728,-0.009346986058434472,0.029761734358392633,-0.005447797320775818,0.017126559189634627,-0.027868729128378438,-0.05107400819809167,0.07419583626207747
CXCL8,-0.09983210698432242,-0.02325055340061258,-0.019763869102391002,-0.03446458332664615,-0.02452114956422686,-0.01179223480957432,-0.009425404534217904,-0.00950875913298631,-0.055458581827795686,0.061441928676808,-0.05531618737658059,0.04001593558544432,-0.02618019805716005,-0.016117477509032814,-0.08776034867250382,-0.051920756105131305
GRN,-0.054015594564738194,-0.024155808262905573,-0.008476956838001598,0.020811297226730936,0.0024251358761936364,-0.04824717377627541,0.035581910360583995,-0.02702059393117823,0.07137558576133558,0.012577096244293642,0.03733374861144772,-0.059067088579019156,-0.043661315228906095,-0.00133253174669756,-0.006530470825178682,0.022473989234699253
MIA,-0.03996931605100536,0.03476776623298141,-0.01698944420418511,0.0074349090788464415,0.09982844112662463,-0.0392719449756832,-0.03013504994574034,-0.01161265684346899,,-0.03710463576242723,0.030019686880423526,0.017992729352621185,-0.060277460134317895,,0.0017053932727570734,
COL4A4,0.04893562774375026,0.037921555319062425,0.021425097842503245,-0.05101274603253266,-0.016402006520962974,0.07697922578311618,0.002128250038470174,-0.019508339973065118,,0.05909763010656174,0.01068252907739145,-0.02144418176771572,-0.017180473426737307,,-0.028239907863386662,
TAC1,0.0238174817614371,0.033966891525192215,-0.027021918416281633,0.00991189603386847,0.08753866576909165,0.07467486927168493,0.009310552280567444,-0.0011280591085976572,-0.06771228065931585,-0.02247237913353185,,,0.03428257711164705,-0.04893068556483976,0.02164471752183486,0.027690773195710054
RARRES2,0.062371259045028,0.011168037761405639,0.03872496497958541,0.03344561743658408,0.006477961634827504,-0.005100471731962376,-0.02521118818458666,-0.03423440942199103,-0.02053315658800061,0.05045405046329904,-0.009633469902975122,0.05826597758910453,0.02665029084570255,-0.044678234528578956,0.01926090667040325,0.06302492345206966
FGF7,-0.06036019679601441,,-0.036418976721967,-0.020741633352994823,0.03315966825273299,-0.046756355341215125,-0.011974320734248162,-0.012118776342708316,-0.013289807095953883,0.06662778884934895,-0.000553933280873267,-0.010345585244908004,-0.06477443477741325,0.08824009859717345,0.04878774709450617,-0.11526820262396499
EFNA2,,,,,,,,,,,-0.013986759750132746,,,,,
