,UKF243,UKF248,UKF259,UKF260,UKF266,UKF275,UKF304,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,-0.03536812544030594,,,0.06779494269420253,,
BMP1,0.021715019274931028,-0.07031044758718574,-0.017862124420733514,-0.026698055326788574,0.05790140554876136,-0.0018060572254818999,-0.03969207212509206,0.057642302592965,0.0893519313012058,0.00809105204759306,0.03487819550450307,-0.05342442646069375,-0.00012751182601982895,0.04637251991966531,0.015672702317146913,0.060900712224919606,0.09643452925343825,-0.08846862025318629
NDP,-0.008267721742714928,-0.01614194194436532,-0.0182667952303056,-0.01486241539182653,0.03954487453962438,-0.01524766256959423,-0.10033145978877096,0.013336684821658465,0.016115387661068008,0.06376566134873232,0.03212543038784425,0.09024078279178156,0.04991146897217799,-0.01405961788495531,0.037763141990892986,0.16669947843323374,0.10247854649617019,-0.04212663824825724
TNFSF18,0.05889352382876094,-0.019846189841201744,,,-0.014925473859383982,-0.022154134878442575,,,-0.05826424012163881,,,,-0.025039068871326214,,0.011763983004990443,0.05616543065598417,-0.004766354078542464,
RTN4,-0.04108356427101037,0.027330837999058923,0.047313456850659664,-0.007613032023387928,-0.05267598082476867,-0.027024983332404395,-0.02834265394442021,0.049892605157019876,-0.0871131165914242,-0.02341693874193704,-0.08863898672754228,-0.12123761418920836,0.03127664277992098,-0.044479264514382555,-0.042759709346074745,-0.09307776499046577,-0.17087125536026246,-0.04421056152056262
HEBP1,0.02288173205711052,-0.012413420499182367,0.0633154635097645,0.0043038640705140825,-0.023284130753760644,-0.009832575268377535,-0.013346825846642507,-0.02064243231271113,-0.012152825401186387,0.00659633164467634,0.032461765150638804,0.03790470157890037,0.013268646642424425,0.044590561372291594,0.06353915199320752,0.07570725873358676,0.07871635911830469,0.006110856128847467
WNT7B,0.014352635937410917,-0.028601996613078454,-0.007908823954254546,0.001565602913667657,-0.0246533526791991,-0.0012358324334611182,,-0.016121200830559707,,-0.03139837175171816,-0.030426308429523513,0.02403934300273416,-0.02514924540398808,-0.01641904097677293,0.060408378013364544,-0.024198047756759655,0.08019960245104552,0.011363566517791865
PTMA,0.013932303631352377,-0.0031942576815659233,-0.0030434540202591925,0.10893259715517116,0.08765145166250024,-0.08627981818459808,-0.023514176987560906,0.04852508158826929,-0.07754023797220032,-0.056713441026782295,-0.07982569007774903,-0.07737031152959692,0.038374985067553165,-0.06074568616678659,0.012191350283727025,-0.07789575170724959,-0.02832787133297652,-0.0032424474665203053
FASLG,,,,,,,,,,,,,,,,-0.039475238669685386,,
CEACAM1,,-0.01969250216138762,-0.03208506530830534,-0.016595312401087893,,-0.018545152170833096,,-0.04247578564817472,0.07420145910642946,-0.028158562705595063,0.019913116272778,0.029072091919842977,0.004574435265639961,-0.029175887896742914,,0.08854748767544628,,
PDAP1,0.006433453132260821,-0.047774577248491136,0.015949816477692398,-0.022518724934199204,0.050065193656075466,-0.010998092507695787,0.026934586747193054,0.13993755089933566,-0.010185801699647515,-0.004754516906856038,-0.03911094829396022,-0.0525863054669375,-0.02394236576662414,-0.04964467194662746,0.09931003920647241,0.0699995422751808,-0.0033328830635059124,-0.07185588298215471
QDPR,0.041111874134109785,-0.013771312870489683,-0.0005271785500911752,0.03810114122763134,-0.07808555140310419,-0.03229062282648599,0.014129239116187258,0.06493217991579298,-0.0692578469016947,-0.007336612005347913,0.02784173568295462,0.026875923371647598,0.05394465623686741,0.00023781887472416777,0.009429947563771995,0.07892246139120412,-0.06119477036572946,0.10597201658295868
POMC,0.07360139410721875,-0.0309229916463532,0.01035867065156883,-0.03339369287993827,-0.0013298956335262276,-0.025705906205225965,0.05119208432972356,0.14430184526907597,-0.02575282739830913,0.009094743287571743,0.012246292558822683,0.07197083021212143,0.018418700710414244,0.038686722723983366,,0.020182216358229577,0.08181225526717929,-0.05501554521081994
CCL18,0.03246119542394038,-0.024574382070502523,,,,,-0.038906026278787864,0.09226657704902559,,-0.019964883929448833,-0.01009882132195565,0.009045810255077716,,-0.025060789201372332,,,,
CCL17,,,-0.019464447124166676,,,-0.01776091848573856,,,,,0.07540695258194319,-0.010443242665249337,-0.04131386485203522,,,0.05449742864128245,,
VEGFD,-0.016639352957088665,-0.024574389874019824,0.040452777423491314,-0.01587745530933235,,-0.010001479024097369,-0.0001597918377968713,0.09076193917683584,0.016946655313418185,,,-0.002749476759329627,0.16148003628046173,,,,,
TNFSF13,,0.0003327886369218865,-0.006361196348253079,,-0.01447459601411552,,,,,,-0.012207682025140203,0.07965958343308095,-0.009588748323367743,0.013057579937520889,,0.06896410479445304,0.033958646328654085,
WNT5A,-0.006750908547805415,0.03342315802536206,-0.02674288048255523,0.1209925271691564,0.09326293208495343,-0.022263124780638174,-0.0249321398406063,-0.04638533303236145,-0.11493632675695864,0.01744707249940993,0.023705176849472636,-0.01437817174087492,-0.06165752703839437,-0.0019864379238685847,0.12773270341356538,-0.03338785565903733,0.04200189718531617,-0.035651075166549646
CXCL8,-0.010445726936964182,0.038354886129820374,0.0463022114799368,-0.028193485594200453,-0.02058917402000429,0.034802659096228435,0.028293871813409605,0.04339606381573474,-0.008029990685964434,0.06677406108633517,-0.027522837714789198,-0.10275001631053592,-0.04844600741853192,0.07537598453965957,-0.004784782255885956,0.0007227574805200764,-0.008425797677843797,0.01563530214472085
