,UKF251,UKF334,ZH1007nec,ZH1019T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.039304471795491465,
BMP1,0.009570196777449294,0.05630608805052023,0.0632491503484944,-0.09302790088329348,0.0495891251595022,0.02905133538297893
NDP,0.007046740996035006,-0.033440369137009145,0.017175389314068115,-0.005637983648257069,0.02307908116048413,-0.035737289815664444
TNFSF18,-0.02528979954525549,,,-5.091734702131752e-06,-0.03532048718585178,-0.0074900470228835775
IL36G,,-0.013752911436744552,,,,
RTN4,-0.03507914911323147,0.05477134346182276,0.0677317807008261,0.00937734453129773,-0.018619156802929738,-0.062256997102789396
HEBP1,0.006593914201035927,0.01545465818242442,-0.06589664422163839,-0.012184868776746554,0.08484462642473839,-0.016112133774613673
WNT7B,0.04637888224007176,-0.015116034573743229,-0.0014546085482676787,,-0.034088061060419145,0.14616153162282022
PTMA,0.1098522099467901,0.034659086859605864,-0.05003383197535225,0.016849966565638908,0.014169381243723344,0.05802743141187151
FASLG,,,,,-0.018160458354008625,
CEACAM1,-0.012055896488437145,,0.027447145224535868,-0.030603815919253267,0.07479713378877505,
PDAP1,0.02962254787389945,0.01394895015959906,-0.008329541821785483,0.0157619917121813,-0.0358935429726582,0.0386364397169304
QDPR,-0.015578448926522109,0.009593442216717221,0.0905847830054435,-0.002203810702270979,-0.02535162326503986,-0.1004326955481842
POMC,0.00832375801946828,0.07359514908998639,-0.06342949009854384,0.07477786887515497,0.028826863767835026,-0.04519815051842184
CCL18,,,0.0039053671632295044,,,
CCL17,,0.04099983862119869,,,-0.01646041572214705,
VEGFD,0.0010793390607430806,-0.013464879681973988,-0.05340083626579412,-0.04160521709547232,,
TNFSF13,,,,,0.019427097885474875,-0.028663482977827913
WNT5A,0.0039876849805083525,-0.011766289658427626,-0.011556793926078873,0.02413179710347511,0.024583420736196585,0.04363286418807111
CXCL8,-0.016168406738585335,-0.00475248485673477,-0.07770383938934641,0.08015378101920119,0.0017453295790798146,0.1253341146690664
GRN,-0.024463115597977817,-0.0015147434046472587,-0.11001750977986556,0.07125412051383957,0.050947447492087836,-0.0353875040353027
MIA,0.027256028070883065,-0.01844076978704828,-0.054345867412484386,-0.02989683735557403,0.027964213065453172,0.038005331766395846
